SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,2,13,Alaska,Aleutians East Borough,1,0,3141,2093,1048,558,203,205,18,475,407,775,368,8,11,72,41
50,2,13,Alaska,Aleutians East Borough,4,0,3260,2222,1038,589,199,249,19,442,374,858,397,9,11,75,38
50,2,13,Alaska,Aleutians East Borough,5,0,3295,2264,1031,591,194,256,19,423,352,906,416,11,12,77,38
50,2,13,Alaska,Aleutians East Borough,6,0,3345,2299,1046,567,197,271,22,417,347,957,431,15,11,72,38
50,2,13,Alaska,Aleutians East Borough,7,0,3348,2265,1083,562,219,269,29,400,342,947,443,15,11,72,39
50,2,13,Alaska,Aleutians East Borough,8,0,3381,2284,1097,569,219,291,30,389,336,950,462,16,12,69,38
50,2,13,Alaska,Aleutians East Borough,9,0,3388,2287,1101,538,219,309,27,366,327,986,474,17,12,71,42
50,2,13,Alaska,Aleutians East Borough,10,0,3495,2364,1131,532,211,341,31,368,332,1021,495,21,16,81,46
50,2,13,Alaska,Aleutians East Borough,11,0,3515,2374,1141,522,201,371,35,362,330,1017,507,24,18,78,50
50,2,16,Alaska,Aleutians West Census Area,1,0,5561,3723,1838,1635,671,317,31,473,407,1059,610,87,20,152,99
50,2,16,Alaska,Aleutians West Census Area,4,0,5581,3769,1812,1611,625,343,35,453,393,1107,631,99,21,156,107
50,2,16,Alaska,Aleutians West Census Area,5,0,5675,3820,1855,1598,632,340,36,439,375,1187,668,105,32,151,112
50,2,16,Alaska,Aleutians West Census Area,6,0,5777,3892,1885,1566,610,378,43,442,361,1259,735,97,25,150,111
50,2,16,Alaska,Aleutians West Census Area,7,0,5822,3903,1919,1505,583,372,45,445,353,1333,799,103,27,145,112
50,2,16,Alaska,Aleutians West Census Area,8,0,5781,3850,1931,1476,576,365,39,428,334,1340,843,104,33,137,106
50,2,16,Alaska,Aleutians West Census Area,9,0,5698,3776,1922,1420,538,365,44,398,316,1352,891,103,31,138,102
50,2,16,Alaska,Aleutians West Census Area,10,0,5726,3795,1931,1399,522,361,45,390,299,1389,933,115,30,141,102
50,2,16,Alaska,Aleutians West Census Area,11,0,5723,3750,1973,1390,520,357,44,373,301,1380,979,109,26,141,103
50,2,20,Alaska,Anchorage Municipality,1,0,291826,148209,143617,102970,95561,9043,8082,11311,12564,11015,13019,3041,3056,10829,11335
50,2,20,Alaska,Anchorage Municipality,4,0,296154,150769,145385,103997,96187,9341,8146,11470,12697,11607,13582,3170,3201,11184,11572
50,2,20,Alaska,Anchorage Municipality,5,0,298233,151934,146299,104007,95989,9572,8330,11748,12903,11989,13995,3331,3388,11287,11694
50,2,20,Alaska,Anchorage Municipality,6,0,301155,153966,147189,104848,95806,9815,8388,11788,13029,12517,14505,3488,3601,11510,11860
50,2,20,Alaska,Anchorage Municipality,7,0,299927,153298,146629,103734,94984,9786,8283,11953,13221,12670,14610,3538,3600,11617,11931
50,2,20,Alaska,Anchorage Municipality,8,0,297613,152012,145601,102109,93511,9574,8192,12137,13361,12869,14889,3619,3714,11704,11934
50,2,20,Alaska,Anchorage Municipality,9,0,297216,151651,145565,100983,92463,9642,8326,12281,13588,13160,15194,3742,3845,11843,12149
50,2,20,Alaska,Anchorage Municipality,10,0,294264,149950,144314,98927,90787,9631,8306,12200,13547,13369,15557,3831,3995,11992,12122
50,2,20,Alaska,Anchorage Municipality,11,0,291538,148384,143154,97009,89307,9598,8201,12279,13586,13576,15842,3818,4009,12104,12209
50,2,50,Alaska,Bethel Census Area,1,0,17013,8898,8115,1087,839,34,32,7281,6844,90,71,11,20,395,309
50,2,50,Alaska,Bethel Census Area,4,0,17415,9076,8339,1106,885,43,43,7412,7013,88,70,12,23,415,305
50,2,50,Alaska,Bethel Census Area,5,0,17654,9166,8488,1114,926,54,53,7503,7101,86,71,12,23,397,314
50,2,50,Alaska,Bethel Census Area,6,0,17847,9264,8583,1080,910,57,53,7649,7204,79,75,17,27,382,314
50,2,50,Alaska,Bethel Census Area,7,0,17933,9297,8636,1049,906,68,65,7696,7251,83,87,15,25,386,302
50,2,50,Alaska,Bethel Census Area,8,0,17955,9305,8650,1048,897,69,64,7697,7271,80,85,13,23,398,310
50,2,50,Alaska,Bethel Census Area,9,0,18019,9338,8681,992,897,76,58,7774,7298,88,87,13,23,395,318
50,2,50,Alaska,Bethel Census Area,10,0,18079,9353,8726,994,903,83,66,7775,7361,93,80,15,24,393,292
50,2,50,Alaska,Bethel Census Area,11,0,18216,9376,8840,1001,875,85,82,7790,7473,94,80,17,26,389,304
