SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,1,1,Alabama,Autauga County,1,0,54571,26569,28002,21295,22002,4559,5130,119,139,200,284,29,18,367,429
50,1,1,Alabama,Autauga County,4,0,55208,26978,28230,21492,22192,4722,5156,118,142,207,306,34,19,405,415
50,1,1,Alabama,Autauga County,5,0,54936,26818,28118,21325,21971,4729,5218,121,154,208,343,30,17,405,415
50,1,1,Alabama,Autauga County,6,0,54713,26576,28137,21026,21902,4694,5289,129,150,226,335,30,17,471,444
50,1,1,Alabama,Autauga County,7,0,54876,26784,28092,21085,21841,4807,5298,125,153,237,337,32,18,498,445
50,1,1,Alabama,Autauga County,8,0,54838,26716,28122,20934,21693,4905,5478,116,143,261,331,28,18,472,459
50,1,1,Alabama,Autauga County,9,0,55242,26971,28271,20965,21690,5051,5573,118,138,292,358,28,22,517,490
50,1,1,Alabama,Autauga County,10,0,55443,27017,28426,20846,21722,5168,5660,111,148,308,390,30,26,554,480
50,1,1,Alabama,Autauga County,11,0,55601,26995,28606,20859,21801,5153,5762,121,146,301,380,33,29,528,488
50,1,3,Alabama,Baldwin County,1,0,182265,89196,93069,78334,81376,8396,8878,662,677,540,829,72,49,1192,1260
50,1,3,Alabama,Baldwin County,4,0,186540,91180,95360,80053,83372,8503,9030,685,687,597,851,64,62,1278,1358
50,1,3,Alabama,Baldwin County,5,0,190143,92698,97445,81222,84983,8649,9254,703,710,686,956,62,63,1376,1479
50,1,3,Alabama,Baldwin County,6,0,194886,95092,99794,83201,86969,8941,9370,730,736,731,1084,58,61,1431,1574
50,1,3,Alabama,Baldwin County,7,0,199189,97155,102034,84896,88807,9142,9602,758,749,751,1154,59,55,1549,1667
50,1,3,Alabama,Baldwin County,8,0,202995,98896,104099,86445,90624,9183,9676,779,743,798,1259,59,61,1632,1736
50,1,3,Alabama,Baldwin County,9,0,207712,100976,106736,88262,92842,9231,9854,842,761,845,1377,64,60,1732,1842
50,1,3,Alabama,Baldwin County,10,0,212619,103182,109437,90250,95187,9293,9970,887,775,893,1497,70,70,1789,1938
50,1,3,Alabama,Baldwin County,11,0,218022,105657,112365,92471,97830,9400,10092,886,798,933,1575,73,73,1894,1997
50,1,5,Alabama,Barbour County,1,0,27457,14576,12881,7463,6524,6808,6133,93,73,59,53,29,18,124,80
50,1,5,Alabama,Barbour County,4,0,27350,14659,12691,7480,6409,6862,6045,87,70,67,63,30,18,133,86
50,1,5,Alabama,Barbour County,5,0,27174,14541,12633,7348,6355,6879,6037,85,66,64,61,29,17,136,97
50,1,5,Alabama,Barbour County,6,0,26944,14380,12564,7184,6264,6883,6055,81,65,65,65,28,16,139,99
50,1,5,Alabama,Barbour County,7,0,26758,14244,12514,7139,6236,6782,6041,92,66,60,55,27,15,144,101
50,1,5,Alabama,Barbour County,8,0,26294,13974,12320,6970,6122,6673,5957,88,61,58,56,27,15,158,109
50,1,5,Alabama,Barbour County,9,0,25819,13629,12190,6780,6073,6520,5863,89,62,54,57,27,14,159,121
50,1,5,Alabama,Barbour County,10,0,25158,13221,11937,6529,5922,6357,5743,92,66,55,63,29,15,159,128
50,1,5,Alabama,Barbour County,11,0,24881,13133,11748,6410,5799,6370,5672,97,67,52,61,30,16,174,133
50,1,7,Alabama,Bibb County,1,0,22915,12301,10614,9055,8494,3079,1981,35,33,13,9,28,5,91,92
50,1,7,Alabama,Bibb County,4,0,22747,12271,10476,9023,8447,3072,1877,41,37,16,13,25,5,94,97
