SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,5,1,Arkansas,Arkansas County,1,0,19019,9220,9799,6825,7129,2224,2481,22,19,41,51,1,1,107,118
50,5,1,Arkansas,Arkansas County,4,0,18872,9136,9736,6730,7030,2214,2489,31,24,47,58,1,1,113,134
50,5,1,Arkansas,Arkansas County,5,0,18962,9178,9784,6782,7052,2185,2495,33,29,60,75,1,1,117,132
50,5,1,Arkansas,Arkansas County,6,0,18754,9071,9683,6689,6948,2153,2484,33,29,73,81,2,1,121,140
50,5,1,Arkansas,Arkansas County,7,0,18476,8907,9569,6564,6881,2101,2432,34,30,69,79,3,1,136,146
50,5,1,Arkansas,Arkansas County,8,0,18325,8852,9473,6566,6815,2048,2400,33,29,65,77,2,3,138,149
50,5,1,Arkansas,Arkansas County,9,0,18145,8748,9397,6481,6698,2023,2447,33,30,69,69,2,2,140,151
50,5,1,Arkansas,Arkansas County,10,0,17904,8694,9210,6377,6534,2066,2410,32,28,65,73,2,2,152,163
50,5,1,Arkansas,Arkansas County,11,0,17769,8593,9176,6325,6485,2006,2414,32,32,72,76,4,3,154,166
50,5,3,Arkansas,Ashley County,1,0,21853,10598,11255,7764,7999,2625,3064,70,60,19,28,12,4,108,100
50,5,3,Arkansas,Ashley County,4,0,21671,10489,11182,7698,7907,2571,3058,70,67,22,34,11,4,117,112
50,5,3,Arkansas,Ashley County,5,0,21516,10445,11071,7640,7859,2563,2987,75,71,23,32,13,5,131,117
50,5,3,Arkansas,Ashley County,6,0,21278,10312,10966,7524,7767,2541,2971,75,70,19,33,13,5,140,120
50,5,3,Arkansas,Ashley County,7,0,20959,10142,10817,7410,7676,2470,2901,76,70,20,35,14,5,152,130
50,5,3,Arkansas,Ashley County,8,0,20838,10090,10748,7393,7647,2433,2861,75,74,21,29,14,5,154,132
50,5,3,Arkansas,Ashley County,9,0,20525,9957,10568,7323,7510,2371,2825,77,64,24,30,14,5,148,134
50,5,3,Arkansas,Ashley County,10,0,20319,9871,10448,7268,7451,2332,2759,83,64,24,29,13,6,151,139
50,5,3,Arkansas,Ashley County,11,0,20046,9771,10275,7215,7338,2283,2711,84,59,24,27,13,7,152,133
50,5,5,Arkansas,Baxter County,1,0,41513,20023,21490,19527,20942,40,27,128,115,56,114,7,11,265,281
50,5,5,Arkansas,Baxter County,4,0,41347,19921,21426,19403,20831,50,37,132,120,67,126,7,11,262,301
50,5,5,Arkansas,Baxter County,5,0,41082,19810,21272,19255,20688,60,34,145,131,70,130,7,12,273,277
50,5,5,Arkansas,Baxter County,6,0,40984,19769,21215,19191,20625,75,43,145,122,83,130,7,11,268,284
50,5,5,Arkansas,Baxter County,7,0,40884,19712,21172,19116,20553,75,48,149,127,84,138,7,11,281,295
50,5,5,Arkansas,Baxter County,8,0,41136,19820,21316,19193,20679,89,53,149,126,78,143,8,11,303,304
50,5,5,Arkansas,Baxter County,9,0,41139,19841,21298,19188,20634,84,50,155,138,80,152,8,11,326,313
50,5,5,Arkansas,Baxter County,10,0,41316,19932,21384,19292,20694,89,64,158,145,73,150,9,14,311,317
50,5,5,Arkansas,Baxter County,11,0,41619,20096,21523,19397,20803,99,67,176,153,68,150,11,16,345,334
50,5,7,Arkansas,Benton County,1,0,221339,109124,112215,99329,102549,1696,1473,2116,2189,3298,3331,398,377,2287,2296
50,5,7,Arkansas,Benton County,4,0,229154,113194,115960,102472,105612,1899,1630,2140,2217,3797,3632,485,440,2401,2429
50,5,7,Arkansas,Benton County,5,0,234949,116254,118695,104413,107505,2068,1810,2240,2287,4475,4027,509,471,2549,2595
50,5,7,Arkansas,Benton County,6,0,239485,118346,121139,106138,109466,2166,1936,2260,2376,4576,4152,511,483,2695,2726
50,5,7,Arkansas,Benton County,7,0,244882,121096,123786,108312,111570,2333,2054,2306,2411,4720,4242,571,592,2854,2917
50,5,7,Arkansas,Benton County,8,0,251673,124537,127136,111066,114280,2486,2194,2373,2462,5011,4452,662,671,2939,3077
50,5,7,Arkansas,Benton County,9,0,259234,128524,130710,113858,116932,2658,2331,2454,2517,5699,4849,754,773,3101,3308
50,5,7,Arkansas,Benton County,10,0,266504,132348,134156,116869,119719,2859,2481,2515,2595,6004,4986,842,856,3259,3519
50,5,7,Arkansas,Benton County,11,0,272608,135582,137026,119612,122123,2926,2602,2536,2601,6063,5068,984,970,3461,3662
50,5,9,Arkansas,Boone County,1,0,36903,18066,18837,17496,18263,57,32,134,133,56,101,12,10,311,298
50,5,9,Arkansas,Boone County,4,0,37070,18185,18885,17578,18270,66,36,135,131,58,121,12,13,336,314
50,5,9,Arkansas,Boone County,5,0,37317,18362,18955,17735,18325,69,48,145,140,57,124,12,10,344,308
50,5,9,Arkansas,Boone County,6,0,37312,18421,18891,17780,18254,76,50,147,141,62,131,12,8,344,307
50,5,9,Arkansas,Boone County,7,0,37102,18303,18799,17649,18148,76,51,149,153,71,132,13,9,345,306
50,5,9,Arkansas,Boone County,8,0,37112,18345,18767,17638,18065,86,65,155,157,74,134,16,10,376,336
50,5,9,Arkansas,Boone County,9,0,37260,18367,18893,17657,18180,88,57,152,164,78,150,17,12,375,330
