SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,4,1,Arizona,Apache County,1,0,71518,35678,35840,8999,8563,123,59,25798,26544,97,126,18,8,643,540
50,4,1,Arizona,Apache County,4,0,72186,35918,36268,8837,8415,136,88,26181,27067,109,148,18,6,637,544
50,4,1,Arizona,Apache County,5,0,72238,35841,36397,8643,8282,150,117,26268,27284,125,171,17,5,638,538
50,4,1,Arizona,Apache County,6,0,72341,35892,36449,8506,8079,146,145,26446,27525,143,165,19,6,632,529
50,4,1,Arizona,Apache County,7,0,71820,35572,36248,8341,7895,159,163,26298,27497,137,146,22,7,615,540
50,4,1,Arizona,Apache County,8,0,71022,35167,35855,8243,7730,180,178,25984,27287,133,131,21,7,606,522
50,4,1,Arizona,Apache County,9,0,71403,35251,36152,8313,7750,179,200,25981,27510,144,147,23,8,611,537
50,4,1,Arizona,Apache County,10,0,71545,35320,36225,8261,7771,182,223,26101,27521,151,176,20,7,605,527
50,4,1,Arizona,Apache County,11,0,71818,35310,36508,8239,7830,187,223,26096,27731,153,170,22,8,613,546
50,4,3,Arizona,Cochise County,1,0,131346,66977,64369,59166,57110,3381,2453,1206,954,1004,1687,245,247,1975,1918
50,4,3,Arizona,Cochise County,4,0,133111,68000,65111,59870,57619,3544,2572,1210,954,1064,1727,242,253,2070,1986
50,4,3,Arizona,Cochise County,5,0,132026,67583,64443,59477,56976,3530,2614,1186,959,1109,1709,243,235,2038,1950
50,4,3,Arizona,Cochise County,6,0,129608,66081,63527,58161,56176,3396,2454,1194,960,1051,1721,267,253,2012,1963
50,4,3,Arizona,Cochise County,7,0,127352,64686,62666,56911,55337,3318,2426,1202,965,1045,1718,259,258,1951,1962
50,4,3,Arizona,Cochise County,8,0,126502,64300,62202,56540,54905,3358,2399,1151,988,1044,1725,263,259,1944,1926
50,4,3,Arizona,Cochise County,9,0,125782,64118,61664,56333,54439,3345,2401,1158,975,1063,1694,248,249,1971,1906
50,4,3,Arizona,Cochise County,10,0,124990,63395,61595,55650,54210,3289,2408,1158,1002,1065,1726,257,256,1976,1993
50,4,3,Arizona,Cochise County,11,0,126770,64380,62390,56454,54741,3353,2499,1183,1042,1101,1774,275,260,2014,2074
50,4,5,Arizona,Coconino County,1,0,134421,66666,67755,45050,44578,925,862,18045,19455,829,1109,103,99,1714,1652
50,4,5,Arizona,Coconino County,4,0,134269,66530,67739,44634,44242,921,855,18252,19651,912,1152,96,148,1715,1691
50,4,5,Arizona,Coconino County,5,0,136152,67322,68830,45191,44908,950,899,18350,19834,968,1276,99,151,1764,1762
50,4,5,Arizona,Coconino County,6,0,136713,67622,69091,45364,45123,1000,917,18293,19782,1054,1317,96,153,1815,1799
50,4,5,Arizona,Coconino County,7,0,137583,68023,69560,45470,45417,985,934,18434,19803,1158,1411,91,151,1885,1844
50,4,5,Arizona,Coconino County,8,0,139024,68747,70277,45963,45841,1030,987,18607,19942,1182,1464,91,154,1874,1889
50,4,5,Arizona,Coconino County,9,0,140515,69379,71136,46256,46357,1023,962,18821,20166,1250,1540,90,151,1939,1960
50,4,5,Arizona,Coconino County,10,0,141107,69732,71375,46229,46360,1071,973,18988,20280,1297,1581,100,157,2047,2024
50,4,5,Arizona,Coconino County,11,0,142854,70580,72274,46883,46929,1100,989,18996,20418,1329,1612,100,164,2172,2162
50,4,7,Arizona,Gila County,1,0,53597,26633,26964,21964,22224,163,102,3977,4087,117,172,28,24,384,355
50,4,7,Arizona,Gila County,4,0,53444,26543,26901,21695,21934,177,134,4121,4258,127,175,28,23,395,377
50,4,7,Arizona,Gila County,5,0,53003,26332,26671,21379,21606,181,153,4205,4317,145,194,30,28,392,373
