SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,6,1,California,Alameda County,1,0,1510271,740573,769698,400793,398814,93553,105762,9038,8697,193411,210284,7200,7563,36578,38578
50,6,1,California,Alameda County,4,0,1530998,750148,780850,402646,401144,93213,105401,9170,8747,200202,218290,7233,7654,37684,39614
50,6,1,California,Alameda County,5,0,1554138,760910,793228,406292,405292,92882,105135,9084,8656,206670,225691,7345,7843,38637,40611
50,6,1,California,Alameda County,6,0,1580247,774012,806235,410841,409451,92245,104464,9186,8653,214573,234116,7487,8035,39680,41516
50,6,1,California,Alameda County,7,0,1608674,788148,820526,415670,414415,91757,103211,9191,8672,223223,243563,7584,8112,40723,42553
50,6,1,California,Alameda County,8,0,1634634,801667,832967,419561,417446,91261,102298,9326,8782,232088,252622,7645,8224,41786,43595
50,6,1,California,Alameda County,9,0,1650306,810551,839755,421124,417355,90212,100516,9278,8788,239791,260701,7607,8155,42539,44240
50,6,1,California,Alameda County,10,0,1658131,815264,842867,419463,414657,89262,98694,9227,8802,246517,267926,7559,8166,43236,44622
50,6,1,California,Alameda County,11,0,1666753,820045,846708,417023,411943,88566,97364,9180,8793,253975,275235,7569,8301,43732,45072
50,6,3,California,Alpine County,1,0,1175,606,569,471,425,0,0,113,130,1,6,0,0,21,8
50,6,3,California,Alpine County,4,0,1093,565,528,438,387,0,1,105,125,2,7,0,0,20,8
50,6,3,California,Alpine County,5,0,1110,582,528,428,377,5,2,127,132,2,7,0,0,20,10
50,6,3,California,Alpine County,6,0,1127,588,539,423,386,4,1,135,135,5,7,0,0,21,10
50,6,3,California,Alpine County,7,0,1082,553,529,399,364,1,1,124,137,7,11,0,0,22,16
50,6,3,California,Alpine County,8,0,1087,568,519,413,361,3,2,123,131,8,9,0,0,21,16
50,6,3,California,Alpine County,9,0,1057,557,500,414,357,0,1,113,123,9,7,0,0,21,12
50,6,3,California,Alpine County,10,0,1121,608,513,437,358,3,1,130,130,13,7,1,0,24,17
50,6,3,California,Alpine County,11,0,1101,588,513,414,356,0,1,132,131,15,7,0,0,27,18
50,6,5,California,Amador County,1,0,38091,20749,17342,18437,16130,949,68,481,323,227,227,50,37,605,557
50,6,5,California,Amador County,4,0,37538,20298,17240,18066,16009,864,75,477,326,224,230,58,38,609,562
50,6,5,California,Amador County,5,0,37101,19949,17152,17860,15890,778,88,462,321,220,233,43,38,586,582
50,6,5,California,Amador County,6,0,36625,19474,17151,17480,15846,672,88,448,330,231,250,46,39,597,598
50,6,5,California,Amador County,7,0,36738,19512,17226,17492,15876,678,90,464,336,246,276,44,43,588,605
50,6,5,California,Amador County,8,0,37037,19658,17379,17561,15999,683,88,493,356,270,304,44,46,607,586
50,6,5,California,Amador County,9,0,37438,19826,17612,17662,16144,694,97,508,385,287,337,47,49,628,600
50,6,5,California,Amador County,10,0,38551,20750,17801,18334,16289,856,101,530,364,317,358,53,48,660,641
50,6,5,California,Amador County,11,0,39383,21425,17958,18884,16428,957,104,546,367,316,369,54,50,668,640
50,6,7,California,Butte County,1,0,220000,108931,111069,95027,97550,2067,1642,2594,2561,4676,4662,281,266,4286,4388
50,6,7,California,Butte County,4,0,219952,108968,110984,94814,97089,2099,1659,2643,2649,4778,4797,295,274,4339,4516
50,6,7,California,Butte County,5,0,220873,109429,111444,95063,97485,2112,1613,2662,2683,4863,4818,305,283,4424,4562
50,6,7,California,Butte County,6,0,221664,109724,111940,95159,97695,2167,1654,2704,2768,4916,4869,305,289,4473,4665
50,6,7,California,Butte County,7,0,223570,110595,112975,95692,98312,2170,1646,2739,2839,5066,5057,309,301,4619,4820
