SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,8,1,Colorado,Adams County,1,0,441603,222142,219461,194945,192698,8142,7001,4753,4634,8085,8745,429,429,5788,5954
50,8,1,Colorado,Adams County,4,0,452203,227301,224902,199092,197203,8349,7269,4895,4655,8434,9088,481,476,6050,6211
50,8,1,Colorado,Adams County,5,0,460648,231313,229335,202221,200554,8617,7507,4926,4776,8743,9540,500,489,6306,6469
50,8,1,Colorado,Adams County,6,0,470145,236267,233878,206025,203785,8979,7961,5046,4896,9065,9901,509,501,6643,6834
50,8,1,Colorado,Adams County,7,0,480263,241656,238607,210310,207400,9363,8335,5145,5008,9361,10314,533,515,6944,7035
50,8,1,Colorado,Adams County,8,0,490768,247277,243491,214543,210998,9760,8683,5403,5256,9729,10740,539,507,7303,7307
50,8,1,Colorado,Adams County,9,0,498249,251165,247084,217288,213480,10168,9065,5573,5350,9997,11009,548,532,7591,7648
50,8,1,Colorado,Adams County,10,0,504428,254651,249777,219502,215282,10508,9243,5868,5530,10327,11256,569,539,7877,7927
50,8,1,Colorado,Adams County,11,0,511868,258470,253398,222375,217943,10719,9452,6018,5636,10711,11661,560,548,8087,8158
50,8,3,Colorado,Alamosa County,1,0,15445,7745,7700,6902,6922,133,71,411,387,90,101,10,21,199,198
50,8,3,Colorado,Alamosa County,4,0,16122,8106,8016,7170,7129,157,96,426,409,100,131,14,24,239,227
50,8,3,Colorado,Alamosa County,5,0,16095,8035,8060,7080,7180,164,104,444,405,95,122,17,24,235,225
50,8,3,Colorado,Alamosa County,6,0,16203,8138,8065,7127,7169,177,110,460,411,103,126,16,25,255,224
50,8,3,Colorado,Alamosa County,7,0,16220,8175,8045,7121,7130,180,120,469,409,119,138,17,26,269,222
50,8,3,Colorado,Alamosa County,8,0,16314,8174,8140,7118,7214,187,126,442,406,122,133,17,28,288,233
50,8,3,Colorado,Alamosa County,9,0,16461,8276,8185,7210,7241,189,134,445,417,127,133,17,28,288,232
50,8,3,Colorado,Alamosa County,10,0,16543,8317,8226,7245,7253,195,141,441,418,130,136,17,27,289,251
50,8,3,Colorado,Alamosa County,11,0,16683,8361,8322,7250,7309,202,151,450,434,131,143,15,27,313,258
50,8,5,Colorado,Arapahoe County,1,0,572003,280345,291658,223032,230905,30080,30668,3214,3178,13709,16221,675,680,9635,10006
50,8,5,Colorado,Arapahoe County,4,0,585844,287177,298667,227935,235797,31035,31334,3147,3228,14317,17043,673,704,10070,10561
50,8,5,Colorado,Arapahoe County,5,0,596343,292560,303783,231388,238930,31976,32213,3172,3248,14902,17754,661,695,10461,10943
50,8,5,Colorado,Arapahoe County,6,0,608209,298742,309467,235223,242209,32985,33148,3221,3380,15583,18646,735,732,10995,11352
50,8,5,Colorado,Arapahoe County,7,0,618798,304636,314162,238953,244895,34043,34087,3299,3363,16216,19396,769,767,11356,11654
50,8,5,Colorado,Arapahoe County,8,0,630637,311032,319605,242377,247512,35154,35023,3393,3460,17339,20547,863,844,11906,12219
50,8,5,Colorado,Arapahoe County,9,0,638571,315601,322970,244808,249031,36098,35622,3471,3533,18151,21383,896,903,12177,12498
50,8,5,Colorado,Arapahoe County,10,0,644132,318744,325388,246234,249904,36758,35993,3579,3701,18767,21954,914,936,12492,12900
50,8,5,Colorado,Arapahoe County,11,0,651215,322713,328502,248378,251273,37376,36699,3677,3784,19598,22549,943,942,12741,13255
50,8,7,Colorado,Archuleta County,1,0,12084,6103,5981,5756,5602,25,12,163,176,53,55,2,5,104,131
