SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,9,1,Connecticut,Fairfield County,1,0,916829,445601,471228,364850,380482,49139,57645,2214,1968,21145,22733,548,462,7705,7938
50,9,1,Connecticut,Fairfield County,4,0,927897,451441,476456,367607,382724,50616,58922,2268,2011,22208,23978,556,463,8186,8358
50,9,1,Connecticut,Fairfield County,5,0,935097,455085,480012,369269,383799,51543,59907,2315,2065,22896,24979,555,479,8507,8783
50,9,1,Connecticut,Fairfield County,6,0,939991,457558,482433,370034,384282,52494,60882,2352,2087,23360,25648,543,467,8775,9067
50,9,1,Connecticut,Fairfield County,7,0,944355,459930,484425,370515,384107,53254,61662,2386,2125,24123,26695,542,470,9110,9366
50,9,1,Connecticut,Fairfield County,8,0,945301,460288,485013,369138,383075,54011,62436,2434,2149,24811,27399,546,478,9348,9476
50,9,1,Connecticut,Fairfield County,9,0,944802,460031,484771,367675,381219,54523,62976,2484,2206,25208,28112,537,473,9604,9785
50,9,1,Connecticut,Fairfield County,10,0,943457,459420,484037,366142,379118,54954,63681,2515,2230,25454,28485,549,465,9806,10058
50,9,1,Connecticut,Fairfield County,11,0,943823,459748,484075,364905,377736,55674,64426,2600,2287,25999,28888,536,483,10034,10255
50,9,3,Connecticut,Hartford County,1,0,894014,432013,462001,339041,361963,62243,68100,1954,2058,19504,19975,532,435,8739,9470
50,9,3,Connecticut,Hartford County,4,0,896776,433909,462867,338726,360893,63235,68817,2061,2155,20281,20767,537,447,9069,9788
50,9,3,Connecticut,Hartford County,5,0,897694,434730,462964,337564,359276,63989,69333,2152,2209,21083,21610,555,464,9387,10072
50,9,3,Connecticut,Hartford County,6,0,897724,435138,462586,336268,357614,64739,69821,2231,2276,21611,22129,564,466,9725,10280
50,9,3,Connecticut,Hartford County,7,0,897493,435389,462104,334605,355340,65106,70303,2301,2322,22739,23137,573,475,10065,10527
50,9,3,Connecticut,Hartford County,8,0,896358,435151,461207,332399,352673,65561,70924,2375,2363,23862,23940,566,479,10388,10828
50,9,3,Connecticut,Hartford County,9,0,894170,434343,459827,330148,350027,66012,71301,2403,2405,24562,24500,577,480,10641,11114
50,9,3,Connecticut,Hartford County,10,0,892931,433918,459013,327837,347454,66707,71875,2436,2468,25394,25277,582,503,10962,11436
50,9,3,Connecticut,Hartford County,11,0,892697,434117,458580,326235,345446,67282,72520,2499,2544,26266,25967,596,504,11239,11599
50,9,5,Connecticut,Litchfield County,1,0,189927,93338,96589,88807,91990,1526,1386,255,234,1356,1620,48,44,1346,1315
