SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,10,1,Delaware,Kent County,1,0,162310,78035,84275,55030,57771,18605,21155,554,581,1404,2002,62,74,2380,2692
50,10,1,Delaware,Kent County,4,0,165097,79488,85609,55709,58293,19179,21750,564,608,1441,2085,63,76,2532,2797
50,10,1,Delaware,Kent County,5,0,167288,80700,86588,56382,58813,19544,22116,569,598,1529,2101,76,84,2600,2876
50,10,1,Delaware,Kent County,6,0,169029,81609,87420,56734,59109,19929,22510,578,628,1597,2114,79,88,2692,2971
50,10,1,Delaware,Kent County,7,0,171458,82852,88606,57434,59658,20337,23001,585,642,1640,2131,94,94,2762,3080
50,10,1,Delaware,Kent County,8,0,173129,83492,89637,57414,59913,20856,23552,588,675,1700,2223,99,104,2835,3170
50,10,1,Delaware,Kent County,9,0,174528,84083,90445,57384,60035,21337,24113,592,696,1747,2243,100,115,2923,3243
50,10,1,Delaware,Kent County,10,0,176445,84962,91483,57656,60346,21773,24673,590,689,1813,2300,96,122,3034,3353
50,10,1,Delaware,Kent County,11,0,178550,86023,92527,57724,60512,22447,25359,623,703,1913,2357,95,129,3221,3467
50,10,3,Delaware,New Castle County,1,0,538479,260671,277808,180803,189411,61682,69164,1096,1096,11762,12101,127,150,5201,5886
50,10,3,Delaware,New Castle County,4,0,541866,262037,279829,180499,189379,62527,70346,1100,1085,12320,12703,142,159,5449,6157
50,10,3,Delaware,New Castle County,5,0,544861,263642,281219,180748,189311,63225,71182,1082,1085,12746,13144,154,165,5687,6332
50,10,3,Delaware,New Castle County,6,0,548383,265288,283095,180593,189175,63822,72171,1111,1117,13673,13925,165,163,5924,6544
50,10,3,Delaware,New Castle County,7,0,550851,266667,284184,180184,188659,64711,73124,1142,1118,14262,14415,185,169,6183,6699
50,10,3,Delaware,New Castle County,8,0,553658,268256,285402,179879,187968,65681,74175,1157,1133,14949,15078,179,171,6411,6877
50,10,3,Delaware,New Castle County,9,0,555403,268936,286467,179114,187256,66634,75325,1180,1143,15243,15523,175,175,6590,7045
50,10,3,Delaware,New Castle County,10,0,556419,269419,287000,178133,186432,67603,76273,1254,1211,15483,15699,189,171,6757,7214
50,10,3,Delaware,New Castle County,11,0,559335,271123,288212,177987,185741,68580,77458,1299,1281,16117,16110,194,180,6946,7442
50,10,5,Delaware,Sussex County,1,0,197145,96233,100912,79451,83304,12463,13212,1398,1204,970,1103,154,123,1797,1966
50,10,5,Delaware,Sussex County,4,0,200353,97709,102644,80599,84687,12679,13431,1399,1193,1035,1148,142,115,1855,2070
50,10,5,Delaware,Sussex County,5,0,203039,98929,104110,81641,85849,12775,13616,1369,1193,1058,1186,145,105,1941,2161
50,10,5,Delaware,Sussex County,6,0,206226,100177,106049,82724,87467,12898,13831,1307,1195,1088,1234,156,111,2004,2211
50,10,5,Delaware,Sussex County,7,0,210287,101940,108347,84116,89384,13084,14075,1296,1191,1191,1305,161,113,2092,2279
50,10,5,Delaware,Sussex County,8,0,214626,103992,110634,85780,91380,13367,14229,1264,1179,1244,1395,188,131,2149,2320
50,10,5,Delaware,Sussex County,9,0,219285,106112,113173,87699,93596,13440,14346,1258,1190,1285,1500,209,159,2221,2382
50,10,5,Delaware,Sussex County,10,0,224214,108470,115744,89708,95929,13617,14402,1288,1199,1349,1580,221,181,2287,2453
50,10,5,Delaware,Sussex County,11,0,229286,110781,118505,91736,98319,13692,14534,1325,1227,1418,1669,247,204,2363,2552
