SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,12,1,Florida,Alachua County,1,0,247336,119786,127550,86242,90127,23663,27135,426,414,6680,6865,82,73,2693,2936
50,12,1,Florida,Alachua County,4,0,249806,120906,128900,86742,90769,23954,27491,445,409,6806,7084,99,83,2860,3064
50,12,1,Florida,Alachua County,5,0,251513,121652,129861,87267,91303,23903,27740,458,415,6882,7153,98,88,3044,3162
50,12,1,Florida,Alachua County,6,0,252498,122080,130418,87453,91369,24014,28061,460,415,6908,7263,109,78,3136,3232
50,12,1,Florida,Alachua County,7,0,255499,123624,131875,88076,92042,24439,28495,465,422,7246,7414,100,78,3298,3424
50,12,1,Florida,Alachua County,8,0,259177,125476,133701,89094,93176,24845,28860,452,428,7544,7688,103,81,3438,3468
50,12,1,Florida,Alachua County,9,0,264287,127981,136306,90631,94853,25259,29311,482,433,7879,8011,100,83,3630,3615
50,12,1,Florida,Alachua County,10,0,266820,129130,137690,91231,95586,25475,29510,471,459,8092,8299,112,84,3749,3752
50,12,1,Florida,Alachua County,11,0,269956,130428,139528,91961,96623,25701,29874,486,485,8305,8595,121,94,3854,3857
50,12,3,Florida,Baker County,1,0,27115,14160,12955,11601,11220,2286,1411,38,39,67,71,2,3,166,211
50,12,3,Florida,Baker County,4,0,27043,14116,12927,11583,11206,2219,1379,55,49,72,80,3,3,184,210
50,12,3,Florida,Baker County,5,0,27047,14115,12932,11577,11233,2214,1338,52,49,74,86,3,3,195,223
50,12,3,Florida,Baker County,6,0,27001,14079,12922,11547,11216,2203,1337,51,49,74,90,3,3,201,227
50,12,3,Florida,Baker County,7,0,27118,14122,12996,11579,11295,2205,1321,50,51,81,96,3,3,204,230
50,12,3,Florida,Baker County,8,0,27351,14298,13053,11641,11317,2291,1341,56,58,86,92,3,2,221,243
50,12,3,Florida,Baker County,9,0,27872,14638,13234,11802,11440,2463,1400,59,56,84,97,5,4,225,237
50,12,3,Florida,Baker County,10,0,28230,14868,13362,11949,11563,2530,1389,56,59,89,101,5,4,239,246
50,12,3,Florida,Baker County,11,0,28355,14917,13438,11955,11578,2556,1416,62,63,91,110,5,4,248,267
50,12,5,Florida,Bay County,1,0,168852,83656,85196,70181,70717,9058,9350,603,609,1373,2068,95,85,2346,2367
50,12,5,Florida,Bay County,4,0,169541,83911,85630,70138,70842,9183,9444,624,658,1426,2144,101,86,2439,2456
50,12,5,Florida,Bay County,5,0,171749,85135,86614,71005,71555,9440,9603,640,665,1483,2172,100,106,2467,2513
50,12,5,Florida,Bay County,6,0,174606,86648,87958,72156,72489,9661,9822,678,659,1484,2226,115,110,2554,2652
50,12,5,Florida,Bay County,7,0,178305,88620,89685,73547,73760,9990,10050,705,676,1582,2307,125,120,2671,2772
50,12,5,Florida,Bay County,8,0,181387,90345,91042,74673,74570,10314,10362,745,724,1674,2354,132,132,2807,2900
50,12,5,Florida,Bay County,9,0,183384,91361,92023,75335,75200,10558,10561,776,753,1697,2399,142,145,2853,2965
50,12,5,Florida,Bay County,10,0,184046,91659,92387,75360,75355,10744,10697,772,763,1702,2410,140,147,2941,3015
50,12,5,Florida,Bay County,11,0,185287,91929,93358,75468,75916,10768,10873,778,757,1746,2477,148,150,3021,3185
50,12,7,Florida,Bradford County,1,0,28520,16010,12510,11758,10238,3944,1914,45,56,62,94,9,6,192,202
50,12,7,Florida,Bradford County,4,0,28432,16082,12350,11737,10054,4014,1931,46,62,61,86,8,5,216,212
50,12,7,Florida,Bradford County,5,0,27049,14739,12310,11094,10020,3321,1926,44,61,57,74,8,5,215,224
50,12,7,Florida,Bradford County,6,0,26803,14639,12164,11011,9907,3290,1878,43,63,60,72,7,6,228,238
50,12,7,Florida,Bradford County,7,0,26553,14476,12077,10872,9874,3248,1834,47,64,66,74,8,7,235,224
50,12,7,Florida,Bradford County,8,0,26743,14555,12188,10885,9940,3299,1857,45,68,74,80,10,7,242,236
50,12,7,Florida,Bradford County,9,0,26736,14526,12210,10807,9876,3321,1885,46,76,81,86,10,6,261,281
50,12,7,Florida,Bradford County,10,0,27133,14742,12391,10962,10039,3362,1899,48,75,82,92,9,6,279,280
50,12,7,Florida,Bradford County,11,0,27732,15318,12414,11219,10063,3664,1897,57,81,76,91,8,7,294,275
50,12,9,Florida,Brevard County,1,0,543376,266242,277134,226404,233570,27255,28977,1243,1153,4899,6842,327,328,6114,6264
50,12,9,Florida,Brevard County,4,0,544319,266422,277897,226190,233569,27302,29341,1241,1175,5093,7022,322,332,6274,6458
50,12,9,Florida,Brevard County,5,0,546978,267576,279402,226765,234145,27435,29782,1259,1217,5264,7213,336,340,6517,6705
50,12,9,Florida,Brevard County,6,0,550290,269133,281157,227700,235004,27639,30300,1282,1223,5393,7355,352,352,6767,6923
50,12,9,Florida,Brevard County,7,0,555598,271664,283934,229356,236926,28047,30733,1289,1239,5629,7513,364,367,6979,7156
50,12,9,Florida,Brevard County,8,0,565992,276651,289341,233268,241019,28584,31463,1318,1268,5898,7804,371,366,7212,7421
50,12,9,Florida,Brevard County,9,0,577338,282052,295286,237305,245528,29224,32223,1344,1300,6240,8100,374,376,7565,7759
50,12,9,Florida,Brevard County,10,0,588265,287397,300868,241163,249530,29932,32972,1334,1325,6655,8471,379,383,7934,8187
50,12,9,Florida,Brevard County,11,0,596849,291903,304946,244335,252508,30591,33425,1371,1387,6988,8771,405,393,8213,8462
50,12,11,Florida,Broward County,1,0,1748066,846571,901495,575769,593701,223046,255825,3082,3032,28433,31117,807,825,15434,16995
50,12,11,Florida,Broward County,4,0,1786955,867286,919669,584119,599236,232932,266084,3261,3173,29659,32456,837,868,16478,17852
50,12,11,Florida,Broward County,5,0,1814489,881372,933117,589110,602901,240301,273934,3390,3264,30479,33469,864,899,17228,18650
50,12,11,Florida,Broward County,6,0,1837055,893235,943820,591983,604195,247573,281352,3518,3339,31275,34433,927,941,17959,19560
50,12,11,Florida,Broward County,7,0,1861602,905434,956168,596398,607549,253619,288365,3538,3412,32135,35444,968,993,18776,20405
50,12,11,Florida,Broward County,8,0,1885443,917793,967650,600986,610878,259620,294415,3657,3512,32995,36672,1032,1064,19503,21109
50,12,11,Florida,Broward County,9,0,1912977,931843,981134,606927,615860,265566,300694,3852,3643,34267,37909,1078,1134,20153,21894
50,12,11,Florida,Broward County,10,0,1934471,942842,991629,610539,618799,271179,306342,3966,3746,35157,39127,1131,1163,20870,22452
50,12,11,Florida,Broward County,11,0,1951260,950568,1000692,612588,621007,275540,311642,4085,3825,35758,40093,1175,1213,21422,22912
50,12,13,Florida,Calhoun County,1,0,14625,7955,6670,6315,5712,1350,667,83,85,35,48,14,4,158,154
50,12,13,Florida,Calhoun County,4,0,14715,8019,6696,6350,5771,1361,628,87,88,42,55,14,4,165,150
50,12,13,Florida,Calhoun County,5,0,14663,8001,6662,6311,5743,1371,613,91,90,43,57,14,4,171,155
50,12,13,Florida,Calhoun County,6,0,14577,7960,6617,6296,5712,1347,595,92,97,45,58,15,4,165,151
50,12,13,Florida,Calhoun County,7,0,14451,7906,6545,6234,5641,1350,587,91,101,49,61,14,4,168,151
50,12,13,Florida,Calhoun County,8,0,14411,7850,6561,6203,5633,1324,600,87,102,45,54,15,4,176,168
50,12,13,Florida,Calhoun County,9,0,14334,7782,6552,6181,5618,1284,594,86,94,49,57,15,5,167,184
50,12,13,Florida,Calhoun County,10,0,14437,7879,6558,6241,5603,1305,613,87,96,54,60,15,5,177,181
50,12,13,Florida,Calhoun County,11,0,14587,7962,6625,6308,5676,1310,617,96,98,57,60,15,5,176,169
50,12,15,Florida,Charlotte County,1,0,159978,77762,82216,70824,75113,4750,4605,226,228,804,1173,48,28,1110,1069
50,12,15,Florida,Charlotte County,4,0,159851,77527,82324,70627,75085,4615,4635,227,229,842,1239,54,30,1162,1106
50,12,15,Florida,Charlotte County,5,0,162749,79232,83517,71756,76014,5130,4764,270,259,827,1260,59,34,1190,1186
50,12,15,Florida,Charlotte County,6,0,164694,80250,84444,72621,76801,5214,4809,272,271,853,1301,60,37,1230,1225
