SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,13,1,Georgia,Appling County,1,0,18236,9159,9077,7219,7179,1734,1717,36,41,62,73,34,1,74,66
50,13,1,Georgia,Appling County,4,0,18458,9368,9090,7253,7157,1876,1731,36,46,68,74,33,4,102,78
50,13,1,Georgia,Appling County,5,0,18388,9279,9109,7209,7196,1823,1716,36,49,74,66,34,1,103,81
50,13,1,Georgia,Appling County,6,0,18375,9184,9191,7120,7242,1799,1735,41,51,74,69,36,1,114,93
50,13,1,Georgia,Appling County,7,0,18476,9202,9274,7123,7315,1813,1751,43,50,76,63,36,1,111,94
50,13,1,Georgia,Appling County,8,0,18423,9191,9232,7072,7278,1820,1728,46,50,88,63,38,2,127,111
50,13,1,Georgia,Appling County,9,0,18424,9210,9214,7068,7259,1835,1722,51,53,96,66,36,2,124,112
50,13,1,Georgia,Appling County,10,0,18438,9210,9228,7056,7262,1845,1734,49,56,93,58,36,2,131,116
50,13,1,Georgia,Appling County,11,0,18507,9240,9267,7058,7240,1851,1781,49,55,97,58,36,2,149,131
50,13,3,Georgia,Atkinson County,1,0,8375,4240,4135,3345,3182,696,795,59,45,28,20,52,31,60,62
50,13,3,Georgia,Atkinson County,4,0,8360,4170,4190,3265,3243,694,774,63,46,34,24,49,28,65,75
50,13,3,Georgia,Atkinson County,5,0,8254,4157,4097,3208,3180,721,751,66,40,41,25,53,28,68,73
50,13,3,Georgia,Atkinson County,6,0,8266,4150,4116,3201,3188,715,758,67,36,45,27,53,28,69,79
50,13,3,Georgia,Atkinson County,7,0,8218,4123,4095,3172,3169,724,755,66,33,46,29,53,31,62,78
50,13,3,Georgia,Atkinson County,8,0,8344,4208,4136,3236,3206,726,749,72,40,47,26,54,31,73,84
50,13,3,Georgia,Atkinson County,9,0,8252,4147,4105,3198,3190,694,733,74,37,47,28,54,31,80,86
50,13,3,Georgia,Atkinson County,10,0,8215,4140,4075,3183,3160,693,722,78,42,48,27,54,31,84,93
50,13,3,Georgia,Atkinson County,11,0,8297,4188,4109,3231,3172,690,730,79,45,47,27,54,32,87,103
50,13,5,Georgia,Bacon County,1,0,11096,5491,5605,4542,4609,844,883,23,13,20,28,6,7,56,65
50,13,5,Georgia,Bacon County,4,0,11139,5519,5620,4529,4591,875,899,24,18,22,29,8,7,61,76
50,13,5,Georgia,Bacon County,5,0,11142,5492,5650,4512,4616,851,896,23,16,29,33,9,7,68,82
50,13,5,Georgia,Bacon County,6,0,11168,5483,5685,4494,4622,852,921,22,16,26,33,11,7,78,86
50,13,5,Georgia,Bacon County,7,0,11175,5477,5698,4460,4622,881,931,22,16,26,33,11,6,77,90
50,13,5,Georgia,Bacon County,8,0,11242,5539,5703,4479,4601,918,951,23,17,27,36,11,6,81,92
50,13,5,Georgia,Bacon County,9,0,11301,5543,5758,4479,4627,917,968,23,16,30,39,11,9,83,99
50,13,5,Georgia,Bacon County,10,0,11236,5508,5728,4433,4614,917,952,25,15,29,41,12,8,92,98
50,13,5,Georgia,Bacon County,11,0,11185,5468,5717,4387,4600,920,947,28,18,32,43,12,8,89,101
50,13,7,Georgia,Baker County,1,0,3451,1673,1778,872,881,769,860,3,6,16,14,0,2,13,15
50,13,7,Georgia,Baker County,4,0,3315,1599,1716,857,849,707,829,5,6,19,16,0,2,11,14
50,13,7,Georgia,Baker County,5,0,3376,1624,1752,876,869,713,840,3,6,19,17,0,2,13,18
50,13,7,Georgia,Baker County,6,0,3351,1626,1725,864,871,722,812,3,6,22,18,0,2,15,16
50,13,7,Georgia,Baker County,7,0,3292,1597,1695,842,845,715,800,3,10,22,17,0,2,15,21
50,13,7,Georgia,Baker County,8,0,3196,1548,1648,818,811,684,790,8,7,22,17,0,2,16,21
50,13,7,Georgia,Baker County,9,0,3186,1565,1621,835,809,687,768,8,7,20,17,0,2,15,18
50,13,7,Georgia,Baker County,10,0,3180,1561,1619,835,809,684,765,8,7,19,15,0,2,15,21
50,13,7,Georgia,Baker County,11,0,3092,1529,1563,828,789,659,729,8,7,19,15,0,2,15,21
50,13,9,Georgia,Baldwin County,1,0,45720,22683,23037,12698,12742,9385,9664,77,53,283,309,8,12,232,257
50,13,9,Georgia,Baldwin County,4,0,45173,22102,23071,12490,12855,8922,9553,78,55,360,336,11,14,241,258
50,13,9,Georgia,Baldwin County,5,0,46511,23484,23027,13003,12727,9746,9600,87,56,378,356,11,16,259,272
50,13,9,Georgia,Baldwin County,6,0,46180,23269,22911,12858,12571,9652,9620,91,62,386,363,13,19,269,276
50,13,9,Georgia,Baldwin County,7,0,45914,23149,22765,12774,12431,9617,9594,94,57,370,357,15,20,279,306
50,13,9,Georgia,Baldwin County,8,0,45542,23078,22464,12668,12190,9646,9555,92,59,383,356,16,17,273,287
50,13,9,Georgia,Baldwin County,9,0,45231,22947,22284,12476,11961,9687,9598,96,60,404,358,15,17,269,290
50,13,9,Georgia,Baldwin County,10,0,44921,22759,22162,12325,11888,9652,9531,98,57,391,364,17,18,276,304
50,13,9,Georgia,Baldwin County,11,0,44823,22742,22081,12342,11879,9648,9445,93,55,375,381,18,18,266,303
50,13,11,Georgia,Banks County,1,0,18395,9298,9097,8829,8653,215,221,44,41,96,81,9,12,105,89
50,13,11,Georgia,Banks County,4,0,18244,9189,9055,8701,8582,217,243,49,49,102,86,9,12,111,83
50,13,11,Georgia,Banks County,5,0,18128,9154,8974,8634,8508,242,229,45,40,105,97,9,12,119,88
50,13,11,Georgia,Banks County,6,0,18217,9194,9023,8678,8547,227,221,52,46,109,97,9,12,119,100
50,13,11,Georgia,Banks County,7,0,18223,9230,8993,8698,8494,231,224,59,49,113,95,11,12,118,119
50,13,11,Georgia,Banks County,8,0,18378,9328,9050,8765,8514,255,245,61,47,110,99,10,12,127,133
50,13,11,Georgia,Banks County,9,0,18321,9301,9020,8714,8485,269,239,54,48,112,102,13,15,139,131
50,13,11,Georgia,Banks County,10,0,18638,9445,9193,8845,8646,265,242,66,56,115,105,8,16,146,128
50,13,11,Georgia,Banks County,11,0,18988,9645,9343,9017,8769,287,254,71,54,106,104,6,15,158,147
50,13,13,Georgia,Barrow County,1,0,69367,34208,35159,28371,28838,3747,4289,163,139,1248,1185,22,23,657,685
50,13,13,Georgia,Barrow County,4,0,69835,34438,35397,28531,28993,3782,4302,181,142,1235,1223,25,26,684,711
50,13,13,Georgia,Barrow County,5,0,70130,34380,35750,28561,29278,3701,4311,175,147,1224,1237,28,33,691,744
50,13,13,Georgia,Barrow County,6,0,71240,35013,36227,28977,29691,3832,4326,181,152,1292,1266,26,30,705,762
50,13,13,Georgia,Barrow County,7,0,72853,35872,36981,29536,30232,4029,4433,190,159,1358,1327,26,33,733,797
50,13,13,Georgia,Barrow County,8,0,74964,36886,38078,30389,31125,4106,4540,197,169,1395,1362,29,37,770,845
50,13,13,Georgia,Barrow County,9,0,76965,37694,39271,30943,31977,4266,4759,205,170,1450,1425,28,38,802,902
50,13,13,Georgia,Barrow County,10,0,78843,38687,40156,31466,32472,4590,5027,226,177,1514,1472,33,41,858,967
50,13,13,Georgia,Barrow County,11,0,80809,39597,41212,31991,33128,4794,5270,240,185,1614,1573,36,47,922,1009
50,13,15,Georgia,Bartow County,1,0,100157,49433,50724,42867,43702,4994,5437,296,280,357,406,45,42,874,857
50,13,15,Georgia,Bartow County,4,0,100150,49417,50733,42834,43660,5005,5459,278,282,366,437,50,47,884,848
50,13,15,Georgia,Bartow County,5,0,100287,49472,50815,42848,43725,5020,5454,266,274,379,452,51,52,908,858
50,13,15,Georgia,Bartow County,6,0,100971,49774,51197,42931,43906,5153,5561,273,278,420,483,47,53,950,916
50,13,15,Georgia,Bartow County,7,0,101291,49983,51308,43013,43952,5277,5576,273,277,436,503,44,47,940,953
50,13,15,Georgia,Bartow County,8,0,102079,50312,51767,43221,44217,5345,5716,289,292,438,512,43,45,976,985
50,13,15,Georgia,Bartow County,9,0,103340,50900,52440,43543,44576,5517,5956,302,301,475,535,49,47,1014,1025
50,13,15,Georgia,Bartow County,10,0,104981,51699,53282,44101,45126,5662,6162,303,295,520,577,50,54,1063,1068
50,13,15,Georgia,Bartow County,11,0,106408,52478,53930,44692,45651,5793,6227,316,299,534,608,51,53,1092,1092
50,13,17,Georgia,Ben Hill County,1,0,17634,8439,9195,5474,5596,2778,3371,49,42,64,66,4,3,70,117
50,13,17,Georgia,Ben Hill County,4,0,17566,8392,9174,5413,5563,2779,3365,49,44,67,75,4,5,80,122
50,13,17,Georgia,Ben Hill County,5,0,17580,8427,9153,5421,5559,2793,3345,54,46,73,71,4,5,82,127
50,13,17,Georgia,Ben Hill County,6,0,17429,8351,9078,5362,5530,2780,3311,53,45,69,67,4,5,83,120
50,13,17,Georgia,Ben Hill County,7,0,17430,8298,9132,5305,5510,2786,3384,49,47,73,59,4,5,81,127
50,13,17,Georgia,Ben Hill County,8,0,17334,8249,9085,5232,5451,2795,3385,52,49,76,62,5,8,89,130
50,13,17,Georgia,Ben Hill County,9,0,17216,8175,9041,5141,5390,2802,3390,55,53,81,68,5,8,91,132
50,13,17,Georgia,Ben Hill County,10,0,17001,8085,8916,5068,5322,2782,3333,55,47,79,68,5,8,96,138
50,13,17,Georgia,Ben Hill County,11,0,16787,7965,8822,4978,5262,2757,3304,57,50,82,66,5,4,86,136
50,13,19,Georgia,Berrien County,1,0,19286,9501,9785,8388,8467,950,1133,32,30,32,50,1,4,98,101
50,13,19,Georgia,Berrien County,4,0,19377,9598,9779,8393,8423,1005,1146,34,33,48,60,2,4,116,113
50,13,19,Georgia,Berrien County,5,0,19162,9496,9666,8293,8306,980,1124,36,37,64,78,2,5,121,116
50,13,19,Georgia,Berrien County,6,0,19059,9405,9654,8219,8305,936,1109,40,39,74,79,2,4,134,118
50,13,19,Georgia,Berrien County,7,0,18815,9260,9555,8099,8202,919,1115,37,38,77,85,3,7,125,108
50,13,19,Georgia,Berrien County,8,0,18975,9374,9601,8197,8228,934,1117,37,40,84,89,4,8,118,119
50,13,19,Georgia,Berrien County,9,0,18972,9377,9595,8184,8272,928,1079,35,37,101,95,4,8,125,104
50,13,19,Georgia,Berrien County,10,0,19113,9456,9657,8214,8286,962,1106,33,36,105,105,4,7,138,117
50,13,19,Georgia,Berrien County,11,0,19252,9454,9798,8185,8382,982,1134,38,39,115,120,6,8,128,115
50,13,21,Georgia,Bibb County,1,0,155547,73286,82261,33520,35344,37245,44302,198,199,1259,1407,118,59,946,950
50,13,21,Georgia,Bibb County,4,0,156160,73784,82376,33279,34871,37911,44804,214,204,1306,1470,116,58,958,969
50,13,21,Georgia,Bibb County,5,0,156610,74071,82539,33070,34663,38244,45022,253,222,1394,1567,116,58,994,1007
50,13,21,Georgia,Bibb County,6,0,155036,73117,81919,32203,34017,38155,45050,229,200,1412,1573,114,61,1004,1018
50,13,21,Georgia,Bibb County,7,0,154333,72690,81643,31509,33397,38417,45341,227,212,1398,1568,112,61,1027,1064
50,13,21,Georgia,Bibb County,8,0,153948,72478,81470,31069,32806,38570,45616,223,221,1447,1613,117,60,1052,1154
50,13,21,Georgia,Bibb County,9,0,153180,72100,81080,30604,32268,38526,45678,244,223,1506,1677,118,63,1102,1171
50,13,21,Georgia,Bibb County,10,0,152892,71704,81188,30147,32001,38522,45991,216,224,1577,1715,115,63,1127,1194
50,13,21,Georgia,Bibb County,11,0,153095,71847,81248,29962,31716,38749,46258,218,215,1618,1749,123,68,1177,1242
50,13,23,Georgia,Bleckley County,1,0,13063,6217,6846,4526,4723,1572,2009,10,6,59,51,1,2,49,55
50,13,23,Georgia,Bleckley County,4,0,13078,6189,6889,4517,4803,1535,1956,14,7,63,56,1,2,59,65
50,13,23,Georgia,Bleckley County,5,0,12888,6120,6768,4478,4765,1495,1873,15,7,70,53,1,2,61,68
50,13,23,Georgia,Bleckley County,6,0,12740,6076,6664,4400,4672,1530,1862,15,7,75,56,1,1,55,66
50,13,23,Georgia,Bleckley County,7,0,12703,6067,6636,4404,4650,1518,1843,15,8,76,57,1,1,53,77
50,13,23,Georgia,Bleckley County,8,0,12705,6117,6588,4442,4615,1513,1832,17,10,80,55,1,1,64,75
50,13,23,Georgia,Bleckley County,9,0,12856,6159,6697,4442,4676,1547,1877,17,10,83,55,1,1,69,78
50,13,23,Georgia,Bleckley County,10,0,12775,6107,6668,4414,4677,1529,1849,18,11,75,54,1,1,70,76
50,13,23,Georgia,Bleckley County,11,0,12838,6124,6714,4414,4673,1535,1885,18,10,76,58,1,1,80,87
50,13,25,Georgia,Brantley County,1,0,18411,9189,9222,8792,8734,245,296,29,41,17,21,0,2,106,128
50,13,25,Georgia,Brantley County,4,0,18545,9207,9338,8765,8841,271,293,38,42,18,23,0,2,115,137
