SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,15,1,Hawaii,Hawaii County,1,0,185079,92821,92258,33276,31143,668,423,506,495,19811,21999,11746,11184,26814,27014
50,15,1,Hawaii,Hawaii County,4,0,187066,93609,93457,33043,31094,735,458,498,515,19846,22262,12169,11587,27318,27541
50,15,1,Hawaii,Hawaii County,5,0,189164,94485,94679,33116,31310,753,495,492,508,19915,22390,12433,11878,27776,28098
50,15,1,Hawaii,Hawaii County,6,0,191466,95368,96098,33390,31792,782,510,489,510,19921,22516,12663,12173,28123,28597
50,15,1,Hawaii,Hawaii County,7,0,193736,96478,97258,33722,32177,840,552,533,550,19907,22531,12858,12352,28618,29096
50,15,1,Hawaii,Hawaii County,8,0,195941,97489,98452,34030,32623,877,579,550,546,19889,22625,13071,12567,29072,29512
50,15,1,Hawaii,Hawaii County,9,0,198126,98515,99611,34583,33177,911,612,578,535,19856,22745,13184,12668,29403,29874
50,15,1,Hawaii,Hawaii County,10,0,199503,99007,100496,34737,33486,963,624,576,538,19762,22757,13239,12810,29730,30281
50,15,1,Hawaii,Hawaii County,11,0,200983,99602,101381,34838,33810,992,639,585,549,19758,22829,13254,12823,30175,30731
50,15,3,Hawaii,Honolulu County,1,0,953207,477092,476115,114126,92053,12393,7805,1586,1280,196999,226056,46935,45741,105053,103180
50,15,3,Hawaii,Honolulu County,4,0,967287,484764,482523,117036,93567,13508,8836,1666,1332,197574,227445,47838,46375,107142,104968
50,15,3,Hawaii,Honolulu County,5,0,978073,491197,486876,120101,94975,14546,9371,1777,1333,198047,228381,48273,46870,108453,105946
50,15,3,Hawaii,Honolulu County,6,0,986222,496362,489860,123336,96475,15216,9703,1830,1391,197821,228506,48454,46970,109705,106815
50,15,3,Hawaii,Honolulu County,7,0,987649,497805,489844,124071,96465,15698,9961,1850,1410,197036,227776,48488,46927,110662,107305
50,15,3,Hawaii,Honolulu County,8,0,991339,500112,491227,125154,97182,16320,10424,1881,1409,196869,227644,48424,46860,111464,107708
50,15,3,Hawaii,Honolulu County,9,0,992692,500792,491900,124689,96694,16871,10760,1828,1383,197021,228204,48366,46841,112017,108018
50,15,3,Hawaii,Honolulu County,10,0,986429,496679,489750,121669,95374,16905,10907,1771,1405,195894,227406,48058,46589,112382,108069
50,15,3,Hawaii,Honolulu County,11,0,980080,492574,487506,118820,93874,16800,10958,1764,1446,194632,226335,47754,46325,112804,108568
50,15,5,Hawaii,Kalawao County,1,0,90,42,48,14,11,0,0,0,0,5,2,19,25,4,10
50,15,5,Hawaii,Kalawao County,4,0,90,42,48,14,11,0,0,0,0,6,2,18,25,4,10
50,15,5,Hawaii,Kalawao County,5,0,89,42,47,14,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,6,0,89,42,47,14,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,7,0,89,42,47,14,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,8,0,88,41,47,13,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,9,0,88,41,47,13,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,10,0,88,41,47,13,11,0,0,0,0,6,1,18,25,4,10
50,15,5,Hawaii,Kalawao County,11,0,88,41,47,13,11,0,0,0,0,6,1,18,25,4,10
50,15,7,Hawaii,Kauai County,1,0,67091,33701,33390,11597,11081,168,116,158,149,10251,11103,3253,2925,8274,8016
50,15,7,Hawaii,Kauai County,4,0,67898,34015,33883,11518,11063,180,122,169,159,10367,11285,3321,3022,8460,8232
50,15,7,Hawaii,Kauai County,5,0,68691,34285,34406,11484,11189,195,129,173,155,10485,11497,3375,3069,8573,8367
50,15,7,Hawaii,Kauai County,6,0,69660,34777,34883,11680,11432,225,150,175,157,10508,11557,3425,3105,8764,8482
50,15,7,Hawaii,Kauai County,7,0,70324,35090,35234,11779,11558,238,164,180,163,10544,11577,3414,3124,8935,8648
50,15,7,Hawaii,Kauai County,8,0,71074,35371,35703,11920,11768,231,161,186,159,10544,11677,3445,3167,9045,8771
50,15,7,Hawaii,Kauai County,9,0,71575,35516,36059,11968,11888,241,180,185,155,10557,11819,3432,3153,9133,8864
50,15,7,Hawaii,Kauai County,10,0,71780,35501,36279,11878,11903,242,191,182,155,10529,11819,3426,3194,9244,9017
50,15,7,Hawaii,Kauai County,11,0,72133,35607,36526,11831,11990,268,209,183,166,10546,11843,3433,3219,9346,9099
50,15,9,Hawaii,Maui County,1,0,154834,77587,77247,28875,26875,556,344,399,387,21515,23892,8404,8060,17838,17689
50,15,9,Hawaii,Maui County,4,0,156911,78467,78444,28801,27043,601,361,417,406,21726,24219,8626,8276,18296,18139
50,15,9,Hawaii,Maui County,5,0,158888,79445,79443,29008,27284,644,372,408,411,21938,24569,8836,8435,18611,18372
50,15,9,Hawaii,Maui County,6,0,161016,80535,80481,29206,27538,642,400,425,427,22128,24759,9076,8574,19058,18783
50,15,9,Hawaii,Maui County,7,0,163064,81443,81621,29566,28035,690,456,437,455,22243,24971,9219,8660,19288,19044
50,15,9,Hawaii,Maui County,8,0,164042,81945,82097,29607,28128,694,462,446,458,22428,25110,9292,8737,19478,19202
50,15,9,Hawaii,Maui County,9,0,165624,82713,82911,29802,28435,725,498,448,457,22663,25400,9366,8773,19709,19348
50,15,9,Hawaii,Maui County,10,0,166403,82954,83449,29672,28627,734,508,461,453,22814,25594,9334,8707,19939,19560
50,15,9,Hawaii,Maui County,11,0,167207,83178,84029,29518,28844,726,546,479,457,22949,25752,9308,8647,20198,19783
