SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,19,1,Iowa,Adair County,1,0,7682,3807,3875,3767,3830,6,6,3,1,9,14,1,0,21,24
50,19,1,Iowa,Adair County,4,0,7546,3752,3794,3709,3746,6,7,2,1,10,16,1,0,24,24
50,19,1,Iowa,Adair County,5,0,7468,3707,3761,3649,3709,11,7,4,1,15,19,1,0,27,25
50,19,1,Iowa,Adair County,6,0,7387,3630,3757,3571,3696,12,8,4,5,16,19,1,0,26,29
50,19,1,Iowa,Adair County,7,0,7367,3605,3762,3537,3697,14,10,7,6,17,16,1,0,29,33
50,19,1,Iowa,Adair County,8,0,7141,3530,3611,3465,3548,15,12,5,4,17,15,1,0,27,32
50,19,1,Iowa,Adair County,9,0,6998,3476,3522,3400,3453,16,13,9,8,18,16,1,0,32,32
50,19,1,Iowa,Adair County,10,0,7053,3503,3550,3422,3479,21,17,8,8,15,15,3,0,34,31
50,19,1,Iowa,Adair County,11,0,7063,3509,3554,3427,3483,20,15,9,9,13,14,3,0,37,33
50,19,3,Iowa,Adams County,1,0,4029,1994,2035,1957,1999,5,3,11,8,10,14,0,0,11,11
50,19,3,Iowa,Adams County,4,0,3994,1980,2014,1941,1980,5,3,12,8,10,12,0,0,12,11
50,19,3,Iowa,Adams County,5,0,3909,1942,1967,1902,1931,5,3,12,8,11,13,0,0,12,12
50,19,3,Iowa,Adams County,6,0,3892,1939,1953,1893,1915,7,4,12,7,12,14,1,0,14,13
50,19,3,Iowa,Adams County,7,0,3877,1933,1944,1887,1906,7,4,11,7,14,14,1,0,13,13
50,19,3,Iowa,Adams County,8,0,3753,1868,1885,1826,1846,5,5,11,7,15,14,0,0,11,13
50,19,3,Iowa,Adams County,9,0,3692,1847,1845,1805,1807,5,5,11,6,14,14,0,0,12,13
50,19,3,Iowa,Adams County,10,0,3663,1827,1836,1785,1796,6,5,11,6,13,14,0,0,12,15
50,19,3,Iowa,Adams County,11,0,3645,1825,1820,1781,1776,7,6,13,6,12,15,1,0,11,17
50,19,5,Iowa,Allamakee County,1,0,14330,7310,7020,7130,6866,70,52,46,26,13,28,17,18,34,30
50,19,5,Iowa,Allamakee County,4,0,14219,7296,6923,7058,6742,100,67,61,27,15,32,21,19,41,36
50,19,5,Iowa,Allamakee County,5,0,14147,7261,6886,7027,6694,101,73,60,25,14,35,17,19,42,40
50,19,5,Iowa,Allamakee County,6,0,14064,7141,6923,6902,6709,94,95,68,23,15,37,14,18,48,41
50,19,5,Iowa,Allamakee County,7,0,14058,7196,6862,6922,6640,117,92,71,26,18,37,16,18,52,49
50,19,5,Iowa,Allamakee County,8,0,13858,7055,6803,6803,6574,103,100,67,27,16,38,15,18,51,46
50,19,5,Iowa,Allamakee County,9,0,13850,7063,6787,6779,6543,132,112,67,27,16,40,16,18,53,47
