SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,17,1,Illinois,Adams County,1,0,67103,32667,34436,30654,32469,1205,1152,64,55,213,239,5,7,526,514
50,17,1,Illinois,Adams County,4,0,67201,32776,34425,30688,32431,1251,1166,61,56,213,238,5,7,558,527
50,17,1,Illinois,Adams County,5,0,67135,32842,34293,30734,32259,1242,1156,72,56,219,257,5,7,570,558
50,17,1,Illinois,Adams County,6,0,67001,32847,34154,30701,32068,1259,1170,75,66,235,278,7,8,570,564
50,17,1,Illinois,Adams County,7,0,66973,32880,34093,30712,31987,1263,1159,82,70,245,317,7,7,571,553
50,17,1,Illinois,Adams County,8,0,66857,32763,34094,30515,31881,1278,1196,92,73,254,339,8,8,616,597
50,17,1,Illinois,Adams County,9,0,66521,32608,33913,30313,31636,1301,1233,103,77,244,342,11,11,636,614
50,17,1,Illinois,Adams County,10,0,66094,32521,33573,30176,31272,1341,1234,106,73,252,366,11,11,635,617
50,17,1,Illinois,Adams County,11,0,65691,32308,33383,29930,31054,1321,1217,115,72,260,389,11,10,671,641
50,17,3,Illinois,Alexander County,1,0,8238,4182,4056,2592,2505,1493,1455,19,10,10,8,4,2,64,76
50,17,3,Illinois,Alexander County,4,0,7992,4042,3950,2471,2420,1467,1424,19,11,11,11,5,6,69,78
50,17,3,Illinois,Alexander County,5,0,7719,3905,3814,2369,2338,1425,1369,17,12,9,11,5,6,80,78
50,17,3,Illinois,Alexander County,6,0,7236,3461,3775,2219,2292,1138,1373,14,13,7,11,5,5,78,81
50,17,3,Illinois,Alexander County,7,0,7082,3382,3700,2173,2242,1111,1343,16,13,6,10,5,6,71,86
50,17,3,Illinois,Alexander County,8,0,6761,3222,3539,2109,2166,1020,1261,17,13,5,10,5,6,66,83
50,17,3,Illinois,Alexander County,9,0,6457,3109,3348,2030,2100,987,1142,17,13,5,9,5,5,65,79
50,17,3,Illinois,Alexander County,10,0,6302,3019,3283,1949,2037,974,1132,17,11,6,11,5,5,68,87
50,17,3,Illinois,Alexander County,11,0,6060,2932,3128,1908,1996,931,1028,17,11,6,12,5,5,65,76
50,17,5,Illinois,Bond County,1,0,17768,9284,8484,8243,8040,825,289,65,37,36,33,4,1,111,84
50,17,5,Illinois,Bond County,4,0,17724,9267,8457,8198,7992,818,299,66,38,55,38,4,1,126,89
50,17,5,Illinois,Bond County,5,0,17534,9197,8337,8125,7872,823,290,66,39,57,41,4,1,122,94
50,17,5,Illinois,Bond County,6,0,17327,9050,8277,7972,7820,809,274,65,39,63,38,4,1,137,105
50,17,5,Illinois,Bond County,7,0,17071,8940,8131,7869,7686,805,267,61,40,70,36,3,1,132,101
50,17,5,Illinois,Bond County,8,0,16684,8738,7946,7715,7520,759,256,56,37,71,36,3,1,134,96
50,17,5,Illinois,Bond County,9,0,16541,8640,7901,7615,7473,749,253,60,45,79,35,3,1,134,94
50,17,5,Illinois,Bond County,10,0,16635,8677,7958,7641,7513,757,254,63,46,83,36,3,1,130,108
50,17,5,Illinois,Bond County,11,0,16630,8645,7985,7580,7531,769,254,66,47,93,41,3,1,134,111
50,17,7,Illinois,Boone County,1,0,54165,27059,27106,25315,25404,614,563,201,165,331,417,27,23,571,534
50,17,7,Illinois,Boone County,4,0,54132,26954,27178,25184,25458,660,579,184,169,316,411,27,21,583,540
50,17,7,Illinois,Boone County,5,0,53750,26788,26962,24963,25205,704,619,191,162,321,404,27,21,582,551
50,17,7,Illinois,Boone County,6,0,53767,26769,26998,24942,25223,714,636,178,160,313,398,28,23,594,558
50,17,7,Illinois,Boone County,7,0,53740,26793,26947,24945,25116,716,675,184,176,321,404,29,22,598,554
50,17,7,Illinois,Boone County,8,0,53606,26761,26845,24910,25019,684,647,181,193,348,412,30,22,608,552
50,17,7,Illinois,Boone County,9,0,53594,26780,26814,24868,24979,718,664,191,190,358,416,30,22,615,543
50,17,7,Illinois,Boone County,10,0,53512,26745,26767,24768,24877,737,675,188,201,360,430,29,21,663,563
