SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,18,1,Indiana,Adams County,1,0,34387,16999,17388,16744,17138,67,50,53,42,30,49,2,5,103,104
50,18,1,Indiana,Adams County,4,0,34374,17012,17362,16746,17101,66,55,56,45,37,49,2,4,105,108
50,18,1,Indiana,Adams County,5,0,34408,17026,17382,16724,17117,74,55,64,45,43,52,2,4,119,109
50,18,1,Indiana,Adams County,6,0,34654,17170,17484,16851,17206,77,57,64,43,48,61,2,4,128,113
50,18,1,Indiana,Adams County,7,0,34768,17288,17480,16955,17197,83,52,64,45,52,64,3,4,131,118
50,18,1,Indiana,Adams County,8,0,34958,17383,17575,17025,17263,88,59,63,49,58,64,6,6,143,134
50,18,1,Indiana,Adams County,9,0,35192,17522,17670,17150,17337,93,64,73,57,58,65,2,5,146,142
50,18,1,Indiana,Adams County,10,0,35422,17683,17739,17309,17394,104,81,64,47,51,68,7,8,148,141
50,18,1,Indiana,Adams County,11,0,35636,17804,17832,17395,17445,118,96,68,47,55,76,8,9,160,159
50,18,3,Indiana,Allen County,1,0,355329,173221,182108,142727,149183,20224,22345,881,829,4902,5087,180,161,4307,4503
50,18,3,Indiana,Allen County,4,0,358919,175054,183865,143657,149994,20561,22744,885,841,5226,5408,195,181,4530,4697
50,18,3,Indiana,Allen County,5,0,360883,176072,184811,143923,150313,20794,22944,876,836,5582,5730,202,189,4695,4799
50,18,3,Indiana,Allen County,6,0,363384,177069,186315,144259,151079,20955,23046,869,829,5932,6167,206,186,4848,5008
50,18,3,Indiana,Allen County,7,0,365199,178155,187044,144726,151195,21005,23141,886,845,6306,6486,194,180,5038,5197
50,18,3,Indiana,Allen County,8,0,367543,179377,188166,145357,151749,21104,23212,885,861,6642,6785,196,187,5193,5372
50,18,3,Indiana,Allen County,9,0,369778,180741,189037,145937,151914,21164,23231,875,854,7144,7253,195,192,5426,5593
50,18,3,Indiana,Allen County,10,0,372210,181897,190313,146346,152399,21275,23369,866,868,7624,7644,197,197,5589,5836
50,18,3,Indiana,Allen County,11,0,375351,183463,191888,146879,152938,21518,23562,882,887,8216,8211,196,204,5772,6086
50,18,5,Indiana,Bartholomew County,1,0,76794,37936,38858,34933,36196,865,668,214,159,1399,1272,33,25,492,538
50,18,5,Indiana,Bartholomew County,4,0,77614,38309,39305,34909,36391,869,682,219,156,1757,1470,34,25,521,581
50,18,5,Indiana,Bartholomew County,5,0,78999,39231,39768,35314,36561,905,728,217,163,2209,1695,35,26,551,595
50,18,5,Indiana,Bartholomew County,6,0,79655,39737,39918,35432,36511,975,760,213,164,2520,1863,33,26,564,594
50,18,5,Indiana,Bartholomew County,7,0,80499,40254,40245,35569,36595,983,768,217,166,2852,2060,35,28,598,628
50,18,5,Indiana,Bartholomew County,8,0,81473,40855,40618,35846,36748,994,771,204,173,3142,2282,30,27,639,617
50,18,5,Indiana,Bartholomew County,9,0,82313,41331,40982,35854,36771,1039,801,214,180,3514,2547,32,27,678,656
50,18,5,Indiana,Bartholomew County,10,0,82429,41427,41002,35778,36703,1052,791,213,177,3660,2620,34,27,690,684
50,18,5,Indiana,Bartholomew County,11,0,82753,41627,41126,35793,36677,1096,834,200,175,3793,2727,36,24,709,689
50,18,7,Indiana,Benton County,1,0,8854,4385,4469,4307,4397,35,19,10,2,1,14,2,1,30,36
50,18,7,Indiana,Benton County,4,0,8855,4418,4437,4336,4352,37,24,10,5,1,12,2,1,32,43
50,18,7,Indiana,Benton County,5,0,8820,4413,4407,4324,4318,42,24,12,5,1,13,2,1,32,46
50,18,7,Indiana,Benton County,6,0,8746,4395,4351,4285,4257,53,28,12,4,3,17,2,1,40,44
50,18,7,Indiana,Benton County,7,0,8718,4373,4345,4266,4248,48,31,12,4,2,19,2,1,43,42
50,18,7,Indiana,Benton County,8,0,8690,4366,4324,4247,4219,52,27,14,5,3,20,2,1,48,52
50,18,7,Indiana,Benton County,9,0,8656,4332,4324,4205,4208,52,29,14,6,6,19,2,2,53,60
50,18,7,Indiana,Benton County,10,0,8617,4297,4320,4170,4195,50,30,16,7,7,19,2,2,52,67
50,18,7,Indiana,Benton County,11,0,8653,4296,4357,4160,4227,54,33,16,10,10,18,3,2,53,67
50,18,9,Indiana,Blackford County,1,0,12766,6292,6474,6165,6357,41,11,5,17,5,14,3,1,73,74
50,18,9,Indiana,Blackford County,4,0,12654,6272,6382,6120,6245,54,14,5,18,8,24,3,1,82,80
50,18,9,Indiana,Blackford County,5,0,12528,6209,6319,6060,6160,56,19,5,19,6,32,3,1,79,88
50,18,9,Indiana,Blackford County,6,0,12458,6167,6291,6017,6134,55,20,6,21,7,31,3,1,79,84
50,18,9,Indiana,Blackford County,7,0,12346,6110,6236,5957,6073,57,20,7,20,8,34,4,2,77,87
50,18,9,Indiana,Blackford County,8,0,12237,6043,6194,5883,6018,54,21,7,22,10,36,4,2,85,95
50,18,9,Indiana,Blackford County,9,0,12105,5990,6115,5812,5933,57,23,6,19,9,33,3,1,103,106
50,18,9,Indiana,Blackford County,10,0,12027,5939,6088,5771,5916,59,20,7,22,11,31,3,1,88,98
50,18,9,Indiana,Blackford County,11,0,11930,5889,6041,5704,5864,64,26,12,22,12,32,3,1,94,96
50,18,11,Indiana,Boone County,1,0,56640,27864,28776,26776,27593,271,235,74,41,420,541,4,8,319,358
50,18,11,Indiana,Boone County,4,0,57905,28563,29342,27339,28042,297,273,74,46,498,574,7,7,348,400
50,18,11,Indiana,Boone County,5,0,59026,29136,29890,27763,28454,371,328,80,55,532,610,8,10,382,433
50,18,11,Indiana,Boone County,6,0,60342,29857,30485,28367,28947,410,384,86,57,598,661,6,10,390,426
50,18,11,Indiana,Boone County,7,0,61625,30517,31108,28901,29455,467,428,88,62,648,723,6,10,407,430
50,18,11,Indiana,Boone County,8,0,63028,31237,31791,29459,29989,524,437,93,73,714,798,5,10,442,484
50,18,11,Indiana,Boone County,9,0,64168,31847,32321,29891,30364,581,500,95,68,781,850,10,12,489,527
50,18,11,Indiana,Boone County,10,0,65786,32725,33061,30557,30913,670,561,98,78,883,947,14,15,503,547
50,18,11,Indiana,Boone County,11,0,66999,33331,33668,31002,31292,710,639,101,87,974,1075,14,16,530,559
50,18,13,Indiana,Brown County,1,0,15242,7565,7677,7428,7491,34,28,25,25,7,38,0,1,71,94
50,18,13,Indiana,Brown County,4,0,15075,7470,7605,7307,7397,45,34,28,31,13,43,0,1,77,99
50,18,13,Indiana,Brown County,5,0,15048,7490,7558,7324,7345,42,32,28,32,13,47,0,1,83,101
50,18,13,Indiana,Brown County,6,0,15055,7505,7550,7335,7336,38,34,27,33,16,45,0,1,89,101
50,18,13,Indiana,Brown County,7,0,14944,7420,7524,7245,7307,38,37,33,35,14,43,0,1,90,101
50,18,13,Indiana,Brown County,8,0,14995,7431,7564,7241,7339,40,31,36,37,15,42,0,1,99,114
50,18,13,Indiana,Brown County,9,0,15000,7417,7583,7221,7348,45,42,36,39,18,44,0,2,97,108
50,18,13,Indiana,Brown County,10,0,14999,7405,7594,7193,7352,50,46,39,45,20,45,0,3,103,103
50,18,13,Indiana,Brown County,11,0,15234,7507,7727,7275,7468,58,49,47,53,20,49,0,3,107,105
50,18,15,Indiana,Carroll County,1,0,20155,10100,10055,9947,9892,34,26,18,35,7,15,1,0,93,87
50,18,15,Indiana,Carroll County,4,0,20036,10005,10031,9845,9857,39,29,19,36,9,18,1,0,92,91
50,18,15,Indiana,Carroll County,5,0,20106,10019,10087,9825,9883,51,40,23,37,11,27,1,0,108,100
50,18,15,Indiana,Carroll County,6,0,20110,10003,10107,9798,9885,65,52,24,39,13,29,1,0,102,102
50,18,15,Indiana,Carroll County,7,0,19949,9879,10070,9652,9840,76,57,26,40,12,26,1,0,112,107
50,18,15,Indiana,Carroll County,8,0,19882,9896,9986,9676,9761,77,52,27,38,9,18,1,0,106,117
50,18,15,Indiana,Carroll County,9,0,19960,9960,10000,9710,9759,91,62,31,41,12,19,1,1,115,118
50,18,15,Indiana,Carroll County,10,0,20050,10051,9999,9797,9769,85,55,35,41,13,21,1,1,120,112
50,18,15,Indiana,Carroll County,11,0,20127,10117,10010,9858,9771,95,65,34,41,14,21,2,3,114,109
50,18,17,Indiana,Cass County,1,0,38966,19478,19488,18322,18571,444,249,237,190,231,219,31,36,213,223
50,18,17,Indiana,Cass County,4,0,38909,19476,19433,18257,18520,449,242,243,184,273,216,28,35,226,236
50,18,17,Indiana,Cass County,5,0,38769,19413,19356,18134,18375,463,266,229,188,335,246,30,36,222,245
50,18,17,Indiana,Cass County,6,0,38590,19323,19267,18004,18257,454,272,208,186,363,254,31,34,263,264
50,18,17,Indiana,Cass County,7,0,38495,19219,19276,17908,18250,439,282,200,177,369,257,27,35,276,275
50,18,17,Indiana,Cass County,8,0,38114,19059,19055,17699,17991,453,267,202,179,390,301,29,35,286,282
50,18,17,Indiana,Cass County,9,0,37953,19025,18928,17614,17808,456,286,212,179,404,321,33,39,306,295
50,18,17,Indiana,Cass County,10,0,37905,18940,18965,17477,17793,467,297,220,194,436,355,37,37,303,289
50,18,17,Indiana,Cass County,11,0,37955,18958,18997,17425,17766,500,319,222,199,452,375,34,39,325,299
50,18,19,Indiana,Clark County,1,0,110232,53979,56253,48318,50429,3949,3953,218,188,420,504,30,26,1044,1153
50,18,19,Indiana,Clark County,4,0,111487,54635,56852,48791,50833,3996,4038,232,219,477,561,32,25,1107,1176
50,18,19,Indiana,Clark County,5,0,111857,54852,57005,48932,50940,4041,4051,223,219,493,593,35,25,1128,1177
50,18,19,Indiana,Clark County,6,0,112697,55270,57427,49195,51249,4076,4047,243,239,510,623,40,26,1206,1243
50,18,19,Indiana,Clark County,7,0,114047,55861,58186,49592,51790,4209,4197,252,227,501,615,39,29,1268,1328
50,18,19,Indiana,Clark County,8,0,114831,56153,58678,49675,52014,4347,4353,254,214,561,658,39,32,1277,1407
50,18,19,Indiana,Clark County,9,0,115598,56420,59178,49830,52346,4361,4464,275,227,572,686,41,32,1341,1423
50,18,19,Indiana,Clark County,10,0,116672,56913,59759,50100,52659,4525,4598,254,222,583,744,52,42,1399,1494
50,18,19,Indiana,Clark County,11,0,117360,57274,60086,50231,52738,4721,4820,248,238,589,746,51,42,1434,1502
50,18,21,Indiana,Clay County,1,0,26890,13234,13656,12998,13444,58,36,34,25,23,37,5,3,116,111
50,18,21,Indiana,Clay County,4,0,26831,13200,13631,12932,13385,71,48,36,31,28,42,6,3,127,122
50,18,21,Indiana,Clay County,5,0,26784,13210,13574,12934,13305,78,43,38,33,32,46,6,4,122,143
50,18,21,Indiana,Clay County,6,0,26658,13139,13519,12856,13236,93,58,34,28,34,52,7,3,115,142
50,18,21,Indiana,Clay County,7,0,26424,13031,13393,12732,13089,86,58,37,32,39,49,6,3,131,162
50,18,21,Indiana,Clay County,8,0,26390,13012,13378,12713,13070,93,66,37,38,38,51,7,4,124,149
50,18,21,Indiana,Clay County,9,0,26200,12919,13281,12600,12962,100,64,36,40,38,49,6,3,139,163
50,18,21,Indiana,Clay County,10,0,26155,12904,13251,12557,12921,111,74,36,40,40,49,8,5,152,162
50,18,21,Indiana,Clay County,11,0,26170,12930,13240,12564,12903,114,75,34,41,45,51,7,5,166,165
50,18,23,Indiana,Clinton County,1,0,33224,16426,16798,16118,16518,107,45,56,59,34,51,4,3,107,122
50,18,23,Indiana,Clinton County,4,0,33032,16328,16704,16010,16403,113,52,53,61,36,50,4,3,112,135
50,18,23,Indiana,Clinton County,5,0,32890,16201,16689,15855,16367,120,58,67,68,38,55,4,3,117,138
50,18,23,Indiana,Clinton County,6,0,32773,16155,16618,15791,16288,123,60,68,69,40,57,6,4,127,140
50,18,23,Indiana,Clinton County,7,0,32471,16045,16426,15666,16068,124,58,66,74,46,61,8,7,135,158
50,18,23,Indiana,Clinton County,8,0,32381,16029,16352,15630,15984,134,55,70,81,47,64,6,4,142,164
50,18,23,Indiana,Clinton County,9,0,32198,15955,16243,15540,15879,151,63,71,76,50,65,7,6,136,154
50,18,23,Indiana,Clinton County,10,0,32207,16026,16181,15583,15801,157,72,72,86,51,67,7,6,156,149
50,18,23,Indiana,Clinton County,11,0,32250,16035,16215,15567,15819,166,74,77,91,61,77,7,5,157,149
50,18,25,Indiana,Crawford County,1,0,10713,5436,5277,5329,5173,19,15,29,16,9,11,4,5,46,57
50,18,25,Indiana,Crawford County,4,0,10622,5379,5243,5271,5143,21,14,25,16,9,10,4,5,49,55
50,18,25,Indiana,Crawford County,5,0,10670,5401,5269,5288,5161,25,19,24,17,9,10,4,5,51,57
50,18,25,Indiana,Crawford County,6,0,10621,5390,5231,5274,5114,27,22,27,21,8,11,4,5,50,58
50,18,25,Indiana,Crawford County,7,0,10670,5400,5270,5282,5146,27,25,28,22,8,11,4,5,51,61
50,18,25,Indiana,Crawford County,8,0,10557,5359,5198,5236,5076,27,24,28,22,10,10,3,5,55,61
50,18,25,Indiana,Crawford County,9,0,10582,5365,5217,5229,5086,34,25,28,19,10,12,3,5,61,70
50,18,25,Indiana,Crawford County,10,0,10536,5342,5194,5192,5063,36,24,30,17,10,9,3,6,71,75
50,18,25,Indiana,Crawford County,11,0,10558,5371,5187,5209,5049,38,26,34,24,12,10,3,6,75,72
50,18,27,Indiana,Daviess County,1,0,31648,15770,15878,15408,15537,100,89,48,51,81,80,14,7,119,114
