SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,20,1,Kansas,Allen County,1,0,13371,6525,6846,6149,6459,133,126,60,55,26,43,1,1,156,162
50,20,1,Kansas,Allen County,4,0,13348,6492,6856,6114,6437,138,130,59,57,24,46,2,4,155,182
50,20,1,Kansas,Allen County,5,0,13305,6508,6797,6118,6356,141,136,55,58,26,51,2,4,166,192
50,20,1,Kansas,Allen County,6,0,13067,6397,6670,6007,6229,142,136,57,57,26,58,2,4,163,186
50,20,1,Kansas,Allen County,7,0,12890,6298,6592,5906,6167,149,131,54,55,24,51,1,1,164,187
50,20,1,Kansas,Allen County,8,0,12662,6180,6482,5778,6058,146,127,54,51,26,55,1,1,175,190
50,20,1,Kansas,Allen County,9,0,12634,6174,6460,5769,6019,149,126,55,57,26,56,2,4,173,198
50,20,1,Kansas,Allen County,10,0,12518,6131,6387,5728,5949,134,121,62,59,27,63,1,2,179,193
50,20,1,Kansas,Allen County,11,0,12444,6131,6313,5708,5863,140,121,58,64,31,64,2,2,192,199
50,20,3,Kansas,Anderson County,1,0,8102,4013,4089,3914,3979,27,13,17,23,17,23,1,0,37,51
50,20,3,Kansas,Anderson County,4,0,8059,4008,4051,3899,3931,27,15,19,28,19,26,1,0,43,51
50,20,3,Kansas,Anderson County,5,0,7918,3924,3994,3809,3871,31,12,18,32,19,25,1,0,46,54
50,20,3,Kansas,Anderson County,6,0,7853,3898,3955,3775,3834,28,14,19,32,21,25,1,0,54,50
50,20,3,Kansas,Anderson County,7,0,7881,3923,3958,3797,3830,28,13,22,33,22,27,2,2,52,53
50,20,3,Kansas,Anderson County,8,0,7817,3886,3931,3774,3809,26,12,20,29,22,27,2,2,42,52
50,20,3,Kansas,Anderson County,9,0,7815,3902,3913,3783,3793,31,13,21,31,21,27,1,0,45,49
50,20,3,Kansas,Anderson County,10,0,7860,3928,3932,3806,3799,31,16,19,31,20,30,1,0,51,56
50,20,3,Kansas,Anderson County,11,0,7878,3911,3967,3775,3813,30,21,20,34,22,32,1,0,63,67
50,20,5,Kansas,Atchison County,1,0,16924,8236,8688,7532,7980,444,414,45,49,28,42,4,4,183,199
50,20,5,Kansas,Atchison County,4,0,16754,8132,8622,7413,7919,447,420,47,46,32,43,4,4,189,190
50,20,5,Kansas,Atchison County,5,0,16775,8146,8629,7410,7922,437,402,50,52,41,44,4,5,204,204
50,20,5,Kansas,Atchison County,6,0,16690,8133,8557,7370,7839,453,400,53,53,42,50,4,4,211,211
50,20,5,Kansas,Atchison County,7,0,16524,8048,8476,7292,7773,444,390,54,50,38,49,4,4,216,210
50,20,5,Kansas,Atchison County,8,0,16419,8024,8395,7245,7691,447,397,51,44,47,50,7,6,227,207
50,20,5,Kansas,Atchison County,9,0,16376,7977,8399,7214,7685,438,395,53,49,53,52,4,4,215,214
50,20,5,Kansas,Atchison County,10,0,16301,7928,8373,7167,7667,433,382,55,56,57,45,6,4,210,219
50,20,5,Kansas,Atchison County,11,0,16193,7861,8332,7108,7616,426,386,59,54,55,49,4,4,209,223
50,20,7,Kansas,Barber County,1,0,4861,2451,2410,2388,2337,14,8,15,17,7,13,0,0,27,35
50,20,7,Kansas,Barber County,4,0,4922,2491,2431,2414,2351,16,9,19,19,7,17,1,0,34,35
50,20,7,Kansas,Barber County,5,0,4868,2483,2385,2401,2300,20,11,19,18,8,18,0,0,35,38
50,20,7,Kansas,Barber County,6,0,4910,2500,2410,2404,2316,23,11,22,21,8,17,0,1,43,44
50,20,7,Kansas,Barber County,7,0,4882,2480,2402,2381,2301,20,12,26,22,9,22,0,1,44,44
50,20,7,Kansas,Barber County,8,0,4824,2473,2351,2362,2245,27,13,28,23,9,21,0,1,47,48
50,20,7,Kansas,Barber County,9,0,4673,2401,2272,2287,2169,27,14,28,25,8,18,0,1,51,45
50,20,7,Kansas,Barber County,10,0,4583,2351,2232,2235,2128,25,13,27,25,8,19,0,1,56,46
50,20,7,Kansas,Barber County,11,0,4472,2301,2171,2185,2070,26,15,33,28,8,15,0,1,49,42
50,20,9,Kansas,Barton County,1,0,27674,13589,14085,12997,13517,259,215,115,106,20,45,6,10,192,192
50,20,9,Kansas,Barton County,4,0,27694,13634,14060,13032,13489,258,218,113,103,27,54,5,11,199,185
50,20,9,Kansas,Barton County,5,0,27526,13588,13938,12976,13365,254,206,111,112,27,54,5,11,215,190
50,20,9,Kansas,Barton County,6,0,27453,13552,13901,12953,13297,243,222,115,125,26,51,5,12,210,194
50,20,9,Kansas,Barton County,7,0,27345,13520,13825,12881,13205,257,246,114,112,25,46,5,11,238,205
50,20,9,Kansas,Barton County,8,0,27173,13380,13793,12740,13152,256,255,110,107,27,46,5,12,242,221
50,20,9,Kansas,Barton County,9,0,26896,13284,13612,12615,12984,257,242,121,110,29,46,5,11,257,219
50,20,9,Kansas,Barton County,10,0,26432,13035,13397,12373,12758,253,255,125,114,27,42,5,12,252,216
50,20,9,Kansas,Barton County,11,0,26111,12899,13212,12238,12576,254,262,124,113,25,43,5,12,253,206
50,20,11,Kansas,Bourbon County,1,0,15173,7430,7743,6911,7288,267,175,57,64,35,38,3,2,157,176
50,20,11,Kansas,Bourbon County,4,0,14944,7358,7586,6806,7130,281,174,60,58,43,42,3,2,165,180
50,20,11,Kansas,Bourbon County,5,0,14878,7346,7532,6775,7077,288,176,61,58,48,47,4,2,170,172
50,20,11,Kansas,Bourbon County,6,0,14836,7340,7496,6763,7025,286,174,61,61,53,61,5,2,172,173
50,20,11,Kansas,Bourbon County,7,0,14798,7299,7499,6704,6987,296,180,66,68,58,71,4,2,171,191
50,20,11,Kansas,Bourbon County,8,0,14742,7307,7435,6680,6921,299,171,71,61,64,88,4,3,189,191
