SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,21,1,Kentucky,Adair County,1,0,18656,9208,9448,8767,9076,298,217,21,17,18,28,3,6,101,104
50,21,1,Kentucky,Adair County,4,0,18991,9374,9617,8888,9233,327,222,21,16,19,27,6,7,113,112
50,21,1,Kentucky,Adair County,5,0,18937,9347,9590,8874,9196,326,216,23,20,18,33,3,6,103,119
50,21,1,Kentucky,Adair County,6,0,19126,9471,9655,8945,9249,354,233,27,21,26,33,3,6,116,113
50,21,1,Kentucky,Adair County,7,0,19265,9502,9763,8977,9357,347,230,26,25,30,34,3,6,119,111
50,21,1,Kentucky,Adair County,8,0,19168,9501,9667,8972,9257,340,225,25,31,35,36,3,5,126,113
50,21,1,Kentucky,Adair County,9,0,19264,9528,9736,8996,9325,336,216,25,32,37,33,3,7,131,123
50,21,1,Kentucky,Adair County,10,0,19294,9578,9716,9023,9294,339,215,26,32,44,35,3,5,143,135
50,21,1,Kentucky,Adair County,11,0,19215,9508,9707,8953,9273,346,225,27,27,43,37,3,6,136,139
50,21,3,Kentucky,Allen County,1,0,19956,9805,10151,9561,9918,89,78,30,29,9,22,2,0,114,104
50,21,3,Kentucky,Allen County,4,0,20190,9924,10266,9652,10002,100,92,33,35,9,32,2,0,128,105
50,21,3,Kentucky,Allen County,5,0,20250,9985,10265,9697,10002,111,90,34,35,13,33,2,0,128,105
50,21,3,Kentucky,Allen County,6,0,20333,10022,10311,9726,10040,125,106,32,33,12,29,2,0,125,103
50,21,3,Kentucky,Allen County,7,0,20510,10164,10346,9845,10087,127,93,35,32,14,30,6,0,137,104
50,21,3,Kentucky,Allen County,8,0,20678,10209,10469,9894,10200,126,92,31,31,14,30,2,1,142,115
50,21,3,Kentucky,Allen County,9,0,20738,10236,10502,9909,10216,132,94,31,33,18,35,2,4,144,120
50,21,3,Kentucky,Allen County,10,0,20921,10343,10578,9989,10278,145,101,32,32,21,33,2,1,154,133
50,21,3,Kentucky,Allen County,11,0,21122,10446,10676,10072,10359,156,103,35,33,23,35,2,1,158,145
50,21,5,Kentucky,Anderson County,1,0,21421,10468,10953,10090,10507,215,219,23,12,43,64,3,3,94,148
50,21,5,Kentucky,Anderson County,4,0,21551,10531,11020,10134,10556,214,217,22,12,53,75,5,3,103,157
50,21,5,Kentucky,Anderson County,5,0,21686,10626,11060,10221,10606,218,206,24,13,47,69,5,4,111,162
50,21,5,Kentucky,Anderson County,6,0,21737,10632,11105,10214,10632,233,218,26,11,46,70,6,4,107,170
50,21,5,Kentucky,Anderson County,7,0,21853,10659,11194,10222,10703,231,221,31,14,45,74,6,4,124,178
50,21,5,Kentucky,Anderson County,8,0,21891,10668,11223,10220,10713,230,234,35,12,51,76,6,4,126,184
50,21,5,Kentucky,Anderson County,9,0,22146,10791,11355,10325,10841,235,231,34,16,46,73,6,4,145,190
50,21,5,Kentucky,Anderson County,10,0,22518,11048,11470,10550,10942,241,224,39,18,47,75,6,4,165,207
50,21,5,Kentucky,Anderson County,11,0,22663,11107,11556,10587,11016,256,228,37,18,50,80,6,3,171,211
50,21,7,Kentucky,Ballard County,1,0,8249,4096,4153,3896,3949,123,116,6,8,2,13,0,1,69,66
50,21,7,Kentucky,Ballard County,4,0,8269,4105,4164,3892,3947,132,118,6,8,4,13,0,1,71,77
50,21,7,Kentucky,Ballard County,5,0,8287,4126,4161,3916,3945,127,116,7,13,7,13,0,1,69,73
50,21,7,Kentucky,Ballard County,6,0,8254,4100,4154,3879,3916,133,130,7,13,8,15,0,1,73,79
50,21,7,Kentucky,Ballard County,7,0,8189,4066,4123,3838,3893,131,118,7,14,13,16,0,1,77,81
50,21,7,Kentucky,Ballard County,8,0,8216,4067,4149,3832,3907,135,120,6,15,13,17,0,1,81,89
50,21,7,Kentucky,Ballard County,9,0,8045,3991,4054,3745,3800,147,121,7,17,15,18,0,1,77,97
50,21,7,Kentucky,Ballard County,10,0,8021,4002,4019,3740,3762,149,118,8,16,18,18,0,1,87,104
50,21,7,Kentucky,Ballard County,11,0,7979,3977,4002,3710,3751,150,119,8,17,20,18,0,1,89,96
50,21,9,Kentucky,Barren County,1,0,42173,20464,21709,19124,20388,821,835,78,50,83,112,41,23,317,301
50,21,9,Kentucky,Barren County,4,0,42329,20549,21780,19180,20400,813,855,87,48,100,134,40,23,329,320
50,21,9,Kentucky,Barren County,5,0,42620,20737,21883,19335,20510,820,851,89,46,117,147,39,21,337,308
50,21,9,Kentucky,Barren County,6,0,42952,20854,22098,19433,20668,826,858,86,53,119,172,38,21,352,326
50,21,9,Kentucky,Barren County,7,0,43048,20857,22191,19410,20742,839,868,89,52,127,185,38,20,354,324
50,21,9,Kentucky,Barren County,8,0,43566,21115,22451,19609,20936,888,910,91,51,146,192,38,25,343,337
50,21,9,Kentucky,Barren County,9,0,43794,21191,22603,19670,21076,876,897,85,59,170,210,42,28,348,333
50,21,9,Kentucky,Barren County,10,0,43815,21184,22631,19587,21069,911,904,90,63,176,222,45,29,375,344
50,21,9,Kentucky,Barren County,11,0,44176,21353,22823,19703,21194,936,922,94,63,180,243,53,36,387,365
50,21,11,Kentucky,Bath County,1,0,11591,5751,5840,5592,5671,82,74,16,14,3,14,8,4,50,63
50,21,11,Kentucky,Bath County,4,0,11714,5787,5927,5624,5751,88,78,15,14,3,15,7,4,50,65
50,21,11,Kentucky,Bath County,5,0,11781,5848,5933,5677,5736,87,84,15,14,7,18,6,4,56,77
50,21,11,Kentucky,Bath County,6,0,11974,5913,6061,5741,5851,80,88,15,14,9,20,7,4,61,84
50,21,11,Kentucky,Bath County,7,0,12131,6007,6124,5819,5913,91,79,15,17,10,27,7,4,65,84
