SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,22,1,Louisiana,Acadia Parish,1,0,61773,30161,31612,24286,25244,5374,5868,100,79,64,79,3,3,334,339
50,22,1,Louisiana,Acadia Parish,4,0,61853,30093,31760,24201,25300,5358,5907,107,87,65,95,3,3,359,368
50,22,1,Louisiana,Acadia Parish,5,0,61991,30157,31834,24208,25354,5368,5872,113,94,67,106,3,8,398,400
50,22,1,Louisiana,Acadia Parish,6,0,62294,30348,31946,24342,25419,5404,5901,120,94,69,125,4,8,409,399
50,22,1,Louisiana,Acadia Parish,7,0,62664,30530,32134,24472,25514,5437,5982,123,97,82,105,7,8,409,428
50,22,1,Louisiana,Acadia Parish,8,0,62681,30544,32137,24412,25512,5496,5948,130,101,76,110,4,8,426,458
50,22,1,Louisiana,Acadia Parish,9,0,62793,30542,32251,24419,25639,5454,5911,129,93,77,116,7,8,456,484
50,22,1,Louisiana,Acadia Parish,10,0,62514,30405,32109,24284,25532,5430,5863,137,99,76,124,8,8,470,483
50,22,1,Louisiana,Acadia Parish,11,0,62190,30342,31848,24186,25299,5443,5838,137,102,78,121,8,12,490,476
50,22,3,Louisiana,Allen Parish,1,0,25764,14490,11274,10024,8522,3902,2138,300,341,90,86,4,4,170,183
50,22,3,Louisiana,Allen Parish,4,0,25755,14530,11225,10069,8502,3871,2095,303,343,105,82,4,5,178,198
50,22,3,Louisiana,Allen Parish,5,0,25638,14475,11163,10020,8490,3860,2044,300,335,102,79,5,5,188,210
50,22,3,Louisiana,Allen Parish,6,0,25683,14504,11179,10024,8517,3865,2018,303,335,101,75,5,5,206,229
50,22,3,Louisiana,Allen Parish,7,0,25729,14536,11193,10038,8550,3877,1996,306,327,101,73,4,6,210,241
50,22,3,Louisiana,Allen Parish,8,0,25645,14490,11155,10002,8521,3868,1983,291,315,106,74,5,6,218,256
50,22,3,Louisiana,Allen Parish,9,0,25693,14555,11138,10080,8542,3870,1968,301,314,105,65,5,7,194,242
50,22,3,Louisiana,Allen Parish,10,0,25631,14515,11116,10037,8520,3861,1950,301,321,105,65,4,5,207,255
50,22,3,Louisiana,Allen Parish,11,0,25605,14516,11089,10037,8518,3856,1938,288,306,103,68,4,5,228,254
50,22,5,Louisiana,Ascension Parish,1,0,107215,52947,54268,40269,40321,11381,12636,195,192,515,546,48,37,539,536
50,22,5,Louisiana,Ascension Parish,4,0,110065,54342,55723,41287,41253,11639,13063,212,195,579,578,52,42,573,592
50,22,5,Louisiana,Ascension Parish,5,0,112218,55399,56819,41914,41972,11974,13323,237,217,617,643,52,43,605,621
50,22,5,Louisiana,Ascension Parish,6,0,114638,56697,57941,42796,42704,12294,13650,236,224,649,656,56,41,666,666
50,22,5,Louisiana,Ascension Parish,7,0,117287,57968,59319,43639,43503,12586,14076,266,254,710,732,45,39,722,715
50,22,5,Louisiana,Ascension Parish,8,0,119374,59065,60309,44285,44083,12882,14386,292,259,777,789,58,49,771,743
50,22,5,Louisiana,Ascension Parish,9,0,121520,60155,61365,44872,44799,13285,14668,293,258,836,834,54,45,815,761
50,22,5,Louisiana,Ascension Parish,10,0,123028,60821,62207,45155,45264,13621,14969,302,266,856,869,50,47,837,792
50,22,5,Louisiana,Ascension Parish,11,0,124672,61555,63117,45486,45670,13983,15413,305,276,875,879,58,49,848,830
50,22,7,Louisiana,Assumption Parish,1,0,23421,11456,11965,7852,8007,3406,3761,69,79,32,30,10,4,87,84
50,22,7,Louisiana,Assumption Parish,4,0,23183,11277,11906,7764,8017,3300,3677,72,79,39,39,10,4,92,90
50,22,7,Louisiana,Assumption Parish,5,0,23072,11221,11851,7723,8011,3274,3626,69,81,38,38,12,5,105,90
50,22,7,Louisiana,Assumption Parish,6,0,23200,11326,11874,7774,8036,3302,3618,81,78,39,41,12,5,118,96
50,22,7,Louisiana,Assumption Parish,7,0,23047,11264,11783,7714,7943,3297,3614,79,73,40,39,12,5,122,109
50,22,7,Louisiana,Assumption Parish,8,0,22890,11159,11731,7644,7913,3270,3592,78,78,45,37,12,5,110,106
50,22,7,Louisiana,Assumption Parish,9,0,22751,11062,11689,7594,7893,3207,3564,81,81,46,40,12,4,122,107
50,22,7,Louisiana,Assumption Parish,10,0,22580,10967,11613,7504,7820,3189,3552,86,81,49,43,12,4,127,113
50,22,7,Louisiana,Assumption Parish,11,0,22300,10819,11481,7415,7749,3123,3487,84,85,51,45,11,4,135,111
50,22,9,Louisiana,Avoyelles Parish,1,0,42073,21097,20976,13888,14433,6584,5868,269,247,67,76,0,3,289,349
50,22,9,Louisiana,Avoyelles Parish,4,0,41791,20981,20810,13802,14322,6526,5787,265,251,93,88,0,3,295,359
50,22,9,Louisiana,Avoyelles Parish,5,0,41572,20826,20746,13663,14257,6472,5768,274,250,114,95,0,3,303,373
50,22,9,Louisiana,Avoyelles Parish,6,0,41275,20680,20595,13513,14147,6467,5732,282,233,126,102,0,3,292,378
50,22,9,Louisiana,Avoyelles Parish,7,0,41089,20659,20430,13428,14023,6499,5696,284,234,130,102,0,4,318,371
50,22,9,Louisiana,Avoyelles Parish,8,0,40991,20647,20344,13367,13925,6539,5697,270,235,142,103,3,4,326,380
