SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,25,1,Massachusetts,Barnstable County,1,0,215888,102854,113034,96795,107082,2505,2123,776,725,1088,1304,69,53,1621,1747
50,25,1,Massachusetts,Barnstable County,4,0,215333,102606,112727,96299,106535,2610,2210,808,749,1140,1372,78,59,1671,1802
50,25,1,Massachusetts,Barnstable County,5,0,214783,102521,112262,95909,105895,2811,2344,810,739,1203,1415,73,57,1715,1812
50,25,1,Massachusetts,Barnstable County,6,0,214520,102284,112236,95428,105598,2936,2465,820,741,1251,1480,75,60,1774,1892
50,25,1,Massachusetts,Barnstable County,7,0,214299,102342,111957,95128,105011,3101,2619,846,760,1329,1566,72,59,1866,1942
50,25,1,Massachusetts,Barnstable County,8,0,213811,102080,111731,94561,104543,3257,2806,849,771,1407,1610,69,56,1937,1945
50,25,1,Massachusetts,Barnstable County,9,0,213446,102081,111365,94201,103911,3502,3013,858,764,1492,1649,68,56,1960,1972
50,25,1,Massachusetts,Barnstable County,10,0,213482,102144,111338,93907,103580,3709,3170,877,792,1564,1719,75,58,2012,2019
50,25,1,Massachusetts,Barnstable County,11,0,213413,102092,111321,93591,103335,3859,3314,860,765,1646,1798,79,59,2057,2050
50,25,3,Massachusetts,Berkshire County,1,0,131219,63169,68050,59006,63866,2010,1771,174,144,729,923,18,24,1232,1322
50,25,3,Massachusetts,Berkshire County,4,0,130531,62913,67618,58635,63317,2027,1818,184,151,751,946,17,22,1299,1364
50,25,3,Massachusetts,Berkshire County,5,0,130268,62885,67383,58423,62982,2122,1854,188,159,769,961,22,29,1361,1398
50,25,3,Massachusetts,Berkshire County,6,0,129473,62562,66911,58036,62454,2138,1859,180,164,800,1001,22,30,1386,1403
50,25,3,Massachusetts,Berkshire County,7,0,128845,62206,66639,57652,62104,2140,1897,188,172,816,1038,23,32,1387,1396
