SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,24,1,Maryland,Allegany County,1,0,75087,38842,36245,33210,33963,4734,1327,59,53,276,303,17,18,546,581
50,24,1,Maryland,Allegany County,4,0,74562,38696,35866,32986,33564,4763,1308,61,57,297,331,17,18,572,588
50,24,1,Maryland,Allegany County,5,0,73936,38361,35575,32690,33260,4686,1282,65,58,307,342,17,18,596,615
50,24,1,Maryland,Allegany County,6,0,73566,38149,35417,32531,33060,4600,1276,70,66,310,353,18,18,620,644
50,24,1,Maryland,Allegany County,7,0,73007,37890,35117,32255,32655,4562,1288,68,68,342,397,19,19,644,690
50,24,1,Maryland,Allegany County,8,0,72462,37592,34870,31964,32445,4540,1231,75,68,346,420,17,20,650,686
50,24,1,Maryland,Allegany County,9,0,72055,37459,34596,31759,32132,4543,1217,80,74,369,435,19,22,689,716
50,24,1,Maryland,Allegany County,10,0,71386,37139,34247,31432,31750,4534,1251,79,72,379,431,19,24,696,719
50,24,1,Maryland,Allegany County,11,0,70975,36998,33977,31245,31437,4544,1271,76,71,378,439,21,25,734,734
50,24,3,Maryland,Anne Arundel County,1,0,537656,265763,271893,207525,209685,41390,43678,1091,1017,8595,10106,302,304,6860,7103
50,24,3,Maryland,Anne Arundel County,4,0,544744,269305,275439,209430,211593,42441,44571,1104,1042,8837,10496,297,318,7196,7419
50,24,3,Maryland,Anne Arundel County,5,0,550311,272271,278040,211121,212892,43103,45362,1130,1065,9033,10776,325,313,7559,7632
50,24,3,Maryland,Anne Arundel County,6,0,555438,274948,280490,212312,213903,44026,46162,1164,1069,9309,11136,327,330,7810,7890
50,24,3,Maryland,Anne Arundel County,7,0,559691,277392,282299,212972,214212,45204,47033,1201,1123,9604,11466,346,339,8065,8126
50,24,3,Maryland,Anne Arundel County,8,0,563502,279358,284144,213180,214174,46329,48255,1228,1125,9936,11807,367,342,8318,8441
50,24,3,Maryland,Anne Arundel County,9,0,567665,281307,286358,213173,214317,47550,49610,1259,1158,10300,12217,384,348,8641,8708
50,24,3,Maryland,Anne Arundel County,10,0,571592,283298,288294,213153,214204,48830,50933,1287,1168,10649,12587,354,350,9025,9052
50,24,3,Maryland,Anne Arundel County,11,0,576031,285333,290698,213117,214071,50217,52653,1323,1220,11129,13098,368,337,9179,9319
50,24,5,Maryland,Baltimore County,1,0,805029,380409,424620,254763,276482,95716,116699,1593,1609,20089,20922,261,245,7987,8663
50,24,5,Maryland,Baltimore County,4,0,812797,384377,428420,254811,275779,98082,119718,1625,1661,21179,21885,271,261,8409,9116
50,24,5,Maryland,Baltimore County,5,0,818023,387118,430905,254532,275049,99764,121457,1662,1687,22096,22931,269,283,8795,9498
50,24,5,Maryland,Baltimore County,6,0,822238,389287,432951,253529,273580,101687,123697,1686,1718,23011,23772,280,288,9094,9896
50,24,5,Maryland,Baltimore County,7,0,825006,390768,434238,252361,271702,103358,125552,1674,1750,23749,24578,297,302,9329,10354
50,24,5,Maryland,Baltimore County,8,0,827471,392180,435291,250605,269725,105472,127535,1706,1777,24531,25279,301,316,9565,10659
50,24,5,Maryland,Baltimore County,9,0,828616,393013,435603,248268,266762,107960,130061,1718,1827,24972,25777,308,338,9787,10838
50,24,5,Maryland,Baltimore County,10,0,828603,392874,435729,245702,263629,109705,132517,1787,1847,25328,26252,311,329,10041,11155
50,24,5,Maryland,Baltimore County,11,0,828431,392710,435721,243210,260578,111457,134899,1803,1834,25705,26757,301,327,10234,11326
50,24,9,Maryland,Calvert County,1,0,88737,43713,45024,36132,36645,5783,6250,176,174,475,812,21,33,1126,1110
50,24,9,Maryland,Calvert County,4,0,89318,43930,45388,36337,36937,5694,6231,195,177,497,812,26,37,1181,1194
50,24,9,Maryland,Calvert County,5,0,89715,44239,45476,36592,37045,5693,6173,192,169,521,830,28,36,1213,1223
50,24,9,Maryland,Calvert County,6,0,90438,44698,45740,37004,37242,5698,6182,192,173,554,857,31,39,1219,1247
50,24,9,Maryland,Calvert County,7,0,90545,44772,45773,36978,37275,5693,6132,185,170,615,865,31,39,1270,1292
50,24,9,Maryland,Calvert County,8,0,90468,44727,45741,36879,37201,5671,6117,201,182,650,902,32,43,1294,1296
50,24,9,Maryland,Calvert County,9,0,91028,45042,45986,36996,37361,5748,6128,215,193,694,926,36,50,1353,1328
50,24,9,Maryland,Calvert County,10,0,91365,45232,46133,37040,37382,5815,6169,211,193,707,937,49,59,1410,1393
50,24,9,Maryland,Calvert County,11,0,92003,45613,46390,37270,37561,5878,6183,221,198,759,979,49,53,1436,1416
50,24,11,Maryland,Caroline County,1,0,33066,16123,16943,13376,13880,2119,2512,156,94,89,113,71,37,312,307
50,24,11,Maryland,Caroline County,4,0,32887,15989,16898,13177,13739,2133,2574,161,92,126,145,68,32,324,316
50,24,11,Maryland,Caroline County,5,0,32631,15828,16803,13046,13693,2106,2498,156,94,126,151,70,33,324,334
50,24,11,Maryland,Caroline County,6,0,32647,15870,16777,13053,13610,2132,2527,152,95,133,164,75,33,325,348
50,24,11,Maryland,Caroline County,7,0,32535,15852,16683,13019,13532,2118,2483,154,102,143,176,74,33,344,357
50,24,11,Maryland,Caroline County,8,0,32591,15956,16635,13063,13451,2160,2500,167,101,151,186,71,33,344,364
50,24,11,Maryland,Caroline County,9,0,32836,16114,16722,13148,13555,2169,2454,177,104,166,189,70,32,384,388
50,24,11,Maryland,Caroline County,10,0,33108,16251,16857,13194,13606,2211,2498,174,105,187,205,70,33,415,410
50,24,11,Maryland,Caroline County,11,0,33304,16326,16978,13226,13731,2237,2498,173,111,195,209,72,35,423,394
50,24,13,Maryland,Carroll County,1,0,167134,82510,84624,77054,79439,3006,2440,193,162,1087,1381,26,35,1144,1167
50,24,13,Maryland,Carroll County,4,0,167019,82526,84493,76905,79161,3046,2451,192,169,1139,1446,31,34,1213,1232
50,24,13,Maryland,Carroll County,5,0,167032,82554,84478,76886,79035,3042,2467,181,171,1154,1483,34,34,1257,1288
50,24,13,Maryland,Carroll County,6,0,167199,82650,84549,76806,78985,3163,2527,185,180,1172,1491,41,42,1283,1324
50,24,13,Maryland,Carroll County,7,0,167317,82768,84549,76803,78831,3205,2572,188,187,1200,1541,34,45,1338,1373
50,24,13,Maryland,Carroll County,8,0,167133,82650,84483,76555,78602,3231,2615,187,188,1258,1614,34,48,1385,1416
50,24,13,Maryland,Carroll County,9,0,167110,82624,84486,76265,78349,3338,2683,197,194,1326,1704,36,57,1462,1499
