SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,23,1,Maine,Androscoggin County,1,0,107702,52716,54986,49103,51347,2069,1930,218,220,338,453,19,21,969,1015
50,23,1,Maine,Androscoggin County,4,0,107426,52637,54789,48884,51078,2153,1956,212,219,348,456,19,18,1021,1062
50,23,1,Maine,Androscoggin County,5,0,107481,52679,54802,48881,51143,2148,1906,205,216,349,449,22,23,1074,1065
50,23,1,Maine,Androscoggin County,6,0,107275,52631,54644,48720,50973,2213,1882,202,225,362,441,17,21,1117,1102
50,23,1,Maine,Androscoggin County,7,0,107415,52725,54690,48699,50861,2240,2026,209,224,410,455,17,21,1150,1103
50,23,1,Maine,Androscoggin County,8,0,107155,52559,54596,48504,50656,2246,2068,220,227,416,472,19,19,1154,1154
50,23,1,Maine,Androscoggin County,9,0,107404,52545,54859,48359,50736,2311,2207,227,227,449,490,22,16,1177,1183
50,23,1,Maine,Androscoggin County,10,0,107569,52655,54914,48328,50630,2395,2322,241,222,455,491,23,16,1213,1233
50,23,1,Maine,Androscoggin County,11,0,107679,52706,54973,48329,50614,2399,2341,239,225,452,492,23,19,1264,1282
50,23,3,Maine,Aroostook County,1,0,71870,35387,36483,33953,34971,279,193,579,654,123,191,7,5,446,469
50,23,3,Maine,Aroostook County,4,0,71384,35198,36186,33704,34599,313,215,585,672,127,205,8,16,461,479
50,23,3,Maine,Aroostook County,5,0,70767,34868,35899,33383,34318,308,228,600,672,130,195,10,16,437,470
50,23,3,Maine,Aroostook County,6,0,70094,34599,35495,33084,33907,324,235,608,668,127,186,9,15,447,484
50,23,3,Maine,Aroostook County,7,0,69553,34350,35203,32813,33571,359,257,618,685,124,190,9,15,427,485
50,23,3,Maine,Aroostook County,8,0,68855,34014,34841,32454,33218,389,260,611,678,123,177,16,15,421,493
50,23,3,Maine,Aroostook County,9,0,68233,33702,34531,32115,32854,402,285,621,685,127,190,12,15,425,502
50,23,3,Maine,Aroostook County,10,0,67595,33427,34168,31811,32456,416,299,626,682,127,191,14,16,433,524
50,23,3,Maine,Aroostook County,11,0,67111,33186,33925,31534,32206,437,308,621,676,122,192,12,14,460,529
50,23,5,Maine,Cumberland County,1,0,281674,136684,144990,127363,135609,3814,3280,481,487,2647,3219,52,41,2327,2354
50,23,5,Maine,Cumberland County,4,0,282663,137367,145296,127711,135559,4016,3474,476,497,2708,3350,49,39,2407,2377
50,23,5,Maine,Cumberland County,5,0,283624,137902,145722,127998,135787,4154,3544,468,504,2698,3392,49,42,2535,2453
50,23,5,Maine,Cumberland County,6,0,285570,138864,146706,128660,136405,4343,3722,462,525,2725,3423,49,45,2625,2586
50,23,5,Maine,Cumberland County,7,0,288137,139954,148183,129479,137308,4508,4008,449,554,2777,3548,49,46,2692,2719
50,23,5,Maine,Cumberland County,8,0,289544,140660,148884,130050,137841,4567,4088,450,560,2782,3592,47,47,2764,2756
50,23,5,Maine,Cumberland County,9,0,291138,141294,149844,130499,138350,4652,4299,451,569,2794,3695,57,50,2841,2881
50,23,5,Maine,Cumberland County,10,0,292344,141906,150438,130952,138847,4711,4307,463,572,2828,3716,56,45,2896,2951
50,23,5,Maine,Cumberland County,11,0,293557,142464,151093,131321,139320,4774,4387,477,574,2900,3783,54,45,2938,2984
50,23,7,Maine,Franklin County,1,0,30768,15053,15715,14700,15339,50,24,53,63,48,87,2,8,200,194
50,23,7,Maine,Franklin County,4,0,30738,15111,15627,14728,15213,64,31,52,67,52,113,2,7,213,196
50,23,7,Maine,Franklin County,5,0,30649,15044,15605,14649,15183,83,37,50,65,54,113,3,7,205,200
50,23,7,Maine,Franklin County,6,0,30520,14953,15567,14548,15133,95,41,50,62,53,113,3,8,204,210
50,23,7,Maine,Franklin County,7,0,30243,14818,15425,14394,14996,104,47,52,66,55,100,3,7,210,209
50,23,7,Maine,Franklin County,8,0,30057,14737,15320,14323,14879,101,55,53,67,46,86,4,7,210,226
50,23,7,Maine,Franklin County,9,0,30046,14772,15274,14332,14817,115,57,64,69,48,85,5,8,208,238
50,23,7,Maine,Franklin County,10,0,29852,14721,15131,14268,14654,117,65,69,69,46,90,5,9,216,244
50,23,7,Maine,Franklin County,11,0,29897,14676,15221,14205,14744,117,58,68,74,51,93,5,9,230,243
50,23,9,Maine,Hancock County,1,0,54418,26641,27777,25939,26975,129,100,119,108,172,285,5,2,277,307
50,23,9,Maine,Hancock County,4,0,54519,26680,27839,25877,26983,188,122,125,112,183,297,7,2,300,323
50,23,9,Maine,Hancock County,5,0,54477,26595,27882,25756,26970,175,138,136,117,196,320,7,3,325,334
50,23,9,Maine,Hancock County,6,0,54574,26600,27974,25718,27029,191,148,135,119,203,328,7,3,346,347
