SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,26,1,Michigan,Alcona County,1,0,10942,5555,5387,5469,5279,5,8,35,32,5,20,1,0,40,48
50,26,1,Michigan,Alcona County,4,0,10740,5442,5298,5353,5187,5,9,39,36,5,21,1,0,39,45
50,26,1,Michigan,Alcona County,5,0,10570,5353,5217,5265,5099,6,10,34,35,5,22,1,1,42,50
50,26,1,Michigan,Alcona County,6,0,10551,5297,5254,5198,5128,8,13,37,35,7,24,1,1,46,53
50,26,1,Michigan,Alcona County,7,0,10448,5255,5193,5152,5055,9,19,36,34,9,24,1,1,48,60
50,26,1,Michigan,Alcona County,8,0,10329,5213,5116,5108,4970,12,22,36,39,8,25,1,1,48,59
50,26,1,Michigan,Alcona County,9,0,10356,5217,5139,5104,4988,16,25,35,38,8,25,1,2,53,61
50,26,1,Michigan,Alcona County,10,0,10323,5210,5113,5088,4952,17,29,36,40,8,27,1,3,60,62
50,26,1,Michigan,Alcona County,11,0,10362,5224,5138,5096,4970,21,29,35,40,9,30,3,4,60,65
50,26,3,Michigan,Alger County,1,0,9601,5224,4377,4290,4015,605,7,201,196,19,15,0,0,109,144
50,26,3,Michigan,Alger County,4,0,9515,5202,4313,4253,3951,607,6,199,188,24,17,0,1,119,150
50,26,3,Michigan,Alger County,5,0,9448,5184,4264,4212,3905,629,9,194,183,27,18,0,1,122,148
50,26,3,Michigan,Alger County,6,0,9435,5178,4257,4209,3891,630,10,191,182,27,19,0,0,121,155
50,26,3,Michigan,Alger County,7,0,9361,5150,4211,4165,3841,642,11,196,187,26,16,0,0,121,156
50,26,3,Michigan,Alger County,8,0,9251,5093,4158,4098,3781,649,14,202,187,26,19,0,1,118,156
50,26,3,Michigan,Alger County,9,0,9124,5029,4095,4021,3696,659,16,208,202,21,19,0,1,120,161
50,26,3,Michigan,Alger County,10,0,9137,5049,4088,4051,3690,650,13,200,197,20,21,0,1,128,166
50,26,3,Michigan,Alger County,11,0,9097,5033,4064,4032,3673,651,13,202,199,21,20,0,1,127,158
50,26,5,Michigan,Allegan County,1,0,111408,55473,55935,53150,53635,764,677,373,349,294,407,14,16,878,851
50,26,5,Michigan,Allegan County,4,0,111158,55367,55791,52990,53463,759,683,382,345,316,428,16,17,904,855
50,26,5,Michigan,Allegan County,5,0,111499,55536,55963,53091,53418,778,728,398,397,327,469,14,22,928,929
50,26,5,Michigan,Allegan County,6,0,112013,55869,56144,53346,53517,819,752,396,408,372,516,14,22,922,929
50,26,5,Michigan,Allegan County,7,0,113357,56445,56912,53884,54198,800,767,430,411,390,543,15,21,926,972
