SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,27,1,Minnesota,Aitkin County,1,0,16202,8205,7997,7871,7646,34,26,201,191,8,19,0,4,91,111
50,27,1,Minnesota,Aitkin County,4,0,16167,8193,7974,7848,7607,37,30,202,199,9,20,0,4,97,114
50,27,1,Minnesota,Aitkin County,5,0,16034,8142,7892,7779,7521,41,31,197,196,14,22,0,4,111,118
50,27,1,Minnesota,Aitkin County,6,0,15871,8047,7824,7690,7438,39,33,195,205,15,20,1,4,107,124
50,27,1,Minnesota,Aitkin County,7,0,15848,8025,7823,7654,7406,39,34,204,220,15,20,1,4,112,139
50,27,1,Minnesota,Aitkin County,8,0,15855,8032,7823,7653,7384,45,34,204,235,17,25,1,4,112,141
50,27,1,Minnesota,Aitkin County,9,0,15757,7959,7798,7597,7359,48,40,189,234,18,27,2,4,105,134
50,27,1,Minnesota,Aitkin County,10,0,15809,8005,7804,7633,7368,53,38,196,232,20,26,2,4,101,136
50,27,1,Minnesota,Aitkin County,11,0,15902,8034,7868,7644,7438,47,33,200,221,23,28,1,5,119,143
50,27,3,Minnesota,Anoka County,1,0,330844,165327,165517,146226,146325,7609,7193,1282,1230,6330,6792,71,58,3809,3919
50,27,3,Minnesota,Anoka County,4,0,332876,166289,166587,146562,146618,7919,7566,1281,1277,6409,6976,87,72,4031,4078
50,27,3,Minnesota,Anoka County,5,0,336093,167980,168113,147444,147394,8348,7917,1305,1331,6599,7192,89,74,4195,4205
50,27,3,Minnesota,Anoka County,6,0,339099,169504,169595,148238,148226,8766,8266,1340,1323,6723,7384,94,76,4343,4320
50,27,3,Minnesota,Anoka County,7,0,341911,170852,171059,148721,148704,9343,8919,1398,1367,6810,7529,94,80,4486,4460
50,27,3,Minnesota,Anoka County,8,0,344246,172108,172138,148934,148877,9978,9406,1489,1461,7008,7724,95,83,4604,4587
50,27,3,Minnesota,Anoka County,9,0,346665,173391,173274,149040,148800,10631,10126,1513,1475,7370,8066,98,85,4739,4722
50,27,3,Minnesota,Anoka County,10,0,350521,175311,175210,149511,149169,11598,11044,1534,1514,7719,8482,107,88,4842,4913
50,27,3,Minnesota,Anoka County,11,0,353813,176976,176837,149705,149379,12433,11850,1540,1546,8126,8872,117,100,5055,5090
50,27,5,Minnesota,Becker County,1,0,32504,16314,16190,14497,14307,79,65,1205,1269,53,74,4,5,476,470
50,27,5,Minnesota,Becker County,4,0,32762,16418,16344,14529,14420,90,74,1237,1288,60,75,4,5,498,482
50,27,5,Minnesota,Becker County,5,0,32988,16466,16522,14536,14528,88,68,1257,1332,58,81,6,5,521,508
50,27,5,Minnesota,Becker County,6,0,33178,16569,16609,14586,14531,101,87,1288,1393,66,84,6,6,522,508
50,27,5,Minnesota,Becker County,7,0,33256,16607,16649,14620,14568,102,83,1278,1385,68,99,5,5,534,509
50,27,5,Minnesota,Becker County,8,0,33442,16678,16764,14652,14633,116,100,1275,1398,75,94,5,6,555,533
