SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,29,1,Missouri,Adair County,1,0,25607,12204,13403,11513,12712,207,204,41,39,224,235,4,9,215,204
50,29,1,Missouri,Adair County,4,0,25652,12244,13408,11478,12617,215,232,43,37,283,279,4,19,221,224
50,29,1,Missouri,Adair County,5,0,25671,12258,13413,11472,12597,215,264,42,35,290,264,3,18,236,235
50,29,1,Missouri,Adair County,6,0,25701,12309,13392,11515,12584,221,268,43,34,301,270,4,15,225,221
50,29,1,Missouri,Adair County,7,0,25516,12231,13285,11384,12406,251,305,42,34,300,270,4,14,250,256
50,29,1,Missouri,Adair County,8,0,25307,12147,13160,11285,12249,284,324,41,39,278,281,4,14,255,253
50,29,1,Missouri,Adair County,9,0,25155,12098,13057,11224,12149,313,338,43,34,273,281,3,11,242,244
50,29,1,Missouri,Adair County,10,0,25306,12183,13123,11228,12132,353,377,51,38,284,307,3,11,264,258
50,29,1,Missouri,Adair County,11,0,25339,12194,13145,11232,12163,378,375,47,36,277,301,5,12,255,258
50,29,3,Missouri,Andrew County,1,0,17291,8513,8778,8328,8575,36,37,19,33,30,46,1,1,99,86
50,29,3,Missouri,Andrew County,4,0,17201,8501,8700,8286,8472,55,54,21,36,33,48,1,1,105,89
50,29,3,Missouri,Andrew County,5,0,17313,8543,8770,8316,8542,55,51,20,35,36,48,1,1,115,93
50,29,3,Missouri,Andrew County,6,0,17309,8550,8759,8286,8510,68,60,21,35,40,51,4,2,131,101
50,29,3,Missouri,Andrew County,7,0,17283,8524,8759,8257,8517,72,63,25,27,37,45,2,1,131,106
50,29,3,Missouri,Andrew County,8,0,17318,8559,8759,8288,8520,72,58,23,27,41,47,2,1,133,106
50,29,3,Missouri,Andrew County,9,0,17357,8622,8735,8345,8488,74,54,27,31,42,49,3,3,131,110
50,29,3,Missouri,Andrew County,10,0,17449,8681,8768,8389,8496,81,67,26,31,44,53,3,3,138,118
50,29,3,Missouri,Andrew County,11,0,17607,8746,8861,8408,8567,113,81,34,35,50,55,3,3,138,120
50,29,5,Missouri,Atchison County,1,0,5685,2818,2867,2782,2823,9,8,6,6,3,6,1,2,17,22
50,29,5,Missouri,Atchison County,4,0,5573,2759,2814,2720,2769,9,8,6,7,3,6,2,2,19,22
50,29,5,Missouri,Atchison County,5,0,5513,2732,2781,2671,2705,26,37,7,8,3,6,1,2,24,23
50,29,5,Missouri,Atchison County,6,0,5422,2691,2731,2633,2679,13,10,12,11,7,7,1,2,25,22
50,29,5,Missouri,Atchison County,7,0,5358,2657,2701,2600,2650,11,8,14,11,7,7,1,2,24,23
50,29,5,Missouri,Atchison County,8,0,5293,2629,2664,2574,2615,13,7,12,11,7,7,2,2,21,22
50,29,5,Missouri,Atchison County,9,0,5279,2601,2678,2548,2620,14,7,10,9,7,7,2,2,20,33
50,29,5,Missouri,Atchison County,10,0,5248,2593,2655,2533,2593,17,9,10,9,7,7,1,2,25,35
50,29,5,Missouri,Atchison County,11,0,5171,2572,2599,2509,2535,18,9,10,11,7,7,1,2,27,35
50,29,7,Missouri,Audrain County,1,0,25529,11798,13731,10831,12388,643,1022,44,62,73,42,3,5,204,212
50,29,7,Missouri,Audrain County,4,0,25529,11748,13781,10793,12430,626,1026,45,65,75,41,3,7,206,212
50,29,7,Missouri,Audrain County,5,0,25530,11703,13827,10755,12454,615,1053,46,64,76,40,3,7,208,209
50,29,7,Missouri,Audrain County,6,0,25544,11637,13907,10671,12465,604,1095,49,63,81,42,4,7,228,235
50,29,7,Missouri,Audrain County,7,0,25815,11778,14037,10769,12554,620,1098,58,72,81,44,7,9,243,260
50,29,7,Missouri,Audrain County,8,0,25937,11764,14173,10733,12654,636,1133,59,77,81,47,7,9,248,253
50,29,7,Missouri,Audrain County,9,0,25848,11748,14100,10674,12595,666,1117,65,80,80,43,8,9,255,256
50,29,7,Missouri,Audrain County,10,0,25600,11661,13939,10588,12457,680,1115,64,71,82,44,9,12,238,240
50,29,7,Missouri,Audrain County,11,0,25473,11687,13786,10597,12311,687,1094,69,76,85,46,11,13,238,246
50,29,9,Missouri,Barry County,1,0,35597,17670,17927,16905,17155,57,52,181,181,244,247,7,1,276,291
50,29,9,Missouri,Barry County,4,0,35349,17599,17750,16801,16949,67,64,190,194,251,258,9,1,281,284
50,29,9,Missouri,Barry County,5,0,35334,17586,17748,16749,16898,69,68,191,204,264,280,11,2,302,296
50,29,9,Missouri,Barry County,6,0,35334,17658,17676,16782,16779,78,70,201,227,272,283,15,6,310,311
50,29,9,Missouri,Barry County,7,0,35324,17638,17686,16765,16755,86,77,206,243,269,304,15,7,297,300
50,29,9,Missouri,Barry County,8,0,35310,17742,17568,16811,16616,89,81,219,218,279,328,19,9,325,316
50,29,9,Missouri,Barry County,9,0,35261,17684,17577,16718,16607,107,91,235,219,290,325,16,9,318,326
50,29,9,Missouri,Barry County,10,0,35686,17961,17725,16887,16692,120,100,261,215,336,366,25,16,332,336
50,29,9,Missouri,Barry County,11,0,35886,18147,17739,17008,16695,121,97,260,215,392,376,38,25,328,331
50,29,11,Missouri,Barton County,1,0,12402,6113,6289,5859,6011,27,20,68,76,8,21,4,3,147,158
50,29,11,Missouri,Barton County,4,0,12345,6070,6275,5808,5976,28,20,69,83,10,32,4,3,151,161
50,29,11,Missouri,Barton County,5,0,12297,6037,6260,5773,5958,31,23,67,83,10,35,4,5,152,156
50,29,11,Missouri,Barton County,6,0,12178,5995,6183,5716,5868,34,23,75,81,11,42,4,5,155,164
50,29,11,Missouri,Barton County,7,0,11984,5903,6081,5617,5749,57,37,71,83,11,42,4,5,143,165
50,29,11,Missouri,Barton County,8,0,11829,5841,5988,5536,5648,55,34,78,89,15,45,4,4,153,168
50,29,11,Missouri,Barton County,9,0,11828,5865,5963,5547,5627,55,35,80,82,15,46,6,4,162,169
50,29,11,Missouri,Barton County,10,0,11809,5832,5977,5506,5637,56,27,81,85,16,52,5,2,168,174
50,29,11,Missouri,Barton County,11,0,11798,5807,5991,5488,5657,54,32,85,87,16,50,5,2,159,163
50,29,13,Missouri,Bates County,1,0,17049,8407,8642,8122,8418,104,47,60,52,8,19,2,0,111,106
50,29,13,Missouri,Bates County,4,0,16968,8400,8568,8095,8335,116,48,64,55,8,18,2,0,115,112
50,29,13,Missouri,Bates County,5,0,16620,8200,8420,7898,8180,112,45,65,57,10,18,2,0,113,120
50,29,13,Missouri,Bates County,6,0,16432,8117,8315,7808,8060,118,57,65,58,11,19,3,0,112,121
50,29,13,Missouri,Bates County,7,0,16519,8174,8345,7855,8079,118,62,65,58,14,18,2,0,120,128
50,29,13,Missouri,Bates County,8,0,16367,8102,8265,7763,7995,111,60,69,56,15,19,3,0,141,135
50,29,13,Missouri,Bates County,9,0,16355,8072,8283,7712,7998,121,61,70,59,15,19,6,1,148,145
50,29,13,Missouri,Bates County,10,0,16310,8061,8249,7694,7951,129,66,68,65,16,18,6,2,148,147
50,29,13,Missouri,Bates County,11,0,16320,8069,8251,7683,7954,132,64,69,65,18,21,6,2,161,145
50,29,15,Missouri,Benton County,1,0,19056,9544,9512,9304,9277,33,26,55,63,24,34,2,3,126,109
50,29,15,Missouri,Benton County,4,0,19028,9571,9457,9318,9212,33,29,63,61,25,39,2,4,130,112
50,29,15,Missouri,Benton County,5,0,18987,9546,9441,9286,9182,35,31,66,61,26,42,4,3,129,122
50,29,15,Missouri,Benton County,6,0,18939,9498,9441,9248,9180,32,31,65,61,26,45,4,3,123,121
50,29,15,Missouri,Benton County,7,0,18876,9491,9385,9226,9125,37,29,66,55,29,43,4,5,129,128
50,29,15,Missouri,Benton County,8,0,18788,9429,9359,9142,9066,47,32,73,59,26,50,4,5,137,147
50,29,15,Missouri,Benton County,9,0,18933,9487,9446,9174,9131,60,38,77,62,26,52,4,6,146,157
50,29,15,Missouri,Benton County,10,0,19068,9552,9516,9232,9193,53,40,80,65,26,53,5,5,156,160
50,29,15,Missouri,Benton County,11,0,19278,9663,9615,9317,9263,58,44,86,67,30,56,6,6,166,179
