SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,28,1,Mississippi,Adams County,1,0,32297,16129,16168,7768,6600,8057,9311,80,45,79,50,2,2,143,160
50,28,1,Mississippi,Adams County,4,0,32433,16381,16052,8007,6518,8066,9256,84,47,79,56,2,1,143,174
50,28,1,Mississippi,Adams County,5,0,32193,16225,15968,7925,6472,7985,9209,86,50,87,64,2,1,140,172
50,28,1,Mississippi,Adams County,6,0,32116,16258,15858,7995,6364,7935,9183,87,51,93,73,3,1,145,186
50,28,1,Mississippi,Adams County,7,0,32072,16329,15743,8037,6267,7959,9168,91,53,94,74,4,1,144,180
50,28,1,Mississippi,Adams County,8,0,31570,16044,15526,7863,6186,7847,9022,88,54,97,83,3,2,146,179
50,28,1,Mississippi,Adams County,9,0,31563,16049,15514,7850,6135,7850,9062,90,54,94,74,3,2,162,187
50,28,1,Mississippi,Adams County,10,0,31337,16144,15193,8028,5918,7769,8979,92,58,91,74,3,2,161,162
50,28,1,Mississippi,Adams County,11,0,31192,16249,14943,8221,5744,7672,8909,95,61,87,73,5,3,169,153
50,28,3,Mississippi,Alcorn County,1,0,37057,18111,18946,15834,16419,2003,2244,61,42,55,68,7,5,151,168
50,28,3,Mississippi,Alcorn County,4,0,37275,18352,18923,15936,16346,2122,2269,66,46,68,73,5,5,155,184
50,28,3,Mississippi,Alcorn County,5,0,37203,18240,18963,15827,16356,2122,2285,62,44,62,72,3,5,164,201
50,28,3,Mississippi,Alcorn County,6,0,37278,18300,18978,15798,16328,2202,2308,67,48,59,79,3,5,171,210
50,28,3,Mississippi,Alcorn County,7,0,37250,18201,19049,15675,16311,2227,2386,67,55,59,75,2,6,171,216
50,28,3,Mississippi,Alcorn County,8,0,37273,18266,19007,15703,16251,2241,2376,66,62,72,87,2,7,182,224
50,28,3,Mississippi,Alcorn County,9,0,37249,18203,19046,15665,16264,2224,2407,62,66,63,80,3,8,186,221
50,28,3,Mississippi,Alcorn County,10,0,37203,18218,18985,15634,16220,2256,2358,65,76,61,83,4,9,198,239
50,28,3,Mississippi,Alcorn County,11,0,36925,18024,18901,15466,16126,2214,2359,67,93,66,82,4,8,207,233
50,28,5,Mississippi,Amite County,1,0,13131,6374,6757,3730,3857,2602,2837,10,12,2,10,0,1,30,40
50,28,5,Mississippi,Amite County,4,0,13133,6437,6696,3754,3821,2625,2809,16,14,2,10,0,2,40,40
50,28,5,Mississippi,Amite County,5,0,12931,6297,6634,3697,3766,2542,2795,13,14,2,11,0,1,43,47
50,28,5,Mississippi,Amite County,6,0,12850,6302,6548,3691,3719,2549,2760,16,11,2,9,0,1,44,48
50,28,5,Mississippi,Amite County,7,0,12598,6111,6487,3580,3690,2473,2723,14,15,3,9,0,1,41,49
50,28,5,Mississippi,Amite County,8,0,12546,6066,6480,3593,3716,2416,2692,16,13,3,10,0,1,38,48
50,28,5,Mississippi,Amite County,9,0,12426,6036,6390,3565,3700,2404,2614,19,19,3,11,0,1,45,45
