SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,30,1,Montana,Beaverhead County,1,0,9246,4731,4515,4540,4343,17,6,69,66,12,24,25,13,68,63
50,30,1,Montana,Beaverhead County,4,0,9209,4715,4494,4486,4314,22,10,76,75,15,22,26,14,90,59
50,30,1,Montana,Beaverhead County,5,0,9358,4793,4565,4529,4348,39,36,81,81,15,24,25,13,104,63
50,30,1,Montana,Beaverhead County,6,0,9305,4766,4539,4518,4344,19,10,84,86,17,26,24,13,104,60
50,30,1,Montana,Beaverhead County,7,0,9337,4782,4555,4532,4356,19,11,85,90,17,21,22,10,107,67
50,30,1,Montana,Beaverhead County,8,0,9298,4763,4535,4505,4331,18,9,87,90,17,24,21,10,115,71
50,30,1,Montana,Beaverhead County,9,0,9471,4862,4609,4598,4394,23,13,85,87,17,23,21,9,118,83
50,30,1,Montana,Beaverhead County,10,0,9453,4837,4616,4568,4379,20,14,86,92,21,30,21,12,121,89
50,30,1,Montana,Beaverhead County,11,0,9404,4834,4570,4561,4341,23,13,90,91,18,27,21,10,121,88
50,30,3,Montana,Big Horn County,1,0,12865,6394,6471,2083,2011,14,17,4112,4257,24,35,3,0,158,151
50,30,3,Montana,Big Horn County,4,0,13060,6478,6582,2075,1985,18,23,4190,4366,25,40,3,0,167,168
50,30,3,Montana,Big Horn County,5,0,13000,6440,6560,2039,1970,17,23,4173,4355,26,42,3,0,182,170
50,30,3,Montana,Big Horn County,6,0,13119,6489,6630,2031,1958,18,21,4227,4433,28,40,4,0,181,178
50,30,3,Montana,Big Horn County,7,0,13343,6598,6745,2052,1960,21,25,4312,4525,24,40,4,1,185,194
50,30,3,Montana,Big Horn County,8,0,13309,6575,6734,2011,1911,23,28,4319,4561,24,42,4,0,194,192
50,30,3,Montana,Big Horn County,9,0,13448,6638,6810,2024,1948,23,29,4359,4593,25,41,3,0,204,199
50,30,3,Montana,Big Horn County,10,0,13444,6667,6777,2068,1910,26,27,4337,4596,22,43,3,0,211,201
50,30,3,Montana,Big Horn County,11,0,13338,6641,6697,2057,1896,26,29,4296,4512,23,47,3,0,236,213
50,30,5,Montana,Blaine County,1,0,6491,3248,3243,1574,1569,4,3,1610,1607,3,3,0,1,57,60
50,30,5,Montana,Blaine County,4,0,6574,3292,3282,1577,1567,5,4,1643,1648,7,3,0,1,60,59
50,30,5,Montana,Blaine County,5,0,6680,3352,3328,1607,1587,6,4,1661,1664,11,8,0,1,67,64
50,30,5,Montana,Blaine County,6,0,6635,3338,3297,1614,1571,8,5,1640,1645,7,5,0,1,69,70
50,30,5,Montana,Blaine County,7,0,6705,3387,3318,1623,1576,7,6,1664,1648,8,6,0,1,85,81
50,30,5,Montana,Blaine County,8,0,6674,3344,3330,1586,1573,9,6,1657,1661,10,6,0,1,82,83
50,30,5,Montana,Blaine County,9,0,6707,3353,3354,1602,1589,10,6,1644,1658,11,6,0,1,86,94
50,30,5,Montana,Blaine County,10,0,6744,3385,3359,1598,1548,12,6,1673,1702,15,8,0,1,87,94
50,30,5,Montana,Blaine County,11,0,6807,3420,3387,1597,1559,16,10,1701,1708,12,7,0,1,94,102
50,30,7,Montana,Broadwater County,1,0,5612,2871,2741,2771,2653,14,3,40,33,3,6,5,6,38,40
50,30,7,Montana,Broadwater County,4,0,5724,2929,2795,2828,2698,14,9,44,37,4,7,5,6,34,38
50,30,7,Montana,Broadwater County,5,0,5758,2956,2802,2848,2697,17,8,45,39,3,8,5,6,38,44
50,30,7,Montana,Broadwater County,6,0,5675,2917,2758,2809,2655,18,8,39,43,4,8,5,5,42,39
50,30,7,Montana,Broadwater County,7,0,5652,2913,2739,2804,2633,23,6,39,45,3,10,5,4,39,41
50,30,7,Montana,Broadwater County,8,0,5713,2939,2774,2822,2670,20,6,42,46,4,8,5,3,46,41
50,30,7,Montana,Broadwater County,9,0,5785,2968,2817,2837,2716,22,4,44,44,5,10,5,3,55,40
50,30,7,Montana,Broadwater County,10,0,5933,3067,2866,2928,2755,26,9,42,48,6,13,5,2,60,39
50,30,7,Montana,Broadwater County,11,0,6085,3115,2970,2971,2844,24,9,43,59,6,12,6,2,65,44
50,30,9,Montana,Carbon County,1,0,10078,5105,4973,4981,4857,16,19,56,31,6,16,2,1,44,49
50,30,9,Montana,Carbon County,4,0,10088,5092,4996,4950,4863,20,22,59,36,8,21,3,1,52,53
50,30,9,Montana,Carbon County,5,0,10141,5102,5039,4945,4896,23,26,62,41,8,22,3,1,61,53
50,30,9,Montana,Carbon County,6,0,10336,5216,5120,5047,4966,20,22,70,41,11,27,3,1,65,63
50,30,9,Montana,Carbon County,7,0,10438,5249,5189,5069,5027,30,22,73,51,10,23,4,3,63,63
50,30,9,Montana,Carbon County,8,0,10403,5274,5129,5084,4958,32,23,78,56,11,26,4,3,65,63
50,30,9,Montana,Carbon County,9,0,10485,5316,5169,5112,5001,40,25,82,47,12,26,4,3,66,67
50,30,9,Montana,Carbon County,10,0,10691,5425,5266,5211,5086,44,23,81,55,12,25,4,3,73,74
50,30,9,Montana,Carbon County,11,0,10714,5419,5295,5197,5106,42,25,80,57,10,25,4,3,86,79
50,30,11,Montana,Carter County,1,0,1160,586,574,578,562,0,1,7,5,0,1,0,0,1,5
50,30,11,Montana,Carter County,4,0,1136,575,561,567,549,0,1,7,5,0,1,0,0,1,5
50,30,11,Montana,Carter County,5,0,1157,581,576,573,564,0,1,7,5,0,1,0,0,1,5
50,30,11,Montana,Carter County,6,0,1152,579,573,571,562,0,1,7,4,0,1,0,0,1,5
50,30,11,Montana,Carter County,7,0,1150,575,575,567,564,0,1,7,4,0,1,0,0,1,5
50,30,11,Montana,Carter County,8,0,1147,566,581,558,569,0,1,7,4,0,1,0,0,1,6
50,30,11,Montana,Carter County,9,0,1175,584,591,574,575,0,1,8,4,0,1,0,0,2,10
50,30,11,Montana,Carter County,10,0,1223,605,618,590,603,2,1,8,4,0,1,0,0,5,9
50,30,11,Montana,Carter County,11,0,1238,615,623,595,607,3,1,7,4,0,1,0,0,10,10
50,30,13,Montana,Cascade County,1,0,81327,40568,40759,36513,36634,654,391,1739,1833,274,425,47,48,1341,1428
50,30,13,Montana,Cascade County,4,0,81694,40783,40911,36615,36689,688,450,1776,1879,280,401,49,46,1375,1446
50,30,13,Montana,Cascade County,5,0,81611,41010,40601,36707,36270,728,469,1824,1915,309,402,52,53,1390,1492
50,30,13,Montana,Cascade County,6,0,82189,41423,40766,37027,36344,758,491,1817,1938,342,429,49,46,1430,1518
50,30,13,Montana,Cascade County,7,0,82058,41352,40706,36891,36285,769,476,1821,1967,352,434,51,45,1468,1499
50,30,13,Montana,Cascade County,8,0,81887,41274,40613,36753,36100,785,471,1834,2018,350,423,58,49,1494,1552
50,30,13,Montana,Cascade County,9,0,81536,41242,40294,36608,35776,800,457,1902,2002,335,434,60,51,1537,1574
50,30,13,Montana,Cascade County,10,0,81604,41293,40311,36496,35733,824,494,1952,2021,348,445,62,53,1611,1565
50,30,13,Montana,Cascade County,11,0,81643,41285,40358,36453,35704,814,509,1970,2062,344,440,57,46,1647,1597
50,30,15,Montana,Chouteau County,1,0,5813,2861,2952,2216,2207,2,1,590,680,9,12,3,3,41,49
50,30,15,Montana,Chouteau County,4,0,5811,2859,2952,2213,2198,3,1,589,687,10,12,3,2,41,52
50,30,15,Montana,Chouteau County,5,0,5931,2953,2978,2302,2267,2,6,593,635,10,11,3,2,43,57
50,30,15,Montana,Chouteau County,6,0,5851,2913,2938,2272,2230,7,6,570,626,12,12,3,3,49,61
50,30,15,Montana,Chouteau County,7,0,5897,2924,2973,2296,2259,6,6,562,642,12,11,3,1,45,54
50,30,15,Montana,Chouteau County,8,0,5772,2880,2892,2284,2218,6,6,532,609,10,10,3,1,45,48
50,30,15,Montana,Chouteau County,9,0,5778,2874,2904,2293,2237,6,6,521,598,10,12,3,1,41,50
50,30,15,Montana,Chouteau County,10,0,5752,2864,2888,2290,2225,6,6,514,593,9,12,3,2,42,50
50,30,15,Montana,Chouteau County,11,0,5745,2872,2873,2296,2214,6,6,513,583,11,15,3,3,43,52
50,30,17,Montana,Custer County,1,0,11699,5810,5889,5576,5655,25,9,110,98,14,23,4,5,81,99
50,30,17,Montana,Custer County,4,0,11758,5844,5914,5593,5648,27,12,117,112,16,27,4,6,87,109
50,30,17,Montana,Custer County,5,0,11797,5898,5899,5621,5625,30,15,119,113,23,33,5,6,100,107
50,30,17,Montana,Custer County,6,0,11872,5955,5917,5684,5640,33,13,117,118,21,34,4,6,96,106
50,30,17,Montana,Custer County,7,0,12007,6002,6005,5720,5696,30,18,123,122,23,39,5,6,101,124
50,30,17,Montana,Custer County,8,0,12075,6069,6006,5766,5709,28,20,130,116,23,37,4,6,118,118
50,30,17,Montana,Custer County,9,0,11832,5951,5881,5642,5566,28,23,134,124,23,40,4,6,120,122
50,30,17,Montana,Custer County,10,0,11725,5874,5851,5563,5521,34,22,129,126,27,45,5,5,116,132
