SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,31,1,Nebraska,Adams County,1,0,31364,15600,15764,14906,15158,165,108,122,91,221,237,17,11,169,159
50,31,1,Nebraska,Adams County,4,0,31204,15550,15654,14842,15009,159,116,150,110,217,232,17,12,165,175
50,31,1,Nebraska,Adams County,5,0,31347,15677,15670,14944,15038,174,109,144,106,216,230,18,13,181,174
50,31,1,Nebraska,Adams County,6,0,31534,15808,15726,15041,15072,189,119,154,112,220,229,18,10,186,184
50,31,1,Nebraska,Adams County,7,0,31396,15759,15637,14986,14983,188,113,165,125,206,214,19,13,195,189
50,31,1,Nebraska,Adams County,8,0,31569,15799,15770,14988,15065,212,133,173,143,207,217,21,13,198,199
50,31,1,Nebraska,Adams County,9,0,31663,15859,15804,15035,15074,209,133,194,147,211,232,22,13,188,205
50,31,1,Nebraska,Adams County,10,0,31774,15842,15932,14982,15172,234,149,217,161,202,223,22,13,185,214
50,31,1,Nebraska,Adams County,11,0,31511,15706,15805,14805,15023,248,163,242,171,199,221,21,12,191,215
50,31,3,Nebraska,Antelope County,1,0,6685,3329,3356,3290,3308,12,7,7,9,7,17,0,0,13,15
50,31,3,Nebraska,Antelope County,4,0,6621,3287,3334,3248,3290,10,7,7,5,9,16,0,0,13,16
50,31,3,Nebraska,Antelope County,5,0,6550,3267,3283,3224,3236,10,7,8,5,9,17,0,0,16,18
50,31,3,Nebraska,Antelope County,6,0,6472,3251,3221,3204,3168,10,9,8,6,10,17,0,0,19,21
50,31,3,Nebraska,Antelope County,7,0,6419,3221,3198,3174,3145,11,10,8,6,10,18,0,0,18,19
50,31,3,Nebraska,Antelope County,8,0,6413,3212,3201,3162,3147,10,11,10,7,10,17,0,0,20,19
50,31,3,Nebraska,Antelope County,9,0,6343,3186,3157,3132,3094,13,11,12,13,11,20,0,0,18,19
50,31,3,Nebraska,Antelope County,10,0,6348,3184,3164,3126,3094,14,11,12,11,11,22,0,0,21,26
50,31,3,Nebraska,Antelope County,11,0,6336,3184,3152,3124,3075,14,10,15,18,9,22,0,0,22,27
50,31,5,Nebraska,Arthur County,1,0,460,228,232,223,223,0,0,1,1,0,1,0,0,4,7
50,31,5,Nebraska,Arthur County,4,0,468,229,239,225,230,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,5,0,479,235,244,230,234,1,0,1,1,0,1,0,0,3,8
50,31,5,Nebraska,Arthur County,6,0,454,219,235,215,226,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,7,0,451,213,238,209,229,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,8,0,451,212,239,208,230,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,9,0,466,229,237,225,228,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,10,0,455,224,231,220,222,0,0,1,1,0,1,0,0,3,7
50,31,5,Nebraska,Arthur County,11,0,465,230,235,226,226,0,0,1,1,0,1,0,0,3,7
50,31,7,Nebraska,Banner County,1,0,690,354,336,348,334,0,0,2,1,0,0,0,0,4,1
