SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,33,1,New Hampshire,Belknap County,1,0,60088,29480,30608,28565,29663,165,125,75,60,332,383,7,7,336,370
50,33,1,New Hampshire,Belknap County,4,0,60327,29626,30701,28657,29707,187,132,81,69,330,401,7,5,364,387
50,33,1,New Hampshire,Belknap County,5,0,60434,29667,30767,28721,29738,210,143,87,67,279,392,7,6,363,421
50,33,1,New Hampshire,Belknap County,6,0,60236,29623,30613,28641,29578,232,148,91,68,281,395,8,6,370,418
50,33,1,New Hampshire,Belknap County,7,0,60285,29636,30649,28652,29664,222,136,98,65,270,375,10,6,384,403
50,33,1,New Hampshire,Belknap County,8,0,60347,29714,30633,28696,29616,226,138,92,66,287,388,9,8,404,417
50,33,1,New Hampshire,Belknap County,9,0,60700,29932,30768,28886,29707,237,153,101,76,293,382,9,7,406,443
50,33,1,New Hampshire,Belknap County,10,0,60845,30014,30831,28976,29772,237,156,99,77,278,379,8,9,416,438
50,33,1,New Hampshire,Belknap County,11,0,61022,30141,30881,29040,29806,249,149,109,73,290,395,7,5,446,453
50,33,3,New Hampshire,Carroll County,1,0,47818,23686,24132,23146,23573,95,50,70,67,115,195,5,4,255,243
50,33,3,New Hampshire,Carroll County,4,0,47676,23660,24016,23109,23452,107,64,72,73,110,186,8,4,254,237
50,33,3,New Hampshire,Carroll County,5,0,47693,23684,24009,23098,23410,119,70,81,75,117,202,7,4,262,248
50,33,3,New Hampshire,Carroll County,6,0,47520,23562,23958,22945,23345,118,82,85,81,132,203,6,4,276,243
50,33,3,New Hampshire,Carroll County,7,0,47429,23550,23879,22931,23268,115,90,80,83,127,193,7,5,290,240
50,33,3,New Hampshire,Carroll County,8,0,47392,23509,23883,22889,23248,119,105,80,88,126,193,7,5,288,244
50,33,3,New Hampshire,Carroll County,9,0,47493,23645,23848,22997,23197,135,108,76,85,118,190,8,7,311,261
50,33,3,New Hampshire,Carroll County,10,0,48109,23895,24214,23203,23506,156,125,78,86,136,207,8,6,314,284
50,33,3,New Hampshire,Carroll County,11,0,48779,24201,24578,23486,23846,161,128,80,92,148,213,9,11,317,288
50,33,5,New Hampshire,Cheshire County,1,0,77117,37601,39516,36314,38226,245,172,107,96,425,507,10,10,500,505
50,33,5,New Hampshire,Cheshire County,4,0,76927,37607,39320,36256,37985,275,188,107,99,431,523,10,10,528,515
50,33,5,New Hampshire,Cheshire County,5,0,76902,37618,39284,36174,37880,312,199,123,107,461,559,12,12,536,527
50,33,5,New Hampshire,Cheshire County,6,0,76714,37599,39115,36083,37675,324,207,119,111,527,593,10,12,536,517
50,33,5,New Hampshire,Cheshire County,7,0,76424,37442,38982,35808,37499,344,207,130,115,594,618,12,15,554,528
50,33,5,New Hampshire,Cheshire County,8,0,76261,37319,38942,35674,37412,348,217,118,105,588,644,14,18,577,546
50,33,5,New Hampshire,Cheshire County,9,0,75950,37134,38816,35487,37275,364,206,118,109,585,671,15,20,565,535
50,33,5,New Hampshire,Cheshire County,10,0,76185,37260,38925,35594,37307,362,222,126,116,594,703,15,20,569,557
50,33,5,New Hampshire,Cheshire County,11,0,76493,37437,39056,35681,37391,390,233,129,111,603,719,15,20,619,582
50,33,7,New Hampshire,Coos County,1,0,33055,16802,16253,16342,15830,114,40,68,63,59,112,0,1,219,207
50,33,7,New Hampshire,Coos County,4,0,32507,16481,16026,16002,15596,112,44,68,62,65,116,2,2,232,206
50,33,7,New Hampshire,Coos County,5,0,31984,16200,15784,15722,15344,126,58,66,65,62,107,1,3,223,207
50,33,7,New Hampshire,Coos County,6,0,31957,16214,15743,15708,15292,134,63,74,64,62,107,1,2,235,215
50,33,7,New Hampshire,Coos County,7,0,32783,17245,15538,16653,15079,206,62,82,67,68,107,1,3,235,220
50,33,7,New Hampshire,Coos County,8,0,32332,17069,15263,16481,14806,208,58,77,67,62,111,1,3,240,218
50,33,7,New Hampshire,Coos County,9,0,31903,16801,15102,16200,14636,222,70,71,63,64,109,1,2,243,222
50,33,7,New Hampshire,Coos County,10,0,31584,16618,14966,16020,14485,212,63,76,71,67,116,0,2,243,229
50,33,7,New Hampshire,Coos County,11,0,31589,16683,14906,16059,14424,218,69,79,74,78,114,0,2,249,223
50,33,9,New Hampshire,Grafton County,1,0,89118,44071,45047,41527,42246,440,425,169,174,1272,1413,11,8,652,781
50,33,9,New Hampshire,Grafton County,4,0,89268,44143,45125,41486,42198,453,458,157,178,1322,1504,12,9,713,778
50,33,9,New Hampshire,Grafton County,5,0,89621,44280,45341,41479,42305,493,486,163,181,1373,1575,10,10,762,784
50,33,9,New Hampshire,Grafton County,6,0,89900,44373,45527,41491,42380,481,486,168,188,1450,1672,11,10,772,791
50,33,9,New Hampshire,Grafton County,7,0,89926,44435,45491,41465,42305,483,468,180,183,1507,1707,12,11,788,817
50,33,9,New Hampshire,Grafton County,8,0,89415,44093,45322,41039,42143,507,463,175,178,1541,1722,22,13,809,803
50,33,9,New Hampshire,Grafton County,9,0,89982,44468,45514,41291,42245,547,473,179,172,1588,1778,18,13,845,833
50,33,9,New Hampshire,Grafton County,10,0,89947,44400,45547,41216,42303,570,479,172,173,1587,1769,16,11,839,812
50,33,9,New Hampshire,Grafton County,11,0,89786,44377,45409,41127,42090,592,501,167,181,1611,1795,17,13,863,829
50,33,11,New Hampshire,Hillsborough County,1,0,400721,198162,202559,182628,187560,5064,4211,637,586,6461,6762,129,128,3243,3312
50,33,11,New Hampshire,Hillsborough County,4,0,402492,199063,203429,182680,187637,5257,4394,658,592,6975,7270,137,126,3356,3410
50,33,11,New Hampshire,Hillsborough County,5,0,404106,200218,203888,183124,187485,5433,4562,674,568,7364,7623,134,132,3489,3518
50,33,11,New Hampshire,Hillsborough County,6,0,405065,200961,204104,183288,187211,5547,4641,667,536,7666,7963,128,123,3665,3630
50,33,11,New Hampshire,Hillsborough County,7,0,407071,201826,205245,183534,187698,5738,4799,650,558,7994,8304,131,121,3779,3765
50,33,11,New Hampshire,Hillsborough County,8,0,408811,203166,205645,184074,187484,5973,4977,647,556,8419,8668,136,120,3917,3840
50,33,11,New Hampshire,Hillsborough County,9,0,411150,204422,206728,184336,187693,6325,5314,649,559,8916,9024,143,116,4053,4022
50,33,11,New Hampshire,Hillsborough County,10,0,413157,205325,207832,184631,188247,6579,5534,688,576,9128,9192,147,114,4152,4169
50,33,11,New Hampshire,Hillsborough County,11,0,415247,206632,208615,185230,188577,6870,5775,736,604,9382,9301,155,119,4259,4239
