SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,34,1,New Jersey,Atlantic County,1,0,274549,133175,141374,96558,100994,22295,25245,932,874,10258,11000,92,85,3040,3176
50,34,1,New Jersey,Atlantic County,4,0,274606,133060,141546,96266,100932,22214,25140,936,886,10425,11246,97,84,3122,3258
50,34,1,New Jersey,Atlantic County,5,0,274651,133112,141539,96030,100728,22297,25145,920,898,10567,11297,103,88,3195,3383
50,34,1,New Jersey,Atlantic County,6,0,274369,132948,141421,95642,100478,22398,25167,928,897,10593,11364,103,89,3284,3426
50,34,1,New Jersey,Atlantic County,7,0,272656,132079,140577,94961,99802,22211,25000,911,899,10560,11355,102,93,3334,3428
50,34,1,New Jersey,Atlantic County,8,0,270471,130933,139538,94096,98934,21965,24815,887,900,10535,11355,96,93,3354,3441
50,34,1,New Jersey,Atlantic County,9,0,267813,129597,138216,93062,97870,21725,24509,857,896,10457,11368,105,96,3391,3477
50,34,1,New Jersey,Atlantic County,10,0,266328,128966,137362,92502,97048,21532,24360,860,900,10510,11424,110,96,3452,3534
50,34,1,New Jersey,Atlantic County,11,0,265429,128539,136890,92149,96668,21317,24151,866,889,10544,11493,113,102,3550,3587
50,34,3,New Jersey,Bergen County,1,0,905116,435962,469154,336119,358395,26577,31332,1786,1591,63745,69828,271,304,7464,7704
50,34,3,New Jersey,Bergen County,4,0,912033,440146,471887,336973,357951,27534,32015,1837,1671,65614,71878,274,292,7914,8080
50,34,3,New Jersey,Bergen County,5,0,916408,442838,473570,336875,357060,28303,32588,1888,1726,67124,73466,310,320,8338,8410
50,34,3,New Jersey,Bergen County,6,0,920203,445256,474947,337095,356095,28807,32958,1934,1765,68473,74996,310,328,8637,8805
50,34,3,New Jersey,Bergen County,7,0,923757,447337,476420,336719,355006,29598,33585,1959,1837,69796,76446,318,354,8947,9192
50,34,3,New Jersey,Bergen County,8,0,926997,449027,477970,335836,354068,30193,34020,2020,1916,71321,78096,357,344,9300,9526
50,34,3,New Jersey,Bergen County,9,0,928979,450185,478794,334843,352427,31010,34495,2084,1953,72325,79578,375,374,9548,9967
50,34,3,New Jersey,Bergen County,10,0,933569,452958,480611,334760,351204,31794,35172,2206,2063,74022,81551,404,388,9772,10233
50,34,3,New Jersey,Bergen County,11,0,936692,454688,482004,334151,349996,32487,35777,2272,2126,75342,83196,424,424,10012,10485
50,34,5,New Jersey,Burlington County,1,0,448734,220534,228200,166438,172638,38467,38656,683,552,9385,10530,136,151,5425,5673
50,34,5,New Jersey,Burlington County,4,0,450149,221076,229073,166124,172485,38682,39024,720,565,9774,10974,151,158,5625,5867
50,34,5,New Jersey,Burlington County,5,0,450517,221553,228964,166146,172015,38837,39058,753,595,9920,11144,146,167,5751,5985
