SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,35,1,New Mexico,Bernalillo County,1,0,662564,324460,338104,277681,289596,11928,10579,17540,19180,7841,9059,603,569,8867,9121
50,35,1,New Mexico,Bernalillo County,4,0,670278,328222,342056,280481,292297,12065,10696,17954,19633,8054,9439,545,511,9123,9480
50,35,1,New Mexico,Bernalillo County,5,0,673697,330257,343440,281713,293082,12118,10645,18237,19847,8313,9683,555,505,9321,9678
50,35,1,New Mexico,Bernalillo County,6,0,676497,331818,344679,282340,293463,12151,10513,18649,20335,8551,9925,547,488,9580,9955
50,35,1,New Mexico,Bernalillo County,7,0,676229,331506,344723,281482,292773,12117,10578,19164,20711,8506,10096,528,480,9709,10085
50,35,1,New Mexico,Bernalillo County,8,0,676678,331628,345050,280786,292370,12191,10616,19560,21160,8662,10286,515,478,9914,10140
50,35,1,New Mexico,Bernalillo County,9,0,678165,332561,345604,281136,292138,12252,10705,19825,21578,8759,10486,523,490,10066,10207
50,35,1,New Mexico,Bernalillo County,10,0,678686,332917,345769,281027,291800,12290,10679,20094,21906,8762,10550,525,501,10219,10333
50,35,1,New Mexico,Bernalillo County,11,0,678701,332972,345729,280546,291214,12527,10859,20177,22078,8840,10614,507,510,10375,10454
50,35,3,New Mexico,Catron County,1,0,3725,1947,1778,1835,1666,8,8,51,54,2,6,0,0,51,44
50,35,3,New Mexico,Catron County,4,0,3719,1942,1777,1826,1666,13,12,50,51,2,6,0,0,51,42
50,35,3,New Mexico,Catron County,5,0,3638,1896,1742,1777,1621,14,15,52,56,2,6,0,0,51,44
50,35,3,New Mexico,Catron County,6,0,3589,1879,1710,1758,1579,16,16,51,63,2,7,0,0,52,45
50,35,3,New Mexico,Catron County,7,0,3550,1866,1684,1741,1549,16,15,54,65,3,7,0,0,52,48
50,35,3,New Mexico,Catron County,8,0,3480,1826,1654,1692,1516,18,13,56,66,3,8,0,0,57,51
50,35,3,New Mexico,Catron County,9,0,3522,1846,1676,1707,1542,19,10,60,66,2,7,1,0,57,51
50,35,3,New Mexico,Catron County,10,0,3567,1879,1688,1738,1553,19,10,66,68,2,7,1,0,53,50
50,35,3,New Mexico,Catron County,11,0,3578,1889,1689,1752,1549,18,10,63,73,3,7,1,0,52,50
50,35,5,New Mexico,Chaves County,1,0,65645,32482,33163,30133,30892,854,806,666,581,259,275,73,57,497,552
50,35,5,New Mexico,Chaves County,4,0,65739,32512,33227,30125,30892,859,791,686,600,263,301,74,65,505,578
50,35,5,New Mexico,Chaves County,5,0,65800,32662,33138,30194,30778,866,782,706,616,285,320,72,69,539,573
50,35,5,New Mexico,Chaves County,6,0,66059,32837,33222,30321,30843,838,767,732,637,313,344,73,70,560,561
50,35,5,New Mexico,Chaves County,7,0,65880,32798,33082,30215,30667,843,775,747,657,322,354,88,68,583,561
50,35,5,New Mexico,Chaves County,8,0,65878,32720,33158,30133,30677,834,777,778,694,307,360,84,71,584,579
50,35,5,New Mexico,Chaves County,9,0,65697,32724,32973,30129,30514,825,760,785,693,323,390,78,76,584,540
50,35,5,New Mexico,Chaves County,10,0,65153,32318,32835,29715,30318,785,748,801,710,340,407,83,82,594,570
50,35,5,New Mexico,Chaves County,11,0,64689,32098,32591,29504,30081,780,746,791,697,337,415,81,86,605,566
50,35,6,New Mexico,Cibola County,1,0,27213,13769,13444,7833,6891,155,159,5416,6041,74,87,15,16,276,250
50,35,6,New Mexico,Cibola County,4,0,27488,13969,13519,7930,6894,167,177,5495,6072,72,95,16,17,289,264
50,35,6,New Mexico,Cibola County,5,0,27414,13939,13475,7919,6823,166,185,5476,6078,68,95,15,17,295,277
50,35,6,New Mexico,Cibola County,6,0,27419,13991,13428,7935,6768,160,197,5516,6062,74,99,15,15,291,287
50,35,6,New Mexico,Cibola County,7,0,27158,13880,13278,7829,6660,167,201,5522,6037,71,90,15,15,276,275
50,35,6,New Mexico,Cibola County,8,0,27047,13801,13246,7743,6547,181,193,5514,6124,71,94,15,15,277,273
50,35,6,New Mexico,Cibola County,9,0,27043,13805,13238,7695,6440,179,177,5543,6230,72,93,15,15,301,283
50,35,6,New Mexico,Cibola County,10,0,26895,13733,13162,7627,6350,178,189,5559,6245,67,95,15,20,287,263
50,35,6,New Mexico,Cibola County,11,0,26746,13666,13080,7567,6296,189,195,5526,6200,66,103,16,14,302,272
50,35,7,New Mexico,Colfax County,1,0,13750,7003,6747,6621,6460,59,25,162,99,20,31,9,11,132,121
50,35,7,New Mexico,Colfax County,4,0,13627,6966,6661,6543,6362,63,31,191,103,26,36,9,12,134,117
50,35,7,New Mexico,Colfax County,5,0,13257,6783,6474,6346,6160,62,41,200,103,26,36,11,16,138,118
50,35,7,New Mexico,Colfax County,6,0,13082,6674,6408,6222,6084,68,53,202,107,30,35,11,15,141,114
50,35,7,New Mexico,Colfax County,7,0,12718,6418,6300,5959,5956,68,51,199,117,36,41,12,17,144,118
50,35,7,New Mexico,Colfax County,8,0,12449,6286,6163,5838,5823,67,49,199,113,43,45,10,15,129,118
50,35,7,New Mexico,Colfax County,9,0,12280,6212,6068,5752,5715,70,51,204,120,44,46,11,16,131,120
50,35,7,New Mexico,Colfax County,10,0,12206,6205,6001,5733,5647,71,54,208,124,43,45,11,14,139,117
50,35,7,New Mexico,Colfax County,11,0,12110,6142,5968,5659,5610,69,48,213,130,51,49,13,15,137,116
50,35,9,New Mexico,Curry County,1,0,48376,24288,24088,21068,20895,1792,1619,464,480,310,395,38,42,616,657
50,35,9,New Mexico,Curry County,4,0,49806,25220,24586,21891,21284,1823,1644,478,471,323,440,40,49,665,698
50,35,9,New Mexico,Curry County,5,0,50799,26048,24751,22582,21463,1895,1614,493,448,343,459,48,58,687,709
50,35,9,New Mexico,Curry County,6,0,50775,26182,24593,22709,21312,1875,1566,507,458,342,462,50,68,699,727
50,35,9,New Mexico,Curry County,7,0,51115,26455,24660,22821,21284,1904,1589,535,477,384,470,44,67,767,773
50,35,9,New Mexico,Curry County,8,0,50299,26072,24227,22503,20907,1833,1540,524,469,408,463,52,64,752,784
50,35,9,New Mexico,Curry County,9,0,50303,26071,24232,22445,20825,1854,1568,523,479,425,481,50,67,774,812
50,35,9,New Mexico,Curry County,10,0,49842,25850,23992,22121,20521,1923,1618,534,482,433,493,54,71,785,807
50,35,9,New Mexico,Curry County,11,0,49437,25643,23794,21921,20312,1900,1627,536,514,422,501,53,71,811,769
50,35,11,New Mexico,De Baca County,1,0,2022,992,1030,944,992,2,1,10,7,1,2,0,0,35,28
50,35,11,New Mexico,De Baca County,4,0,1998,987,1011,931,969,3,4,17,9,1,2,0,0,35,27
50,35,11,New Mexico,De Baca County,5,0,1955,971,984,913,941,4,4,17,9,1,2,0,0,36,28
50,35,11,New Mexico,De Baca County,6,0,1927,950,977,891,934,4,4,18,9,1,2,0,0,36,28
50,35,11,New Mexico,De Baca County,7,0,1859,927,932,863,881,4,5,21,10,1,2,0,0,38,34
50,35,11,New Mexico,De Baca County,8,0,1871,921,950,863,894,5,5,17,9,1,3,0,0,35,39
50,35,11,New Mexico,De Baca County,9,0,1833,901,932,836,877,7,4,22,11,1,4,0,0,35,36
50,35,11,New Mexico,De Baca County,10,0,1813,896,917,833,862,6,5,21,10,1,4,0,0,35,36
50,35,11,New Mexico,De Baca County,11,0,1781,882,899,816,842,6,5,24,11,1,4,0,0,35,37
50,35,13,New Mexico,Doña Ana County,1,0,209233,102569,106664,95017,99230,2404,1916,2195,2186,1164,1399,155,153,1634,1780
50,35,13,New Mexico,Doña Ana County,4,0,213127,104535,108592,96639,100703,2407,1955,2328,2373,1232,1486,192,206,1737,1869
50,35,13,New Mexico,Doña Ana County,5,0,214507,105363,109144,97277,101129,2441,1983,2364,2398,1280,1493,178,210,1823,1931
50,35,13,New Mexico,Doña Ana County,6,0,214394,105318,109076,97010,100922,2546,2084,2428,2405,1322,1536,187,208,1825,1921
50,35,13,New Mexico,Doña Ana County,7,0,214084,105199,108885,96696,100621,2636,2131,2485,2454,1322,1514,187,202,1873,1963
