SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,32,1,Nevada,Churchill County,1,0,24877,12508,12369,10909,10600,251,173,573,653,270,448,26,29,479,466
50,32,1,Nevada,Churchill County,4,0,24591,12400,12191,10761,10414,277,209,575,630,263,446,31,29,493,463
50,32,1,Nevada,Churchill County,5,0,24243,12225,12018,10573,10238,285,210,578,639,261,437,33,29,495,465
50,32,1,Nevada,Churchill County,6,0,23923,12028,11895,10367,10113,304,194,561,661,274,444,32,28,490,455
50,32,1,Nevada,Churchill County,7,0,23819,12011,11808,10340,10027,308,204,579,667,266,434,34,31,484,445
50,32,1,Nevada,Churchill County,8,0,23934,12049,11885,10311,10048,327,218,588,680,280,434,43,39,500,466
50,32,1,Nevada,Churchill County,9,0,23869,12080,11789,10313,9950,326,219,597,664,284,440,41,40,519,476
50,32,1,Nevada,Churchill County,10,0,23989,12177,11812,10357,9937,348,239,610,683,287,432,48,46,527,475
50,32,1,Nevada,Churchill County,11,0,24440,12410,12030,10499,10088,350,239,632,705,307,448,51,48,571,502
50,32,3,Nevada,Clark County,1,0,1951269,982193,969076,738266,707559,107614,108175,11529,11013,79634,95993,7783,7833,37367,38503
50,32,3,Nevada,Clark County,4,0,1962010,985491,976519,736503,708699,109187,110231,11533,11106,81832,98741,7846,7962,38590,39780
50,32,3,Nevada,Clark County,5,0,1989693,998917,990776,742069,714495,112828,114038,11746,11364,84074,101684,7969,8038,40231,41157
50,32,3,Nevada,Clark County,6,0,2018003,1011659,1006344,747495,721076,115205,116970,11882,11566,87077,105658,8227,8289,41773,42785
50,32,3,Nevada,Clark County,7,0,2054263,1028347,1025916,755225,729680,118840,121384,12141,11957,90105,109601,8358,8531,43678,44763
50,32,3,Nevada,Clark County,8,0,2098105,1048969,1049136,764807,739898,123908,127288,12538,12353,93343,113848,8634,8725,45739,47024
50,32,3,Nevada,Clark County,9,0,2140547,1069192,1071355,773349,748345,129257,133759,12913,12727,96527,118103,9008,9131,48138,49290
50,32,3,Nevada,Clark County,10,0,2183310,1089593,1093717,781529,756583,134627,140402,13315,13140,100252,122513,9288,9439,50582,51640
50,32,3,Nevada,Clark County,11,0,2231647,1112805,1118842,792680,767438,139727,146564,13812,13559,104051,127301,9636,9741,52899,54239
50,32,5,Nevada,Douglas County,1,0,46997,23481,23516,21885,21862,135,76,461,487,321,427,36,45,643,619
50,32,5,Nevada,Douglas County,4,0,46969,23570,23399,21903,21659,154,88,482,501,342,450,45,51,644,650
50,32,5,Nevada,Douglas County,5,0,46911,23522,23389,21791,21525,204,139,498,525,346,482,45,55,638,663
50,32,5,Nevada,Douglas County,6,0,46938,23511,23427,21770,21550,209,139,502,531,336,474,45,57,649,676
50,32,5,Nevada,Douglas County,7,0,47382,23838,23544,22037,21622,216,161,545,545,318,482,43,63,679,671
50,32,5,Nevada,Douglas County,8,0,47424,23877,23547,22064,21590,219,183,539,543,332,493,52,65,671,673
50,32,5,Nevada,Douglas County,9,0,47848,24076,23772,22210,21767,244,204,559,571,328,482,54,66,681,682
50,32,5,Nevada,Douglas County,10,0,48018,24139,23879,22246,21821,254,214,549,573,346,502,49,64,695,705
50,32,5,Nevada,Douglas County,11,0,48467,24356,24111,22401,22000,263,234,551,567,365,518,50,58,726,734
50,32,7,Nevada,Elko County,1,0,48818,25354,23464,22794,20998,314,146,1451,1506,228,268,47,39,520,507
50,32,7,Nevada,Elko County,4,0,49436,25721,23715,23051,21157,357,163,1475,1545,240,279,59,46,539,525
50,32,7,Nevada,Elko County,5,0,50980,26510,24470,23705,21760,447,211,1501,1613,235,279,63,52,559,555
50,32,7,Nevada,Elko County,6,0,52356,27324,25032,24402,22202,479,231,1521,1648,257,299,71,59,594,593
50,32,7,Nevada,Elko County,7,0,52557,27415,25142,24383,22220,491,252,1573,1675,263,327,73,65,632,603
50,32,7,Nevada,Elko County,8,0,51747,26978,24769,23987,21850,462,225,1577,1685,249,335,81,65,622,609
50,32,7,Nevada,Elko County,9,0,52123,27111,25012,24028,22034,493,241,1610,1727,274,351,80,56,626,603
