SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,36,47,New York,Kings County,9,0,2611232,1237760,1373472,636541,657182,398922,500238,12504,12206,157494,167416,1635,1493,30664,34937
50,36,47,New York,Kings County,8,0,2610607,1236097,1374510,635455,657711,401973,505434,12767,12305,154524,163694,1697,1491,29681,33875
50,36,47,New York,Kings County,7,0,2602680,1231692,1370988,632973,655546,404479,509341,13018,12511,150880,159360,1765,1495,28577,32735
50,36,47,New York,Kings County,10,0,2596385,1230727,1365658,632569,653116,394925,494721,12171,11986,157942,168716,1587,1477,31533,35642
50,36,47,New York,Kings County,6,0,2588501,1224496,1364005,629040,651867,406047,511731,13138,12644,146817,154528,1751,1542,27703,31693
50,36,47,New York,Kings County,11,0,2582830,1223764,1359066,628594,650176,391616,489680,12010,11831,157577,169433,1516,1445,32451,36501
50,36,47,New York,Kings County,5,0,2568876,1214910,1353966,624245,647040,406300,512869,13234,12732,142850,149305,1814,1557,26467,30463
50,36,47,New York,Kings County,4,0,2540822,1199927,1340895,616322,640748,405294,513142,13158,12745,137942,143523,1811,1570,25400,29167
50,36,47,New York,Kings County,1,0,2504700,1181378,1323322,607484,632837,402605,511462,13293,12851,132189,137062,1788,1635,24019,27475
50,36,81,New York,Queens County,9,0,2309032,1119905,1189127,556405,564212,218365,259081,16001,14531,293817,314146,2446,2705,32871,34452
50,36,81,New York,Queens County,8,0,2307614,1119028,1188586,559843,568720,218558,259818,16034,14559,289973,309095,2415,2671,32205,33723
50,36,81,New York,Queens County,7,0,2300148,1114789,1185359,561791,571988,217889,260176,16196,14560,285107,302934,2368,2624,31438,33077
50,36,81,New York,Queens County,10,0,2296865,1113704,1183161,550056,557385,217376,257954,15922,14464,294790,316008,2473,2760,33087,34590
50,36,81,New York,Queens County,6,0,2288194,1108852,1179342,562052,573234,217674,260504,16260,14476,280024,296448,2355,2577,30487,32103
50,36,81,New York,Queens County,11,0,2278906,1105389,1173517,542870,549365,216256,255651,15822,14364,294701,316573,2498,2787,33242,34777
50,36,81,New York,Queens County,5,0,2272745,1100553,1172192,561542,573485,215862,259887,16271,14428,275023,290561,2271,2498,29584,31333
50,36,81,New York,Queens County,4,0,2255559,1092214,1163345,560550,572605,215011,259609,15885,13971,269815,284119,2233,2473,28720,30568
50,36,81,New York,Queens County,1,0,2230722,1079803,1150919,558601,571435,212234,257550,15755,13873,263302,276098,2238,2487,27673,29476
50,36,61,New York,New York County,8,0,1636713,773813,862900,510864,549606,137697,159987,9581,10152,89550,113176,1437,1493,24684,28486
50,36,61,New York,New York County,9,0,1636261,774228,862033,510337,547845,137163,159048,9425,10015,90547,114739,1429,1488,25327,28898
50,36,61,New York,New York County,7,0,1630946,769622,861324,509810,550601,137399,160260,9505,10102,87402,111015,1473,1504,24033,27842
50,36,61,New York,New York County,10,0,1629780,771698,858082,507888,544525,136346,157117,9319,9952,91269,115695,1407,1519,25469,29274
50,36,61,New York,New York County,11,0,1628701,771151,857550,507138,543398,135772,156319,9254,9946,91963,116797,1398,1523,25626,29567
50,36,61,New York,New York County,6,0,1627806,767783,860023,509171,551019,137889,160969,9573,10057,86260,109149,1429,1463,23461,27366
50,36,61,New York,New York County,5,0,1624039,765666,858373,508126,550750,137716,161012,9465,9984,86098,108242,1365,1483,22896,26902
50,36,61,New York,New York County,4,0,1608215,756488,851727,503108,547414,136713,160714,9413,9944,84183,105948,1280,1473,21791,26234
50,36,61,New York,New York County,1,0,1585873,744441,841432,496658,542483,134868,159252,9352,9888,81419,102926,1207,1438,20937,25445
50,36,103,New York,Suffolk County,4,0,1498838,737726,761112,636172,653768,57780,62605,4309,4037,26495,27698,654,531,12316,12473
50,36,103,New York,Suffolk County,6,0,1497489,737501,759988,632579,649461,59068,63825,4423,4127,27691,28895,673,569,13067,13111
50,36,103,New York,Suffolk County,5,0,1497037,737090,759947,633995,651323,58426,63009,4353,4059,26983,28196,669,564,12664,12796
50,36,103,New York,Suffolk County,7,0,1495757,736684,759073,630240,647041,59565,64415,4510,4149,28267,29450,690,590,13412,13428
50,36,103,New York,Suffolk County,1,0,1493350,734668,758682,634991,653256,57124,61877,4200,3933,25995,27115,634,503,11724,11998
50,36,103,New York,Suffolk County,8,0,1492278,734604,757674,626727,644315,60171,64812,4554,4142,28726,29984,700,607,13726,13814
50,36,103,New York,Suffolk County,9,0,1486804,731738,755066,622708,640475,60421,65171,4585,4152,29157,30500,722,632,14145,14136
50,36,103,New York,Suffolk County,10,0,1483571,730321,753250,619630,637322,61171,65787,4664,4245,29706,30963,742,634,14408,14299
50,36,103,New York,Suffolk County,11,0,1481093,729117,751976,616307,633791,62284,66921,4731,4359,30424,31628,762,659,14609,14618
50,36,5,New York,Bronx County,9,0,1445237,680830,764407,310779,340251,292852,339277,20213,21763,30426,32443,2861,3223,23699,27450
50,36,5,New York,Bronx County,8,0,1440726,678165,762561,310548,340551,291622,338413,20134,21613,29883,31811,2830,3185,23148,26988
50,36,5,New York,Bronx County,10,0,1439725,678447,761278,308804,338504,291735,337236,20183,21786,30909,32880,2860,3183,23956,27689
50,36,5,New York,Bronx County,11,0,1432132,674900,757232,306074,336533,290408,334392,20043,21683,31135,33312,2795,3145,24445,28167
50,36,5,New York,Bronx County,7,0,1431538,673443,758095,308969,338791,289815,337165,20138,21647,29229,31036,2818,3165,22474,26291
50,36,5,New York,Bronx County,6,0,1422340,668980,753360,307853,337504,287470,335017,20137,21549,28853,30419,2788,3175,21879,25696
50,36,5,New York,Bronx County,5,0,1411715,662988,748727,306495,336297,283816,332833,20106,21476,28563,29969,2775,3168,21233,24984
50,36,5,New York,Bronx County,4,0,1397366,656099,741267,303393,332329,281110,330752,20008,21393,28192,29401,2748,3130,20648,24262
50,36,5,New York,Bronx County,1,0,1385108,649633,735475,300843,329650,278425,328864,19898,21154,27921,29141,2697,3069,19849,23597
50,36,59,New York,Nassau County,11,0,1358343,661427,696916,492285,512489,82843,93564,3830,3545,68825,73128,663,695,12981,13495
50,36,59,New York,Nassau County,10,0,1357664,660725,696939,496619,517342,81632,92589,3647,3419,65527,69758,636,683,12664,13148
50,36,59,New York,Nassau County,9,0,1356463,659277,697186,500158,521932,80251,91840,3485,3273,62537,66839,620,673,12226,12629
50,36,59,New York,Nassau County,8,0,1355319,658055,697264,503120,525663,79127,91283,3384,3154,60030,64229,609,661,11785,12274
50,36,59,New York,Nassau County,7,0,1355029,657589,697440,505870,529351,78151,90314,3328,3097,58242,62166,588,638,11410,11874
50,36,59,New York,Nassau County,6,0,1352399,655840,696559,507798,531967,77004,89427,3310,3045,56209,60093,566,625,10953,11402
50,36,59,New York,Nassau County,5,0,1349723,654207,695516,509362,534456,75712,88330,3280,2978,54742,58215,538,600,10573,10937
50,36,59,New York,Nassau County,4,0,1346176,651860,694316,510261,536618,74303,87004,3164,2900,53438,56682,520,583,10174,10529
50,36,59,New York,Nassau County,1,0,1339532,647978,691554,510552,538221,72620,85276,3124,2861,51555,54659,495,559,9632,9978
50,36,119,New York,Westchester County,9,0,970556,469889,500667,351877,366703,73286,84908,4759,3918,28050,32634,616,615,11301,11889
50,36,119,New York,Westchester County,10,0,969279,469457,499822,349960,364626,74026,85297,4918,4032,28388,33122,632,636,11533,12109
50,36,119,New York,Westchester County,8,0,969220,468994,500226,352639,367910,72560,84288,4598,3857,27586,31951,611,613,11000,11607
50,36,119,New York,Westchester County,11,0,967612,468720,498892,347620,362173,74886,86010,5096,4159,28661,33610,647,633,11810,12307
50,36,119,New York,Westchester County,7,0,967407,467467,499940,352886,368937,71670,83885,4492,3774,27150,31338,578,581,10691,11425
50,36,119,New York,Westchester County,6,0,964805,465821,498984,353011,369590,70676,83192,4380,3744,26782,30786,582,567,10390,11105
50,36,119,New York,Westchester County,5,0,959729,462878,496851,352255,369396,69565,82373,4210,3679,26216,30138,557,543,10075,10722
50,36,119,New York,Westchester County,4,0,956265,460719,495546,351859,369827,68678,81714,4141,3591,25771,29432,537,521,9733,10461
50,36,119,New York,Westchester County,1,0,949113,456661,492452,350210,368843,67527,80688,3994,3562,25073,28761,513,516,9344,10082
