SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,39,1,Ohio,Adams County,1,0,28550,14095,14455,13800,14165,53,36,56,56,11,23,1,1,174,174
50,39,1,Ohio,Adams County,4,0,28473,14052,14421,13718,14106,59,43,60,58,19,30,1,1,195,183
50,39,1,Ohio,Adams County,5,0,28309,13971,14338,13637,14019,68,43,62,62,16,31,1,1,187,182
50,39,1,Ohio,Adams County,6,0,28107,13890,14217,13553,13905,72,45,64,61,15,42,1,1,185,163
50,39,1,Ohio,Adams County,7,0,28085,13899,14186,13536,13838,83,51,71,63,17,55,1,1,191,178
50,39,1,Ohio,Adams County,8,0,27946,13830,14116,13473,13750,72,46,73,64,16,62,1,1,195,193
50,39,1,Ohio,Adams County,9,0,27828,13807,14021,13440,13649,77,47,74,67,15,69,4,3,197,186
50,39,1,Ohio,Adams County,10,0,27805,13812,13993,13441,13605,76,54,78,70,16,72,1,2,200,190
50,39,1,Ohio,Adams County,11,0,27724,13750,13974,13360,13566,80,54,82,73,17,83,2,2,209,196
50,39,3,Ohio,Allen County,1,0,106331,53630,52701,45153,44776,6705,6101,135,99,376,400,8,11,1253,1314
50,39,3,Ohio,Allen County,4,0,105976,53504,52472,44910,44448,6755,6127,145,107,384,416,8,11,1302,1363
50,39,3,Ohio,Allen County,5,0,105239,53182,52057,44575,44040,6733,6093,152,110,393,423,8,12,1321,1379
50,39,3,Ohio,Allen County,6,0,105047,52991,52056,44266,43900,6755,6142,161,119,416,461,8,13,1385,1421
50,39,3,Ohio,Allen County,7,0,104846,52960,51886,44242,43705,6725,6132,159,113,417,466,9,14,1408,1456
50,39,3,Ohio,Allen County,8,0,104069,52514,51555,43833,43322,6677,6152,158,118,401,450,11,14,1434,1499
50,39,3,Ohio,Allen County,9,0,103561,52317,51244,43480,42871,6774,6256,166,123,392,457,11,15,1494,1522
50,39,3,Ohio,Allen County,10,0,103069,52065,51004,43132,42649,6822,6222,173,123,377,446,11,16,1550,1548
50,39,3,Ohio,Allen County,11,0,102663,51787,50876,42902,42496,6769,6221,173,132,364,445,10,14,1569,1568
50,39,5,Ohio,Ashland County,1,0,53139,25972,27167,25306,26526,234,166,55,42,114,168,26,17,237,248
50,39,5,Ohio,Ashland County,4,0,53247,26058,27189,25376,26516,222,178,56,45,126,162,25,17,253,271
50,39,5,Ohio,Ashland County,5,0,53237,26030,27207,25326,26526,233,177,58,45,138,164,24,16,251,279
50,39,5,Ohio,Ashland County,6,0,53152,26036,27116,25301,26427,235,167,61,48,138,170,24,16,277,288
50,39,5,Ohio,Ashland County,7,0,53158,26107,27051,25352,26323,243,174,63,47,139,190,24,17,286,300
50,39,5,Ohio,Ashland County,8,0,53289,26139,27150,25376,26407,242,185,70,50,142,196,24,17,285,295
50,39,5,Ohio,Ashland County,9,0,53506,26313,27193,25480,26408,257,184,75,56,155,209,22,16,324,320
50,39,5,Ohio,Ashland County,10,0,53685,26348,27337,25485,26544,236,179,77,55,158,221,23,17,369,321
50,39,5,Ohio,Ashland County,11,0,53745,26466,27279,25540,26458,264,183,83,56,159,232,23,17,397,333
50,39,7,Ohio,Ashtabula County,1,0,101497,50693,50804,46963,48215,2393,1288,169,124,162,238,15,18,991,921
50,39,7,Ohio,Ashtabula County,4,0,101070,50570,50500,46785,47867,2401,1294,173,126,171,242,17,21,1023,950
50,39,7,Ohio,Ashtabula County,5,0,100236,50270,49966,46427,47359,2448,1266,173,132,178,252,16,20,1028,937
50,39,7,Ohio,Ashtabula County,6,0,99732,50123,49609,46244,47019,2470,1239,170,123,172,239,17,22,1050,967
50,39,7,Ohio,Ashtabula County,7,0,99017,49817,49200,45887,46625,2481,1201,173,131,183,250,17,24,1076,969
50,39,7,Ohio,Ashtabula County,8,0,98372,49457,48915,45544,46306,2450,1193,169,126,191,270,21,27,1082,993
50,39,7,Ohio,Ashtabula County,9,0,98108,49433,48675,45440,46010,2502,1197,173,139,190,270,20,29,1108,1030
50,39,7,Ohio,Ashtabula County,10,0,97692,49207,48485,45193,45762,2515,1224,165,134,202,269,17,26,1115,1070
50,39,7,Ohio,Ashtabula County,11,0,97493,49141,48352,45076,45563,2517,1237,171,144,221,278,18,26,1138,1104
50,39,9,Ohio,Athens County,1,0,64757,32427,32330,29866,29823,916,889,91,84,880,882,12,5,662,647
50,39,9,Ohio,Athens County,4,0,65070,32586,32484,29940,29920,927,861,115,104,911,941,15,6,678,652
50,39,9,Ohio,Athens County,5,0,64603,32248,32355,29577,29746,890,852,104,98,966,976,12,7,699,676
50,39,9,Ohio,Athens County,6,0,64584,32242,32342,29490,29643,913,847,116,99,1016,1044,12,5,695,704
50,39,9,Ohio,Athens County,7,0,64778,32322,32456,29547,29703,886,852,119,105,1047,1084,13,7,710,705
50,39,9,Ohio,Athens County,8,0,65948,32935,33013,30004,30161,912,918,116,107,1132,1112,13,5,758,710
50,39,9,Ohio,Athens County,9,0,66470,33139,33331,30146,30358,914,940,119,110,1168,1175,13,5,779,743
50,39,9,Ohio,Athens County,10,0,66664,33163,33501,30157,30504,939,950,129,106,1164,1189,15,7,759,745
50,39,9,Ohio,Athens County,11,0,65818,32768,33050,29714,30081,936,955,126,110,1184,1162,14,6,794,736
50,39,11,Ohio,Auglaize County,1,0,45949,22787,23162,22365,22753,91,52,51,43,76,96,16,8,188,210
50,39,11,Ohio,Auglaize County,4,0,45767,22698,23069,22227,22642,114,62,51,44,88,95,17,8,201,218
50,39,11,Ohio,Auglaize County,5,0,45797,22787,23010,22260,22568,130,66,49,45,103,101,17,5,228,225
50,39,11,Ohio,Auglaize County,6,0,45828,22801,23027,22237,22546,131,80,55,52,119,111,17,5,242,233
50,39,11,Ohio,Auglaize County,7,0,45766,22724,23042,22143,22541,142,87,56,51,130,119,17,5,236,239
50,39,11,Ohio,Auglaize County,8,0,45761,22781,22980,22145,22454,163,93,59,50,137,117,23,9,254,257
50,39,11,Ohio,Auglaize County,9,0,45800,22799,23001,22136,22448,166,103,56,49,150,126,28,9,263,266
50,39,11,Ohio,Auglaize County,10,0,45791,22843,22948,22153,22393,190,96,53,49,148,125,30,9,269,276
50,39,11,Ohio,Auglaize County,11,0,45804,22885,22919,22211,22375,197,98,52,49,146,120,24,8,255,269
50,39,13,Ohio,Belmont County,1,0,70400,35492,34908,32676,33654,2247,602,44,45,126,134,8,2,391,471
50,39,13,Ohio,Belmont County,4,0,70122,35480,34642,32631,33377,2247,583,49,50,122,137,8,2,423,493
50,39,13,Ohio,Belmont County,5,0,69703,35375,34328,32503,33067,2247,575,51,53,130,134,9,3,435,496
50,39,13,Ohio,Belmont County,6,0,69559,35396,34163,32490,32868,2262,579,52,57,134,147,9,3,449,509
50,39,13,Ohio,Belmont County,7,0,69359,35374,33985,32414,32672,2284,592,55,56,148,152,8,3,465,510
50,39,13,Ohio,Belmont County,8,0,68957,35197,33760,32234,32428,2268,588,61,60,141,161,10,3,483,520
50,39,13,Ohio,Belmont County,9,0,68584,35036,33548,32100,32200,2240,574,62,68,138,162,9,3,487,541
50,39,13,Ohio,Belmont County,10,0,67956,34756,33200,31763,31856,2267,561,59,66,143,165,9,4,515,548
50,39,13,Ohio,Belmont County,11,0,67505,34507,32998,31471,31612,2298,575,60,66,144,171,9,4,525,570
50,39,15,Ohio,Brown County,1,0,44846,22253,22593,21715,22130,218,167,42,35,40,70,1,2,237,189
50,39,15,Ohio,Brown County,4,0,44627,22119,22508,21566,22003,216,168,46,40,44,80,1,2,246,215
50,39,15,Ohio,Brown County,5,0,44280,21965,22315,21413,21796,210,185,43,43,40,79,1,2,258,210
50,39,15,Ohio,Brown County,6,0,44112,21879,22233,21319,21709,201,183,48,42,36,71,6,4,269,224
50,39,15,Ohio,Brown County,7,0,43933,21822,22111,21246,21568,212,192,50,57,41,71,5,4,268,219
50,39,15,Ohio,Brown County,8,0,43695,21740,21955,21182,21403,190,182,50,63,43,72,4,4,271,231
50,39,15,Ohio,Brown County,9,0,43637,21651,21986,21065,21405,211,199,58,73,42,67,5,4,270,238
50,39,15,Ohio,Brown County,10,0,43530,21641,21889,21033,21304,212,178,60,77,52,75,6,4,278,251
50,39,15,Ohio,Brown County,11,0,43602,21616,21986,20980,21378,225,191,66,83,53,78,7,4,285,252
50,39,17,Ohio,Butler County,1,0,368130,180140,187990,158368,164687,13384,14314,517,469,4270,4800,205,162,3396,3558
50,39,17,Ohio,Butler County,4,0,370086,181017,189069,158509,164973,13663,14728,530,493,4517,4978,212,173,3586,3724
50,39,17,Ohio,Butler County,5,0,370534,181618,188916,158395,164257,13967,15026,535,485,4756,5144,219,176,3746,3828
50,39,17,Ohio,Butler County,6,0,371398,182063,189335,158255,164092,14211,15217,540,498,4996,5418,228,185,3833,3925
50,39,17,Ohio,Butler County,7,0,373776,183274,190502,158595,164394,14731,15705,537,504,5210,5659,226,180,3975,4060
50,39,17,Ohio,Butler County,8,0,376029,184270,191759,158627,164784,15328,16079,554,506,5428,5953,249,184,4084,4253
50,39,17,Ohio,Butler County,9,0,378443,185372,193071,158762,165012,15836,16542,554,504,5747,6370,235,207,4238,4436
50,39,17,Ohio,Butler County,10,0,380843,186719,194124,158954,164954,16369,17054,521,516,6203,6851,234,212,4438,4537
50,39,17,Ohio,Butler County,11,0,382378,187579,194799,158745,164566,16774,17423,536,522,6696,7397,227,220,4601,4671
50,39,19,Ohio,Carroll County,1,0,28836,14396,14440,14102,14168,92,54,46,34,16,43,2,0,138,141
50,39,19,Ohio,Carroll County,4,0,28820,14365,14455,14069,14158,94,64,45,34,18,46,2,0,137,153
50,39,19,Ohio,Carroll County,5,0,28540,14205,14335,13897,14000,89,70,50,37,20,49,2,0,147,179
50,39,19,Ohio,Carroll County,6,0,28259,14106,14153,13778,13807,96,75,53,42,30,54,2,0,147,175
50,39,19,Ohio,Carroll County,7,0,28131,14088,14043,13743,13715,102,73,47,36,37,58,2,0,157,161
50,39,19,Ohio,Carroll County,8,0,27718,13870,13848,13520,13502,107,76,50,37,40,58,2,0,151,175
50,39,19,Ohio,Carroll County,9,0,27620,13814,13806,13449,13448,112,78,55,40,44,63,2,0,152,177
50,39,19,Ohio,Carroll County,10,0,27341,13659,13682,13285,13310,124,80,52,40,51,65,3,0,144,187
50,39,19,Ohio,Carroll County,11,0,27081,13557,13524,13169,13136,117,80,52,38,56,68,3,0,160,202
50,39,21,Ohio,Champaign County,1,0,40097,19844,20253,18857,19308,494,416,72,77,54,103,8,5,359,344
50,39,21,Ohio,Champaign County,4,0,39819,19769,20050,18771,19106,489,407,76,77,57,106,6,4,370,350
50,39,21,Ohio,Champaign County,5,0,39568,19643,19925,18611,18991,487,399,78,74,63,108,10,7,394,346
50,39,21,Ohio,Champaign County,6,0,39460,19623,19837,18555,18933,496,368,86,78,64,105,10,7,412,346
50,39,21,Ohio,Champaign County,7,0,39074,19432,19642,18339,18730,501,372,86,76,76,113,8,6,422,345
50,39,21,Ohio,Champaign County,8,0,38951,19467,19484,18360,18557,492,375,91,74,80,117,7,5,437,356
50,39,21,Ohio,Champaign County,9,0,38719,19330,19389,18224,18437,482,374,93,75,76,116,8,6,447,381
50,39,21,Ohio,Champaign County,10,0,38824,19333,19491,18229,18540,453,361,93,75,75,110,8,6,475,399
50,39,21,Ohio,Champaign County,11,0,38754,19307,19447,18201,18495,461,361,95,72,77,116,8,8,465,395
50,39,23,Ohio,Clark County,1,0,138333,66989,71344,58768,62598,5982,6314,194,194,365,521,40,36,1640,1681
50,39,23,Ohio,Clark County,4,0,137793,66736,71057,58424,62258,6009,6298,214,200,367,506,41,35,1681,1760
50,39,23,Ohio,Clark County,5,0,137166,66483,70683,58113,61886,6003,6251,212,199,370,512,43,39,1742,1796
50,39,23,Ohio,Clark County,6,0,136636,66260,70376,57808,61542,6026,6251,214,202,392,534,44,41,1776,1806
50,39,23,Ohio,Clark County,7,0,136316,66111,70205,57597,61239,6042,6284,223,213,411,561,46,42,1792,1866
50,39,23,Ohio,Clark County,8,0,135740,65776,69964,57223,60934,6035,6250,225,223,401,578,45,39,1847,1940
50,39,23,Ohio,Clark County,9,0,134701,65262,69439,56753,60448,5969,6148,229,236,384,583,47,43,1880,1981
50,39,23,Ohio,Clark County,10,0,134649,65208,69441,56620,60455,5997,6137,228,231,394,578,46,44,1923,1996
50,39,23,Ohio,Clark County,11,0,134585,65152,69433,56539,60423,5958,6111,218,242,403,584,48,50,1986,2023
50,39,25,Ohio,Clermont County,1,0,197363,97326,100037,93724,96403,1248,1090,211,210,874,1078,37,30,1232,1226
50,39,25,Ohio,Clermont County,4,0,198838,98005,100833,94172,97073,1348,1144,220,217,928,1100,40,35,1297,1264
50,39,25,Ohio,Clermont County,5,0,199475,98207,101268,94197,97350,1373,1197,227,212,1009,1155,43,40,1358,1314
50,39,25,Ohio,Clermont County,6,0,200440,98780,101660,94640,97629,1376,1205,238,212,1064,1204,44,43,1418,1367
50,39,25,Ohio,Clermont County,7,0,201450,99343,102107,95011,97915,1467,1280,243,224,1096,1216,45,46,1481,1426
50,39,25,Ohio,Clermont County,8,0,201942,99548,102394,95052,98120,1539,1323,255,217,1156,1249,49,45,1497,1440
50,39,25,Ohio,Clermont County,9,0,203053,99987,103066,95323,98522,1675,1475,232,214,1170,1303,51,49,1536,1503
50,39,25,Ohio,Clermont County,10,0,204171,100524,103647,95690,98937,1729,1543,234,217,1218,1340,50,47,1603,1563
50,39,25,Ohio,Clermont County,11,0,205466,101344,104122,96244,99262,1805,1611,240,215,1318,1393,49,47,1688,1594
50,39,27,Ohio,Clinton County,1,0,42040,20609,21431,19555,20469,523,421,49,55,95,120,10,7,377,359
50,39,27,Ohio,Clinton County,4,0,41894,20569,21325,19493,20351,521,433,48,54,90,111,9,7,408,369
50,39,27,Ohio,Clinton County,5,0,41804,20549,21255,19494,20263,504,425,46,55,93,120,12,6,400,386
50,39,27,Ohio,Clinton County,6,0,41847,20578,21269,19536,20256,488,428,49,54,86,125,13,9,406,397
50,39,27,Ohio,Clinton County,7,0,41787,20524,21263,19480,20229,477,435,56,59,81,124,13,8,417,408
50,39,27,Ohio,Clinton County,8,0,41817,20560,21257,19474,20202,500,442,58,60,88,120,14,9,426,424
50,39,27,Ohio,Clinton County,9,0,41853,20658,21195,19528,20163,526,419,59,65,91,117,13,8,441,423
50,39,27,Ohio,Clinton County,10,0,41966,20722,21244,19575,20209,530,408,63,72,92,120,16,9,446,426
50,39,27,Ohio,Clinton County,11,0,42057,20748,21309,19577,20249,531,412,66,74,96,127,16,10,462,437
50,39,29,Ohio,Columbiana County,1,0,107841,54185,53656,51256,52190,1897,601,156,78,169,159,9,21,698,607
50,39,29,Ohio,Columbiana County,4,0,107408,53949,53459,51020,51934,1889,629,153,77,163,165,9,23,715,631
50,39,29,Ohio,Columbiana County,5,0,106613,53592,53021,50644,51490,1890,623,160,82,163,162,9,23,726,641
50,39,29,Ohio,Columbiana County,6,0,105953,53392,52561,50377,50997,1915,621,160,80,169,173,9,23,762,667
50,39,29,Ohio,Columbiana County,7,0,105619,53257,52362,50222,50799,1918,618,165,83,170,174,11,25,771,663
