SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,40,1,Oklahoma,Adair County,1,0,22683,11348,11335,5039,5007,38,22,5026,5123,70,60,1,0,1174,1123
50,40,1,Oklahoma,Adair County,4,0,22560,11281,11279,4962,4956,47,29,5025,5105,66,52,1,1,1180,1136
50,40,1,Oklahoma,Adair County,5,0,22312,11148,11164,4886,4889,50,34,4991,5069,69,56,1,1,1151,1115
50,40,1,Oklahoma,Adair County,6,0,22308,11146,11162,4883,4934,52,36,4994,5030,66,56,1,1,1150,1105
50,40,1,Oklahoma,Adair County,7,0,22237,11124,11113,4857,4884,63,38,4986,5012,66,61,3,1,1149,1117
50,40,1,Oklahoma,Adair County,8,0,22107,11051,11056,4778,4807,60,48,5001,5020,72,65,8,2,1132,1114
50,40,1,Oklahoma,Adair County,9,0,22156,11038,11118,4694,4789,71,50,5051,5093,71,66,10,2,1141,1118
50,40,1,Oklahoma,Adair County,10,0,21981,10981,11000,4670,4699,73,53,4989,5042,79,73,12,2,1158,1131
50,40,1,Oklahoma,Adair County,11,0,22082,11015,11067,4649,4690,79,53,5004,5079,93,84,14,2,1176,1159
50,40,3,Oklahoma,Alfalfa County,1,0,5642,3323,2319,2888,2228,230,2,123,49,11,4,1,0,70,36
50,40,3,Oklahoma,Alfalfa County,4,0,5641,3335,2306,2879,2200,236,7,135,55,12,5,1,0,72,39
50,40,3,Oklahoma,Alfalfa County,5,0,5661,3331,2330,2859,2209,238,5,140,60,13,8,2,1,79,47
50,40,3,Oklahoma,Alfalfa County,6,0,5848,3464,2384,2983,2254,239,7,146,66,12,8,2,2,82,47
50,40,3,Oklahoma,Alfalfa County,7,0,5812,3458,2354,2959,2217,241,6,156,74,16,8,2,1,84,48
50,40,3,Oklahoma,Alfalfa County,8,0,5903,3505,2398,2987,2261,248,6,164,72,14,8,2,1,90,50
50,40,3,Oklahoma,Alfalfa County,9,0,5914,3514,2400,2974,2246,250,11,170,77,15,8,2,1,103,57
50,40,3,Oklahoma,Alfalfa County,10,0,5900,3512,2388,2973,2233,244,12,165,82,14,8,2,1,114,52
50,40,3,Oklahoma,Alfalfa County,11,0,5754,3434,2320,2898,2160,244,12,166,82,14,8,4,4,108,54
50,40,5,Oklahoma,Atoka County,1,0,14182,7384,6798,5491,5092,378,155,1019,994,23,32,5,2,468,523
50,40,5,Oklahoma,Atoka County,4,0,14167,7387,6780,5487,5107,368,154,1028,972,27,34,5,2,472,511
50,40,5,Oklahoma,Atoka County,5,0,14030,7313,6717,5416,5039,370,155,1009,982,30,32,4,2,484,507
50,40,5,Oklahoma,Atoka County,6,0,13900,7192,6708,5292,5050,362,152,1031,973,37,35,4,2,466,496
50,40,5,Oklahoma,Atoka County,7,0,13922,7270,6652,5327,5012,375,154,1044,959,42,39,6,5,476,483
50,40,5,Oklahoma,Atoka County,8,0,13883,7251,6632,5285,5005,385,156,1056,950,42,43,6,5,477,473
50,40,5,Oklahoma,Atoka County,9,0,13891,7258,6633,5256,4984,384,155,1075,949,39,45,3,2,501,498
50,40,5,Oklahoma,Atoka County,10,0,13838,7202,6636,5166,4971,388,156,1066,933,40,45,3,2,539,529
50,40,5,Oklahoma,Atoka County,11,0,13838,7200,6638,5160,4969,385,156,1047,938,44,49,3,2,561,524
50,40,7,Oklahoma,Beaver County,1,0,5636,2870,2766,2742,2642,26,19,42,41,4,7,0,0,56,57
50,40,7,Oklahoma,Beaver County,4,0,5637,2852,2785,2724,2648,27,19,43,48,2,9,1,0,55,61
50,40,7,Oklahoma,Beaver County,5,0,5584,2814,2770,2674,2620,28,25,49,54,6,9,0,0,57,62
50,40,7,Oklahoma,Beaver County,6,0,5558,2816,2742,2670,2588,28,27,52,56,6,9,0,0,60,62
50,40,7,Oklahoma,Beaver County,7,0,5524,2774,2750,2630,2593,23,25,55,55,6,12,0,0,60,65
50,40,7,Oklahoma,Beaver County,8,0,5445,2731,2714,2580,2556,27,26,54,55,6,12,0,0,64,65
50,40,7,Oklahoma,Beaver County,9,0,5426,2708,2718,2544,2558,34,29,56,59,6,9,0,0,68,63
50,40,7,Oklahoma,Beaver County,10,0,5361,2692,2669,2520,2503,35,27,58,61,7,9,1,0,71,69
50,40,7,Oklahoma,Beaver County,11,0,5319,2688,2631,2497,2462,39,28,63,57,12,12,2,0,75,72
50,40,9,Oklahoma,Beckham County,1,0,22119,11831,10288,10391,9418,716,186,337,354,132,69,2,0,253,261
50,40,9,Oklahoma,Beckham County,4,0,22306,11966,10340,10490,9451,730,185,342,347,132,67,2,1,270,289
50,40,9,Oklahoma,Beckham County,5,0,23069,12369,10700,10816,9761,760,187,372,375,128,70,2,2,291,305
50,40,9,Oklahoma,Beckham County,6,0,23469,12613,10856,10990,9856,787,214,395,402,131,80,3,2,307,302
50,40,9,Oklahoma,Beckham County,7,0,23599,12694,10905,11039,9832,780,228,416,433,139,86,2,3,318,323
50,40,9,Oklahoma,Beckham County,8,0,23561,12654,10907,10936,9820,807,255,422,397,145,102,3,3,341,330
50,40,9,Oklahoma,Beckham County,9,0,22433,12085,10348,10473,9365,742,187,419,382,137,109,3,1,311,304
50,40,9,Oklahoma,Beckham County,10,0,21804,11730,10074,10172,9143,731,167,393,356,126,108,3,3,305,297
50,40,9,Oklahoma,Beckham County,11,0,21709,11653,10056,10061,9066,747,176,410,381,121,114,3,0,311,319
50,40,11,Oklahoma,Blaine County,1,0,11943,6924,5019,6033,4140,180,156,510,506,14,20,7,0,180,197
50,40,11,Oklahoma,Blaine County,4,0,9679,4782,4897,3967,4053,160,145,458,480,10,20,2,0,185,199
50,40,11,Oklahoma,Blaine County,5,0,9800,4822,4978,3977,4104,168,154,472,499,11,20,2,3,192,198
50,40,11,Oklahoma,Blaine County,6,0,9781,4823,4958,3946,4056,169,156,500,503,13,21,2,3,193,219
50,40,11,Oklahoma,Blaine County,7,0,9835,4866,4969,3939,4030,183,170,514,517,14,20,2,3,214,229
50,40,11,Oklahoma,Blaine County,8,0,9749,4812,4937,3877,4014,189,168,506,505,13,20,2,3,225,227
50,40,11,Oklahoma,Blaine County,9,0,9589,4713,4876,3826,3946,181,172,467,500,13,20,2,4,224,234
50,40,11,Oklahoma,Blaine County,10,0,9510,4662,4848,3766,3929,176,154,476,500,14,20,2,4,228,241
50,40,11,Oklahoma,Blaine County,11,0,9485,4670,4815,3741,3883,174,150,470,500,14,20,2,4,269,258
50,40,13,Oklahoma,Bryan County,1,0,42416,20743,21673,16062,16905,389,288,2757,2832,101,121,6,6,1428,1521
50,40,13,Oklahoma,Bryan County,4,0,43137,21139,21998,16262,17019,376,305,2883,2932,124,138,10,9,1484,1595
50,40,13,Oklahoma,Bryan County,5,0,43451,21259,22192,16272,17140,407,322,2934,2969,126,137,11,9,1509,1615
50,40,13,Oklahoma,Bryan County,6,0,44118,21551,22567,16499,17368,400,340,2992,3100,124,128,11,8,1525,1623
50,40,13,Oklahoma,Bryan County,7,0,44495,21750,22745,16611,17402,411,353,3001,3157,133,145,11,10,1583,1678
