SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,41,1,Oregon,Baker County,1,0,16134,8140,7994,7791,7646,42,16,86,101,36,42,4,5,181,184
50,41,1,Oregon,Baker County,4,0,16058,8083,7975,7728,7617,44,25,93,108,35,53,4,5,179,167
50,41,1,Oregon,Baker County,5,0,15990,8086,7904,7710,7522,49,26,95,111,36,60,4,5,192,180
50,41,1,Oregon,Baker County,6,0,16015,8110,7905,7703,7513,66,31,98,107,38,63,4,6,201,185
50,41,1,Oregon,Baker County,7,0,16012,8100,7912,7688,7512,66,34,101,106,46,68,6,6,193,186
50,41,1,Oregon,Baker County,8,0,15873,8053,7820,7618,7401,68,36,105,106,48,71,7,7,207,199
50,41,1,Oregon,Baker County,9,0,15951,8121,7830,7665,7408,69,36,106,105,51,68,7,8,223,205
50,41,1,Oregon,Baker County,10,0,16079,8190,7889,7717,7434,67,34,112,113,55,76,7,9,232,223
50,41,1,Oregon,Baker County,11,0,16006,8146,7860,7673,7392,66,31,121,113,53,83,9,11,224,230
50,41,3,Oregon,Benton County,1,0,85579,42868,42711,38248,38236,471,353,372,371,2267,2232,123,100,1387,1419
50,41,3,Oregon,Benton County,4,0,86260,43232,43028,38255,38336,511,373,400,385,2520,2375,119,103,1427,1456
50,41,3,Oregon,Benton County,5,0,86675,43508,43167,38301,38363,542,370,393,385,2676,2463,118,101,1478,1485
50,41,3,Oregon,Benton County,6,0,86168,43294,42874,38016,37982,566,380,392,392,2757,2513,115,102,1448,1505
50,41,3,Oregon,Benton County,7,0,87221,43920,43301,38424,38166,593,403,386,398,2885,2671,118,106,1514,1557
50,41,3,Oregon,Benton County,8,0,88270,44314,43956,38666,38561,604,418,380,413,2970,2788,128,118,1566,1658
50,41,3,Oregon,Benton County,9,0,89743,45092,44651,39082,38941,626,438,387,416,3229,3015,114,111,1654,1730
50,41,3,Oregon,Benton County,10,0,91567,45943,45624,39703,39704,640,449,383,377,3346,3117,123,120,1748,1857
50,41,3,Oregon,Benton County,11,0,92101,46216,45885,39841,39796,647,468,371,406,3383,3172,125,120,1849,1923
50,41,5,Oregon,Clackamas County,1,0,375992,184925,191067,168944,174210,1902,1518,2048,1958,6352,7602,516,458,5163,5321
50,41,5,Oregon,Clackamas County,4,0,379485,186557,192928,170104,175348,1933,1575,1996,2017,6572,8058,545,480,5407,5450
50,41,5,Oregon,Clackamas County,5,0,383021,188444,194577,171490,176350,2036,1694,2032,2074,6719,8302,544,479,5623,5678
50,41,5,Oregon,Clackamas County,6,0,387406,190757,196649,173162,177951,2113,1761,2088,2062,6933,8397,566,475,5895,6003
50,41,5,Oregon,Clackamas County,7,0,393453,193536,199917,175158,180391,2214,1773,2090,2096,7423,8896,575,478,6076,6283
50,41,5,Oregon,Clackamas County,8,0,399799,196592,203207,177434,182881,2328,1830,2136,2165,7790,9303,593,495,6311,6533
50,41,5,Oregon,Clackamas County,9,0,406794,200126,206668,179765,185280,2525,1909,2203,2151,8252,9843,631,542,6750,6943
50,41,5,Oregon,Clackamas County,10,0,412821,203272,209549,182108,187291,2615,1999,2252,2181,8654,10264,579,549,7064,7265
50,41,5,Oregon,Clackamas County,11,0,416075,205076,210999,183130,187930,2708,2146,2239,2245,9022,10687,621,557,7356,7434
50,41,7,Oregon,Clatsop County,1,0,37039,18407,18632,17325,17531,122,95,222,202,192,292,49,40,497,472
50,41,7,Oregon,Clatsop County,4,0,37220,18482,18738,17345,17578,137,125,232,210,202,296,57,50,509,479
50,41,7,Oregon,Clatsop County,5,0,37408,18601,18807,17422,17615,137,124,245,220,217,307,56,58,524,483
50,41,7,Oregon,Clatsop County,6,0,37105,18340,18765,17159,17540,138,136,248,238,234,319,55,54,506,478
50,41,7,Oregon,Clatsop County,7,0,37440,18505,18935,17284,17651,140,140,244,243,259,340,61,57,517,504
50,41,7,Oregon,Clatsop County,8,0,37800,18720,19080,17454,17748,152,144,240,262,273,346,65,50,536,530
50,41,7,Oregon,Clatsop County,9,0,38686,19095,19591,17790,18187,155,140,243,267,287,365,58,51,562,581
50,41,7,Oregon,Clatsop County,10,0,39119,19327,19792,17971,18402,162,145,255,267,290,377,60,49,589,552
50,41,7,Oregon,Clatsop County,11,0,39764,19655,20109,18177,18615,192,158,267,277,312,389,63,54,644,616
50,41,9,Oregon,Columbia County,1,0,49351,24722,24629,23226,23094,129,84,342,344,169,307,52,54,804,746
50,41,9,Oregon,Columbia County,4,0,49402,24736,24666,23208,23060,138,96,359,348,167,326,56,53,808,783
50,41,9,Oregon,Columbia County,5,0,49215,24644,24571,23125,22938,134,102,357,363,162,318,58,52,808,798
50,41,9,Oregon,Columbia County,6,0,49265,24584,24681,23054,22993,152,121,348,363,159,325,58,61,813,818
50,41,9,Oregon,Columbia County,7,0,49499,24726,24773,23139,23031,169,137,341,355,172,349,59,59,846,842
50,41,9,Oregon,Columbia County,8,0,49656,24832,24824,23190,23074,164,132,355,352,173,351,55,56,895,859
50,41,9,Oregon,Columbia County,9,0,50930,25477,25453,23770,23631,167,133,370,382,186,385,58,57,926,865
50,41,9,Oregon,Columbia County,10,0,51795,25859,25936,24087,24010,189,144,381,382,193,380,58,61,951,959
50,41,9,Oregon,Columbia County,11,0,52377,26190,26187,24322,24142,208,153,382,385,216,401,63,66,999,1040
50,41,11,Oregon,Coos County,1,0,63043,31086,31957,28518,29235,173,105,834,874,252,421,71,58,1238,1264
50,41,11,Oregon,Coos County,4,0,62775,30896,31879,28278,29067,168,115,858,910,276,442,64,74,1252,1271
50,41,11,Oregon,Coos County,5,0,62678,30905,31773,28286,28895,190,125,838,936,273,449,64,82,1254,1286
50,41,11,Oregon,Coos County,6,0,62380,30759,31621,28099,28664,209,147,859,942,271,461,66,95,1255,1312
50,41,11,Oregon,Coos County,7,0,62367,30758,31609,28020,28581,250,169,858,952,270,475,65,98,1295,1334
50,41,11,Oregon,Coos County,8,0,62654,30873,31781,28093,28772,241,173,851,932,288,486,65,104,1335,1314
50,41,11,Oregon,Coos County,9,0,63347,31189,32158,28374,29083,234,175,884,947,309,511,66,100,1322,1342
50,41,11,Oregon,Coos County,10,0,63781,31442,32339,28580,29189,239,168,894,965,305,508,71,104,1353,1405
50,41,11,Oregon,Coos County,11,0,64389,31756,32633,28801,29412,247,181,913,972,336,534,74,106,1385,1428
50,41,13,Oregon,Crook County,1,0,20978,10398,10580,9968,10131,21,20,161,163,43,65,6,5,199,196
50,41,13,Oregon,Crook County,4,0,20636,10260,10376,9844,9908,30,24,142,166,45,77,6,5,193,196
50,41,13,Oregon,Crook County,5,0,20606,10204,10402,9787,9941,28,25,137,153,46,81,7,7,199,195
50,41,13,Oregon,Crook County,6,0,20700,10247,10453,9808,9953,33,33,141,163,51,89,7,6,207,209
50,41,13,Oregon,Crook County,7,0,20957,10331,10626,9866,10099,35,33,154,178,49,89,9,6,218,221
50,41,13,Oregon,Crook County,8,0,21459,10625,10834,10166,10275,38,33,158,187,48,94,10,6,205,239
50,41,13,Oregon,Crook County,9,0,22313,11074,11239,10565,10649,52,42,167,199,49,98,13,7,228,244
50,41,13,Oregon,Crook County,10,0,23091,11473,11618,10932,10965,55,47,178,207,53,103,12,7,243,289
50,41,13,Oregon,Crook County,11,0,23867,11858,12009,11304,11327,52,46,192,225,61,109,12,8,237,294
50,41,15,Oregon,Curry County,1,0,22364,11041,11323,10352,10576,46,25,214,226,48,113,11,10,370,373
50,41,15,Oregon,Curry County,4,0,22486,11042,11444,10332,10665,51,28,222,235,57,120,12,10,368,386
50,41,15,Oregon,Curry County,5,0,22257,10943,11314,10212,10537,60,31,240,244,58,121,9,13,364,368
50,41,15,Oregon,Curry County,6,0,22225,10934,11291,10195,10502,62,36,249,248,60,124,10,11,358,370
50,41,15,Oregon,Curry County,7,0,22140,10883,11257,10107,10426,60,36,274,266,68,136,13,12,361,381
50,41,15,Oregon,Curry County,8,0,22296,10952,11344,10151,10476,55,43,288,279,73,137,13,13,372,396
50,41,15,Oregon,Curry County,9,0,22611,11123,11488,10289,10601,60,43,286,280,81,125,13,13,394,426
50,41,15,Oregon,Curry County,10,0,22676,11162,11514,10287,10608,72,55,289,287,82,124,15,15,417,425
50,41,15,Oregon,Curry County,11,0,22813,11227,11586,10342,10660,76,59,296,286,76,120,18,18,419,443
50,41,17,Oregon,Deschutes County,1,0,157733,77971,79762,74270,75769,352,247,887,887,607,919,121,111,1734,1829
50,41,17,Oregon,Deschutes County,4,0,159639,78778,80861,75021,76735,375,278,871,907,603,971,116,116,1792,1854
50,41,17,Oregon,Deschutes County,5,0,161345,79485,81860,75585,77635,391,294,915,915,613,988,119,112,1862,1916
50,41,17,Oregon,Deschutes County,6,0,165294,81360,83934,77281,79581,436,311,951,944,646,1007,128,114,1918,1977
