SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,42,1,Pennsylvania,Adams County,1,0,101407,49865,51542,47899,49584,895,795,159,146,347,431,15,16,550,570
50,42,1,Pennsylvania,Adams County,4,0,101457,49983,51474,47917,49457,938,806,175,145,350,424,17,16,586,626
50,42,1,Pennsylvania,Adams County,5,0,101242,49867,51375,47769,49302,971,812,173,156,345,434,18,18,591,653
50,42,1,Pennsylvania,Adams County,6,0,101132,49854,51278,47674,49170,1026,807,186,158,359,454,18,18,591,671
50,42,1,Pennsylvania,Adams County,7,0,101350,49911,51439,47616,49211,1055,833,207,171,366,488,21,19,646,717
50,42,1,Pennsylvania,Adams County,8,0,101776,50228,51548,47879,49283,1059,860,211,185,366,483,23,21,690,716
50,42,1,Pennsylvania,Adams County,9,0,101812,50144,51668,47789,49348,1075,878,215,193,351,489,23,21,691,739
50,42,1,Pennsylvania,Adams County,10,0,102367,50367,52000,47957,49596,1097,918,214,199,362,501,27,22,710,764
50,42,1,Pennsylvania,Adams County,11,0,102811,50589,52222,48111,49767,1111,917,213,197,378,522,26,21,750,798
50,42,3,Pennsylvania,Allegheny County,1,0,1223348,585650,637698,482275,520064,74885,88333,859,965,17372,17285,146,179,10113,10872
50,42,3,Pennsylvania,Allegheny County,4,0,1228183,589161,639022,483543,519459,75236,88485,898,995,18685,18498,146,204,10653,11381
50,42,3,Pennsylvania,Allegheny County,5,0,1230881,591398,639483,483963,518363,75591,88596,919,974,19651,19487,151,210,11123,11853
50,42,3,Pennsylvania,Allegheny County,6,0,1233710,593948,639762,484371,516781,76157,88864,907,997,20756,20588,162,214,11595,12318
50,42,3,Pennsylvania,Allegheny County,7,0,1233073,594152,638921,483272,514578,76149,88774,899,1020,21717,21615,171,223,11944,12711
50,42,3,Pennsylvania,Allegheny County,8,0,1228965,592888,636077,480997,511091,76238,88437,940,1045,22265,22231,166,226,12282,13047
50,42,3,Pennsylvania,Allegheny County,9,0,1226660,592663,633997,479163,508010,76572,88245,932,1051,23234,23044,171,230,12591,13417
50,42,3,Pennsylvania,Allegheny County,10,0,1220656,589473,631183,475851,504245,75498,88024,950,1066,24132,23849,178,239,12864,13760
50,42,3,Pennsylvania,Allegheny County,11,0,1218452,588896,629556,474044,501511,75463,87970,916,1026,25170,24818,191,250,13112,13981
50,42,5,Pennsylvania,Armstrong County,1,0,68941,34013,34928,33356,34320,320,235,28,24,50,105,4,5,255,239
50,42,5,Pennsylvania,Armstrong County,4,0,68492,33870,34622,33193,34003,330,229,32,30,56,110,4,5,255,245
50,42,5,Pennsylvania,Armstrong County,5,0,68058,33709,34349,33018,33701,321,233,35,30,60,114,4,5,271,266
50,42,5,Pennsylvania,Armstrong County,6,0,67851,33605,34246,32895,33567,331,245,35,37,63,112,4,6,277,279
50,42,5,Pennsylvania,Armstrong County,7,0,67466,33414,34052,32690,33361,328,242,43,41,62,114,4,6,287,288
50,42,5,Pennsylvania,Armstrong County,8,0,66753,33126,33627,32395,32926,336,245,44,40,65,118,6,5,280,293
50,42,5,Pennsylvania,Armstrong County,9,0,66299,32943,33356,32184,32634,350,239,49,45,71,121,4,5,285,312
50,42,5,Pennsylvania,Armstrong County,10,0,65876,32751,33125,31971,32389,358,256,47,45,73,122,3,5,299,308
50,42,5,Pennsylvania,Armstrong County,11,0,65263,32502,32761,31682,32042,360,240,52,43,82,118,3,5,323,313
50,42,7,Pennsylvania,Beaver County,1,0,170539,82279,88260,75375,80667,5166,5590,95,100,292,446,23,25,1328,1432
50,42,7,Pennsylvania,Beaver County,4,0,170307,82293,88014,75286,80385,5160,5548,99,99,320,474,23,25,1405,1483
50,42,7,Pennsylvania,Beaver County,5,0,170065,82237,87828,75074,80148,5230,5541,110,102,332,484,22,27,1469,1526
50,42,7,Pennsylvania,Beaver County,6,0,169743,82139,87604,74929,79847,5225,5519,123,113,325,491,25,27,1512,1607
50,42,7,Pennsylvania,Beaver County,7,0,168998,81822,87176,74590,79389,5188,5487,127,116,338,501,28,29,1551,1654
50,42,7,Pennsylvania,Beaver County,8,0,168267,81449,86818,74171,78967,5172,5509,125,110,350,524,32,27,1599,1681
50,42,7,Pennsylvania,Beaver County,9,0,166772,80832,85940,73535,78105,5160,5431,128,124,344,534,32,30,1633,1716
