SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,44,1,Rhode Island,Bristol County,1,0,49875,23951,25924,22993,24970,247,192,39,46,333,396,4,0,335,320
50,44,1,Rhode Island,Bristol County,4,0,49227,23598,25629,22616,24607,250,208,38,51,344,412,6,2,344,349
50,44,1,Rhode Island,Bristol County,5,0,49267,23659,25608,22605,24564,264,198,45,54,363,431,8,4,374,357
50,44,1,Rhode Island,Bristol County,6,0,49249,23700,25549,22629,24439,267,225,55,63,371,455,11,4,367,363
50,44,1,Rhode Island,Bristol County,7,0,49073,23636,25437,22521,24259,283,255,55,62,381,485,13,4,383,372
50,44,1,Rhode Island,Bristol County,8,0,49115,23672,25443,22478,24192,321,263,58,58,402,523,13,3,400,404
50,44,1,Rhode Island,Bristol County,9,0,48863,23578,25285,22306,23997,334,254,63,69,426,548,13,3,436,414
50,44,1,Rhode Island,Bristol County,10,0,48800,23558,25242,22215,23877,361,278,61,66,451,567,15,7,455,447
50,44,1,Rhode Island,Bristol County,11,0,48649,23502,25147,22075,23695,394,321,71,68,480,608,15,7,467,448
50,44,3,Rhode Island,Kent County,1,0,166158,79969,86189,75284,81651,1431,1219,250,260,1683,1791,41,28,1280,1240
50,44,3,Rhode Island,Kent County,4,0,165261,79736,85525,74861,80755,1466,1247,263,280,1771,1942,46,29,1329,1272
50,44,3,Rhode Island,Kent County,5,0,164629,79406,85223,74414,80274,1473,1263,272,291,1826,2039,49,34,1372,1322
50,44,3,Rhode Island,Kent County,6,0,164367,79319,85048,74158,79987,1503,1305,299,293,1878,2048,51,37,1430,1378
50,44,3,Rhode Island,Kent County,7,0,164503,79386,85117,74069,79874,1577,1357,314,301,1924,2081,51,38,1451,1466
50,44,3,Rhode Island,Kent County,8,0,163750,79143,84607,73584,79126,1637,1435,325,325,2020,2165,60,39,1517,1517
