SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,45,1,South Carolina,Abbeville County,1,0,25417,12321,13096,8775,9022,3351,3853,28,34,27,50,1,4,139,133
50,45,1,South Carolina,Abbeville County,4,0,25060,12163,12897,8665,8889,3295,3782,28,38,37,51,1,4,137,133
50,45,1,South Carolina,Abbeville County,5,0,25000,12094,12906,8599,8881,3278,3775,29,36,35,55,1,4,152,155
50,45,1,South Carolina,Abbeville County,6,0,24880,12084,12796,8580,8819,3289,3727,30,38,37,54,1,4,147,154
50,45,1,South Carolina,Abbeville County,7,0,24775,11993,12782,8498,8785,3279,3740,31,37,37,61,2,4,146,155
50,45,1,South Carolina,Abbeville County,8,0,24775,12024,12751,8533,8787,3264,3705,31,39,40,57,1,5,155,158
50,45,1,South Carolina,Abbeville County,9,0,24633,11930,12703,8455,8750,3241,3699,31,39,37,53,1,6,165,156
50,45,1,South Carolina,Abbeville County,10,0,24560,11895,12665,8468,8757,3188,3652,31,42,38,55,1,4,169,155
50,45,1,South Carolina,Abbeville County,11,0,24541,11868,12673,8447,8778,3167,3630,39,43,40,61,1,4,174,157
50,45,3,South Carolina,Aiken County,1,0,160099,77550,82549,56586,58713,18588,21172,426,434,624,784,43,43,1283,1403
50,45,3,South Carolina,Aiken County,4,0,161566,78299,83267,57192,59244,18656,21238,428,442,639,825,44,46,1340,1472
50,45,3,South Carolina,Aiken County,5,0,162910,78877,84033,57451,59600,18902,21621,418,422,652,815,48,50,1406,1525
50,45,3,South Carolina,Aiken County,6,0,163694,79267,84427,57551,59698,19117,21807,441,428,681,852,50,56,1427,1586
50,45,3,South Carolina,Aiken County,7,0,164213,79482,84731,57609,59874,19221,21930,448,427,705,873,44,48,1455,1579
50,45,3,South Carolina,Aiken County,8,0,165657,80196,85461,57989,60148,19458,22236,464,459,734,931,45,56,1506,1631
50,45,3,South Carolina,Aiken County,9,0,167103,80766,86337,58336,60631,19519,22504,471,473,785,982,48,58,1607,1689
50,45,3,South Carolina,Aiken County,10,0,168256,81343,86913,58531,60820,19839,22704,484,503,808,1015,50,56,1631,1815
50,45,3,South Carolina,Aiken County,11,0,169401,81847,87554,58778,61174,19938,22914,473,479,883,1071,57,61,1718,1855
50,45,5,South Carolina,Allendale County,1,0,10419,5540,4879,1479,1110,3994,3701,13,7,27,23,1,1,26,37
50,45,5,South Carolina,Allendale County,4,0,10233,5429,4804,1459,1093,3903,3647,13,8,26,23,1,1,27,32
50,45,5,South Carolina,Allendale County,5,0,9982,5305,4677,1445,1075,3790,3535,14,10,23,23,1,1,32,33
50,45,5,South Carolina,Allendale County,6,0,9824,5270,4554,1431,1054,3760,3425,14,11,31,24,1,2,33,38
50,45,5,South Carolina,Allendale County,7,0,9700,5198,4502,1408,1004,3706,3418,19,15,29,25,1,2,35,38
50,45,5,South Carolina,Allendale County,8,0,9420,5054,4366,1354,945,3614,3339,18,13,30,27,1,1,37,41
50,45,5,South Carolina,Allendale County,9,0,9048,4780,4268,1266,927,3421,3261,18,13,33,28,1,1,41,38
50,45,5,South Carolina,Allendale County,10,0,9001,4758,4243,1276,931,3380,3235,21,13,35,27,1,1,45,36
50,45,5,South Carolina,Allendale County,11,0,8903,4691,4212,1264,944,3321,3183,21,12,39,29,1,3,45,41
50,45,7,South Carolina,Anderson County,1,0,187126,90255,96871,73911,78283,14161,16188,303,269,652,812,28,33,1200,1286
50,45,7,South Carolina,Anderson County,4,0,188153,90787,97366,73970,78388,14542,16502,312,274,689,848,29,32,1245,1322
50,45,7,South Carolina,Anderson County,5,0,188822,91135,97687,74037,78490,14702,16632,313,263,738,907,30,33,1315,1362
50,45,7,South Carolina,Anderson County,6,0,190022,91536,98486,74395,78970,14624,16807,309,275,792,962,32,33,1384,1439
50,45,7,South Carolina,Anderson County,7,0,191807,92422,99385,75115,79709,14719,16889,314,280,797,1003,33,34,1444,1470
50,45,7,South Carolina,Anderson County,8,0,193743,93363,100380,75857,80518,14800,16947,324,300,821,1046,35,38,1526,1531
50,45,7,South Carolina,Anderson County,9,0,195673,94355,101318,76575,81190,14955,17077,344,297,825,1071,42,46,1614,1637
50,45,7,South Carolina,Anderson County,10,0,198268,95539,102729,77466,82358,15135,17220,343,309,844,1092,44,40,1707,1710
50,45,7,South Carolina,Anderson County,11,0,200482,96527,103955,78225,83322,15257,17404,358,323,906,1130,49,44,1732,1732
50,45,9,South Carolina,Bamberg County,1,0,15987,7605,8382,2937,2931,4538,5316,23,28,35,35,4,2,68,70
50,45,9,South Carolina,Bamberg County,4,0,15817,7552,8265,2892,2932,4517,5187,25,31,36,36,4,2,78,77
50,45,9,South Carolina,Bamberg County,5,0,15691,7498,8193,2866,2898,4480,5150,28,31,38,34,4,2,82,78
50,45,9,South Carolina,Bamberg County,6,0,15401,7379,8022,2797,2833,4438,5049,27,31,37,35,4,3,76,71
50,45,9,South Carolina,Bamberg County,7,0,15156,7301,7855,2804,2776,4358,4942,25,33,35,34,4,3,75,67
50,45,9,South Carolina,Bamberg County,8,0,14689,7052,7637,2709,2703,4199,4792,25,32,40,37,6,3,73,70
50,45,9,South Carolina,Bamberg County,9,0,14484,6938,7546,2685,2720,4101,4686,27,32,43,35,6,3,76,70
50,45,9,South Carolina,Bamberg County,10,0,14397,6878,7519,2648,2712,4078,4657,28,31,42,34,7,5,75,80
50,45,9,South Carolina,Bamberg County,11,0,14275,6866,7409,2662,2684,4043,4580,30,31,42,33,6,5,83,76
50,45,11,South Carolina,Barnwell County,1,0,22621,10809,11812,5867,6165,4672,5390,44,46,64,63,4,1,158,147
50,45,11,South Carolina,Barnwell County,4,0,22455,10720,11735,5824,6114,4606,5357,54,53,66,61,4,1,166,149
50,45,11,South Carolina,Barnwell County,5,0,22354,10629,11725,5786,6090,4552,5364,55,54,70,64,4,1,162,152
50,45,11,South Carolina,Barnwell County,6,0,22209,10539,11670,5721,6010,4502,5386,62,57,76,69,4,1,174,147
50,45,11,South Carolina,Barnwell County,7,0,22026,10478,11548,5640,5951,4507,5294,63,58,81,83,4,1,183,161
50,45,11,South Carolina,Barnwell County,8,0,21782,10407,11375,5629,5869,4456,5202,64,60,69,84,4,1,185,159
50,45,11,South Carolina,Barnwell County,9,0,21611,10337,11274,5589,5801,4430,5162,69,62,70,99,4,1,175,149
50,45,11,South Carolina,Barnwell County,10,0,21356,10210,11146,5560,5745,4337,5078,70,60,75,111,3,1,165,151
50,45,11,South Carolina,Barnwell County,11,0,21112,10069,11043,5445,5690,4309,5026,73,62,77,117,4,1,161,147
50,45,13,South Carolina,Beaufort County,1,0,162233,80089,82144,62403,62287,15000,16942,378,330,880,1140,94,106,1334,1339
50,45,13,South Carolina,Beaufort County,4,0,164029,80561,83468,62756,63378,15053,17145,384,340,880,1127,103,102,1385,1376
50,45,13,South Carolina,Beaufort County,5,0,167409,82596,84813,64359,64623,15341,17061,404,354,939,1194,104,108,1449,1473
50,45,13,South Carolina,Beaufort County,6,0,170968,84196,86772,65541,66159,15627,17389,407,354,1003,1247,115,103,1503,1520
50,45,13,South Carolina,Beaufort County,7,0,175042,86237,88805,67288,67795,15817,17579,404,362,1046,1315,114,122,1568,1632
50,45,13,South Carolina,Beaufort County,8,0,179825,88703,91122,69282,69738,16152,17883,403,365,1074,1344,119,134,1673,1658
50,45,13,South Carolina,Beaufort County,9,0,183217,90252,92965,70636,71338,16244,18027,423,383,1127,1366,119,135,1703,1716
50,45,13,South Carolina,Beaufort County,10,0,186492,91668,94824,71958,72981,16278,18159,411,395,1152,1413,126,140,1743,1736
50,45,13,South Carolina,Beaufort County,11,0,188715,92476,96239,72759,74256,16213,18166,424,377,1175,1445,126,135,1779,1860
