SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,46,3,South Dakota,Aurora County,1,0,2710,1381,1329,1330,1296,8,3,23,17,12,6,0,0,8,7
50,46,3,South Dakota,Aurora County,4,0,2716,1377,1339,1318,1301,10,4,26,19,13,6,0,0,10,9
50,46,3,South Dakota,Aurora County,5,0,2761,1425,1336,1357,1297,13,5,27,20,14,7,0,0,14,7
50,46,3,South Dakota,Aurora County,6,0,2715,1395,1320,1329,1272,12,5,29,28,11,5,0,0,14,10
50,46,3,South Dakota,Aurora County,7,0,2743,1415,1328,1349,1277,12,7,29,29,12,5,0,0,13,10
50,46,3,South Dakota,Aurora County,8,0,2740,1419,1321,1350,1269,10,8,32,27,12,6,0,0,15,11
50,46,3,South Dakota,Aurora County,9,0,2752,1430,1322,1349,1260,12,10,34,32,14,7,0,0,21,13
50,46,3,South Dakota,Aurora County,10,0,2757,1455,1302,1366,1238,12,9,38,36,13,7,0,0,26,12
50,46,3,South Dakota,Aurora County,11,0,2801,1490,1311,1391,1242,11,10,39,37,13,7,0,0,36,15
50,46,5,South Dakota,Beadle County,1,0,17398,8755,8643,8062,8041,116,71,107,98,356,281,10,12,104,140
50,46,5,South Dakota,Beadle County,4,0,17704,8960,8744,8102,8030,120,72,111,103,502,387,10,14,115,138
50,46,5,South Dakota,Beadle County,5,0,17992,9115,8877,8115,8047,143,82,108,106,615,478,11,14,123,150
50,46,5,South Dakota,Beadle County,6,0,18202,9234,8968,8122,8005,145,90,113,101,702,584,10,15,142,173
50,46,5,South Dakota,Beadle County,7,0,18057,9104,8953,8021,7942,136,94,114,110,672,599,9,17,152,191
50,46,5,South Dakota,Beadle County,8,0,18120,9155,8965,7981,7842,142,108,130,128,743,671,11,22,148,194
50,46,5,South Dakota,Beadle County,9,0,18210,9187,9023,7890,7768,145,98,140,134,843,798,14,30,155,195
50,46,5,South Dakota,Beadle County,10,0,18602,9461,9141,8021,7690,142,88,135,129,981,992,19,37,163,205
50,46,5,South Dakota,Beadle County,11,0,18883,9619,9264,8061,7671,167,95,142,142,1044,1105,29,50,176,201
50,46,7,South Dakota,Bennett County,1,0,3431,1684,1747,602,558,2,2,1024,1088,3,10,2,1,51,88
50,46,7,South Dakota,Bennett County,4,0,3449,1696,1753,607,562,3,3,1027,1084,2,11,2,1,55,92
50,46,7,South Dakota,Bennett County,5,0,3449,1670,1779,586,566,2,4,1019,1102,4,13,2,0,57,94
50,46,7,South Dakota,Bennett County,6,0,3461,1680,1781,597,563,5,7,1010,1101,5,13,1,0,62,97
50,46,7,South Dakota,Bennett County,7,0,3435,1628,1807,592,574,8,7,958,1115,2,11,1,0,67,100
50,46,7,South Dakota,Bennett County,8,0,3401,1626,1775,589,556,11,7,947,1111,2,13,1,0,76,88
50,46,7,South Dakota,Bennett County,9,0,3439,1672,1767,602,566,11,7,981,1087,3,14,1,0,74,93
50,46,7,South Dakota,Bennett County,10,0,3441,1677,1764,604,584,11,8,980,1073,3,12,1,0,78,87
50,46,7,South Dakota,Bennett County,11,0,3468,1695,1773,593,576,9,9,1001,1076,2,13,1,1,89,98
50,46,9,South Dakota,Bon Homme County,1,0,7070,4129,2941,3529,2865,63,6,471,36,7,4,0,0,59,30
50,46,9,South Dakota,Bon Homme County,4,0,7011,4081,2930,3481,2839,64,9,465,41,9,8,0,0,62,33
50,46,9,South Dakota,Bon Homme County,5,0,7026,4064,2962,3448,2859,69,15,473,44,10,7,0,0,64,37
50,46,9,South Dakota,Bon Homme County,6,0,6984,4079,2905,3455,2805,68,10,483,48,7,7,0,0,66,35
50,46,9,South Dakota,Bon Homme County,7,0,6982,4082,2900,3468,2795,69,15,479,51,6,5,0,0,60,34
50,46,9,South Dakota,Bon Homme County,8,0,6947,4077,2870,3449,2763,74,14,487,53,6,6,0,1,61,33
50,46,9,South Dakota,Bon Homme County,9,0,6950,4098,2852,3462,2738,73,14,492,61,6,6,0,1,65,32
50,46,9,South Dakota,Bon Homme County,10,0,6984,4142,2842,3493,2722,74,11,499,71,5,6,0,1,71,31
50,46,9,South Dakota,Bon Homme County,11,0,6980,4131,2849,3467,2700,77,18,512,84,5,13,0,3,70,31
50,46,11,South Dakota,Brookings County,1,0,31965,16382,15583,15388,14693,179,98,140,154,477,399,4,6,194,233
50,46,11,South Dakota,Brookings County,4,0,32133,16497,15636,15398,14733,198,98,168,182,510,392,16,6,207,225
50,46,11,South Dakota,Brookings County,5,0,32764,16853,15911,15662,14963,232,122,185,204,551,405,19,6,204,211
