SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,47,1,Tennessee,Anderson County,1,0,75129,36308,38821,33711,36050,1405,1476,140,124,377,436,12,11,663,724
50,47,1,Tennessee,Anderson County,4,0,75170,36360,38810,33635,35926,1470,1515,144,146,426,477,11,13,674,733
50,47,1,Tennessee,Anderson County,5,0,75191,36412,38779,33671,35858,1491,1527,153,130,418,500,12,14,667,750
50,47,1,Tennessee,Anderson County,6,0,75268,36483,38785,33673,35806,1488,1516,156,150,464,534,14,13,688,766
50,47,1,Tennessee,Anderson County,7,0,75139,36473,38666,33612,35681,1485,1500,168,153,483,556,14,13,711,763
50,47,1,Tennessee,Anderson County,8,0,75485,36693,38792,33717,35723,1503,1507,166,146,537,584,23,21,747,811
50,47,1,Tennessee,Anderson County,9,0,75583,36773,38810,33768,35682,1507,1534,157,148,539,597,24,21,778,828
50,47,1,Tennessee,Anderson County,10,0,76187,37086,39101,33993,35877,1539,1564,170,162,561,632,24,18,799,848
50,47,1,Tennessee,Anderson County,11,0,76482,37216,39266,34067,36051,1534,1542,182,165,563,618,29,22,841,868
50,47,3,Tennessee,Bedford County,1,0,45058,22357,22701,19732,20109,1891,1844,167,141,191,220,42,31,334,356
50,47,3,Tennessee,Bedford County,4,0,45240,22368,22872,19726,20216,1811,1822,208,189,222,238,39,31,362,376
50,47,3,Tennessee,Bedford County,5,0,45271,22395,22876,19714,20230,1792,1799,225,208,238,238,38,30,388,371
50,47,3,Tennessee,Bedford County,6,0,45613,22482,23131,19711,20407,1824,1810,257,219,247,248,39,31,404,416
50,47,3,Tennessee,Bedford County,7,0,46288,22774,23514,19919,20727,1872,1853,272,226,244,247,37,31,430,430
50,47,3,Tennessee,Bedford County,8,0,46922,23051,23871,20076,21010,1956,1913,274,234,234,240,43,33,468,441
50,47,3,Tennessee,Bedford County,9,0,47402,23262,24140,20201,21213,1978,1943,283,234,253,239,45,32,502,479
50,47,3,Tennessee,Bedford County,10,0,48138,23649,24489,20517,21497,2009,1966,288,249,273,245,49,34,513,498
50,47,3,Tennessee,Bedford County,11,0,49038,24090,24948,20871,21803,2055,2060,301,258,264,258,50,37,549,532
50,47,5,Tennessee,Benton County,1,0,16489,8073,8416,7763,8069,157,173,38,35,24,42,0,0,91,97
50,47,5,Tennessee,Benton County,4,0,16488,8104,8384,7768,8009,162,193,42,33,31,48,2,1,99,100
50,47,5,Tennessee,Benton County,5,0,16414,8053,8361,7672,7957,192,212,46,37,33,52,2,1,108,102
50,47,5,Tennessee,Benton County,6,0,16360,8046,8314,7668,7912,190,201,44,39,30,47,2,2,112,113
50,47,5,Tennessee,Benton County,7,0,16173,7988,8185,7611,7773,178,196,49,48,33,53,2,1,115,114
50,47,5,Tennessee,Benton County,8,0,16184,7949,8235,7581,7811,179,204,48,40,29,55,2,2,110,123
50,47,5,Tennessee,Benton County,9,0,16058,7877,8181,7490,7755,189,198,45,40,33,57,2,2,118,129
50,47,5,Tennessee,Benton County,10,0,15959,7816,8143,7431,7721,184,191,45,43,36,57,0,2,120,129
50,47,5,Tennessee,Benton County,11,0,16184,7926,8258,7508,7823,207,196,46,46,39,55,1,2,125,136
50,47,7,Tennessee,Bledsoe County,1,0,12876,6964,5912,6427,5752,431,43,30,27,8,10,2,1,66,79
50,47,7,Tennessee,Bledsoe County,4,0,12909,6966,5943,6409,5769,443,54,31,26,11,10,2,1,70,83
50,47,7,Tennessee,Bledsoe County,5,0,12853,6942,5911,6377,5736,450,58,37,30,10,10,2,1,66,76
50,47,7,Tennessee,Bledsoe County,6,0,13848,7947,5901,7058,5725,762,60,35,29,12,12,2,1,78,74
50,47,7,Tennessee,Bledsoe County,7,0,14419,8535,5884,7420,5717,970,48,38,30,17,15,2,1,88,73
50,47,7,Tennessee,Bledsoe County,8,0,14489,8521,5968,7417,5782,950,51,42,32,19,20,2,1,91,82
50,47,7,Tennessee,Bledsoe County,9,0,14615,8524,6091,7424,5899,937,48,44,32,21,21,2,1,96,90
50,47,7,Tennessee,Bledsoe County,10,0,14730,8672,6058,7523,5860,986,48,43,40,18,17,3,2,99,91
50,47,7,Tennessee,Bledsoe County,11,0,14755,8697,6058,7523,5847,1000,53,45,42,22,18,3,2,104,96
50,47,9,Tennessee,Blount County,1,0,123010,59559,63451,56235,60136,1777,1711,267,218,377,536,19,24,884,826
50,47,9,Tennessee,Blount County,4,0,123659,59865,63794,56475,60391,1797,1747,268,225,420,554,20,25,885,852
50,47,9,Tennessee,Blount County,5,0,123905,60067,63838,56602,60386,1817,1725,279,240,425,583,23,27,921,877
50,47,9,Tennessee,Blount County,6,0,124865,60544,64321,57009,60745,1851,1757,294,255,429,601,23,33,938,930
50,47,9,Tennessee,Blount County,7,0,125839,61080,64759,57479,61093,1870,1814,282,241,447,627,26,32,976,952
50,47,9,Tennessee,Blount County,8,0,126869,61577,65292,57862,61484,1939,1864,285,252,448,669,24,32,1019,991
50,47,9,Tennessee,Blount County,9,0,128259,62222,66037,58374,62166,1992,1859,284,261,477,688,30,36,1065,1027
50,47,9,Tennessee,Blount County,10,0,129900,62982,66918,59048,62908,2035,1919,281,261,490,709,36,41,1092,1080
50,47,9,Tennessee,Blount County,11,0,131349,63707,67642,59691,63543,2057,1942,286,267,502,728,44,54,1127,1108
50,47,11,Tennessee,Bradley County,1,0,98963,48176,50787,44473,47105,2198,2166,313,241,425,477,34,33,733,765
50,47,11,Tennessee,Bradley County,4,0,99851,48607,51244,44849,47453,2216,2235,315,237,443,518,42,36,742,765
50,47,11,Tennessee,Bradley County,5,0,101072,49251,51821,45333,47904,2304,2261,305,257,465,558,45,37,799,804
50,47,11,Tennessee,Bradley County,6,0,101786,49522,52264,45490,48177,2367,2349,326,276,469,581,52,38,818,843
50,47,11,Tennessee,Bradley County,7,0,102795,50023,52772,45834,48574,2481,2377,330,273,474,608,54,41,850,899
50,47,11,Tennessee,Bradley County,8,0,103714,50459,53255,46105,48887,2559,2470,331,285,506,636,60,49,898,928
50,47,11,Tennessee,Bradley County,9,0,104233,50697,53536,46213,49090,2606,2510,337,275,514,647,61,47,966,967
50,47,11,Tennessee,Bradley County,10,0,105317,51219,54098,46556,49368,2726,2656,347,299,525,685,68,51,997,1039
50,47,11,Tennessee,Bradley County,11,0,106727,51892,54835,47017,49983,2822,2736,371,295,541,688,75,60,1066,1073
50,47,13,Tennessee,Campbell County,1,0,40716,19861,20855,19476,20471,73,56,62,48,49,59,10,11,191,210
50,47,13,Tennessee,Campbell County,4,0,40567,19748,20819,19348,20409,76,63,66,47,56,66,10,14,192,220
50,47,13,Tennessee,Campbell County,5,0,40478,19693,20785,19287,20365,76,69,61,44,62,68,10,14,197,225
50,47,13,Tennessee,Campbell County,6,0,40217,19592,20625,19149,20188,90,76,66,51,66,67,14,16,207,227
50,47,13,Tennessee,Campbell County,7,0,39891,19507,20384,19073,19945,84,70,66,51,71,66,16,19,197,233
50,47,13,Tennessee,Campbell County,8,0,39683,19374,20309,18933,19854,89,74,62,59,73,69,14,17,203,236
50,47,13,Tennessee,Campbell County,9,0,39652,19434,20218,18968,19761,98,76,65,63,70,69,16,17,217,232
