SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,48,1,Texas,Anderson County,1,0,58458,35521,22937,25452,18774,9172,3451,219,141,245,171,38,33,395,367
50,48,1,Texas,Anderson County,4,0,58394,35585,22809,25406,18656,9229,3421,222,138,255,177,36,34,437,383
50,48,1,Texas,Anderson County,5,0,58065,35325,22740,25170,18630,9173,3363,226,131,273,190,38,34,445,392
50,48,1,Texas,Anderson County,6,0,57977,35319,22658,25168,18536,9119,3359,231,148,275,184,40,33,486,398
50,48,1,Texas,Anderson County,7,0,57849,35356,22493,25119,18389,9234,3349,220,157,274,167,39,33,470,398
50,48,1,Texas,Anderson County,8,0,57646,35256,22390,25045,18298,9191,3337,224,151,276,165,39,35,481,404
50,48,1,Texas,Anderson County,9,0,57550,35001,22549,24892,18399,9025,3340,238,143,299,208,41,36,506,423
50,48,1,Texas,Anderson County,10,0,58212,35623,22589,25199,18360,9285,3409,249,145,319,206,45,36,526,433
50,48,1,Texas,Anderson County,11,0,58057,35546,22511,25099,18312,9271,3356,249,156,324,216,52,40,551,431
50,48,3,Texas,Andrews County,1,0,14786,7368,7418,7028,7079,122,120,96,89,47,53,1,0,74,77
50,48,3,Texas,Andrews County,4,0,15388,7694,7694,7308,7314,131,127,108,110,62,56,1,0,84,87
50,48,3,Texas,Andrews County,5,0,16113,8144,7969,7684,7549,170,152,118,113,68,58,1,0,103,97
50,48,3,Texas,Andrews County,6,0,16788,8542,8246,8064,7815,172,146,121,114,67,61,3,1,115,109
50,48,3,Texas,Andrews County,7,0,17445,8940,8505,8426,8027,181,161,144,127,64,61,3,1,122,128
50,48,3,Texas,Andrews County,8,0,18083,9303,8780,8777,8303,178,159,146,124,62,57,3,1,137,136
50,48,3,Texas,Andrews County,9,0,17805,9107,8698,8577,8238,176,149,150,119,60,56,3,1,141,135
50,48,3,Texas,Andrews County,10,0,17631,8974,8657,8440,8182,186,158,136,118,67,61,3,1,142,137
50,48,3,Texas,Andrews County,11,0,18128,9274,8854,8711,8370,195,148,144,132,71,69,3,1,150,134
50,48,5,Texas,Angelina County,1,0,86771,42515,44256,35006,35929,6346,7060,322,300,396,472,17,9,428,486
50,48,5,Texas,Angelina County,4,0,87295,42812,44483,35152,36090,6420,7063,325,307,403,480,17,11,495,532
50,48,5,Texas,Angelina County,5,0,87520,42792,44728,35188,36273,6346,7109,335,314,409,481,20,13,494,538
50,48,5,Texas,Angelina County,6,0,87333,42755,44578,35036,36101,6425,7124,330,313,432,490,22,13,510,537
50,48,5,Texas,Angelina County,7,0,87599,42788,44811,34949,36262,6491,7145,346,315,466,507,27,16,509,566
50,48,5,Texas,Angelina County,8,0,87874,42923,44951,35064,36357,6434,7148,340,322,518,537,26,19,541,568
50,48,5,Texas,Angelina County,9,0,87759,42904,44855,35085,36309,6427,7113,333,322,511,509,28,23,520,579
50,48,5,Texas,Angelina County,10,0,87711,42780,44931,34949,36329,6387,7135,328,321,529,516,33,24,554,606
50,48,5,Texas,Angelina County,11,0,87092,42488,44604,34698,36041,6385,7107,332,329,461,477,33,28,579,622
50,48,7,Texas,Aransas County,1,0,23158,11485,11673,10776,10986,184,143,98,127,235,242,12,8,180,167
50,48,7,Texas,Aransas County,4,0,23214,11517,11697,10759,10978,196,156,113,132,241,251,14,9,194,171
50,48,7,Texas,Aransas County,5,0,23457,11648,11809,10860,11067,214,164,121,140,234,261,12,8,207,169
50,48,7,Texas,Aransas County,6,0,23890,11873,12017,11046,11257,213,166,128,146,241,254,13,8,232,186
50,48,7,Texas,Aransas County,7,0,24570,12225,12345,11329,11536,253,189,135,150,240,255,12,8,256,207
50,48,7,Texas,Aransas County,8,0,24815,12376,12439,11460,11644,263,190,144,151,232,243,12,8,265,203
50,48,7,Texas,Aransas County,9,0,25191,12488,12703,11585,11893,271,201,150,156,233,238,12,8,237,207
50,48,7,Texas,Aransas County,10,0,25447,12591,12856,11672,12025,260,195,156,154,235,253,13,8,255,221
50,48,7,Texas,Aransas County,11,0,23792,11751,12041,10876,11282,244,162,151,143,230,245,12,10,238,199
50,48,9,Texas,Archer County,1,0,9054,4563,4491,4436,4364,30,23,38,41,8,10,2,1,49,52
50,48,9,Texas,Archer County,4,0,8834,4451,4383,4309,4233,37,29,41,49,9,14,2,1,53,57
50,48,9,Texas,Archer County,5,0,8809,4416,4393,4259,4233,44,29,47,52,5,15,2,1,59,63
50,48,9,Texas,Archer County,6,0,8795,4417,4378,4235,4222,52,31,53,47,9,16,2,1,66,61
50,48,9,Texas,Archer County,7,0,8837,4426,4411,4239,4242,50,35,54,50,9,18,4,2,70,64
50,48,9,Texas,Archer County,8,0,8758,4376,4382,4176,4206,54,38,55,54,12,19,4,2,75,63
50,48,9,Texas,Archer County,9,0,8780,4358,4422,4157,4247,50,39,60,55,15,20,2,1,74,60
50,48,9,Texas,Archer County,10,0,8786,4359,4427,4162,4230,51,41,60,62,17,26,2,1,67,67
50,48,9,Texas,Archer County,11,0,8786,4326,4460,4118,4252,55,47,63,67,20,26,2,1,68,67
50,48,11,Texas,Armstrong County,1,0,1901,928,973,909,946,6,5,7,11,0,0,0,0,6,11
50,48,11,Texas,Armstrong County,4,0,1936,949,987,926,958,9,6,8,11,0,0,0,0,6,12
50,48,11,Texas,Armstrong County,5,0,1953,955,998,931,962,10,6,7,14,1,0,0,0,6,16
50,48,11,Texas,Armstrong County,6,0,1939,957,982,923,943,15,7,12,16,0,0,0,0,7,16
50,48,11,Texas,Armstrong County,7,0,1913,936,977,905,936,15,9,8,16,1,1,0,0,7,15
50,48,11,Texas,Armstrong County,8,0,1901,928,973,899,931,13,8,8,19,1,1,0,0,7,14
50,48,11,Texas,Armstrong County,9,0,1843,908,935,878,897,14,8,8,19,1,1,0,0,7,10
50,48,11,Texas,Armstrong County,10,0,1881,914,967,885,929,14,7,8,20,1,1,0,0,6,10
50,48,11,Texas,Armstrong County,11,0,1892,918,974,888,935,14,7,8,20,2,2,0,0,6,10
50,48,13,Texas,Atascosa County,1,0,44911,22130,22781,21338,22002,221,200,221,209,106,126,20,25,224,219
50,48,13,Texas,Atascosa County,4,0,45489,22542,22947,21687,22125,238,222,243,229,114,117,22,28,238,226
50,48,13,Texas,Atascosa County,5,0,46430,22987,23443,22075,22583,266,221,250,248,124,126,23,25,249,240
50,48,13,Texas,Atascosa County,6,0,47012,23308,23704,22375,22795,266,231,278,265,129,127,21,26,239,260
50,48,13,Texas,Atascosa County,7,0,47708,23686,24022,22693,23061,288,247,291,265,133,139,21,28,260,282
50,48,13,Texas,Atascosa County,8,0,48349,24072,24277,23035,23291,297,257,316,284,150,144,23,31,251,270
50,48,13,Texas,Atascosa County,9,0,48703,24218,24485,23187,23458,303,272,304,282,150,156,25,33,249,284
50,48,13,Texas,Atascosa County,10,0,49069,24447,24622,23369,23578,319,257,313,284,153,158,22,37,271,308
50,48,13,Texas,Atascosa County,11,0,50310,25084,25226,23935,24132,356,280,350,311,152,161,24,40,267,302
50,48,15,Texas,Austin County,1,0,28417,14073,14344,12374,12578,1359,1412,111,105,58,76,2,1,169,172
50,48,15,Texas,Austin County,4,0,28599,14178,14421,12480,12657,1350,1401,105,107,61,77,2,1,180,178
50,48,15,Texas,Austin County,5,0,28561,14102,14459,12428,12693,1311,1388,114,112,63,80,2,2,184,184
50,48,15,Texas,Austin County,6,0,28684,14174,14510,12472,12741,1334,1396,114,114,76,80,2,1,176,178
50,48,15,Texas,Austin County,7,0,28972,14371,14601,12621,12796,1354,1410,115,115,80,88,4,2,197,190
50,48,15,Texas,Austin County,8,0,29473,14614,14859,12850,13017,1367,1425,120,126,88,94,6,4,183,193
50,48,15,Texas,Austin County,9,0,29636,14651,14985,12884,13118,1343,1434,124,119,102,105,6,4,192,205
50,48,15,Texas,Austin County,10,0,29757,14755,15002,12929,13108,1359,1470,127,111,107,109,7,5,226,199
50,48,15,Texas,Austin County,11,0,29989,14954,15035,13109,13138,1344,1447,128,111,109,122,7,6,257,211
50,48,17,Texas,Bailey County,1,0,7165,3621,3544,3419,3374,62,39,96,83,18,15,2,8,24,25
50,48,17,Texas,Bailey County,4,0,7175,3659,3516,3457,3347,64,40,91,79,21,16,2,8,24,26
50,48,17,Texas,Bailey County,5,0,7141,3649,3492,3436,3314,66,39,97,84,23,17,2,8,25,30
50,48,17,Texas,Bailey County,6,0,7128,3617,3511,3402,3309,67,40,97,99,24,21,2,8,25,34
50,48,17,Texas,Bailey County,7,0,6970,3533,3437,3303,3221,73,46,100,101,25,24,4,8,28,37
