SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,50,1,Vermont,Addison County,1,0,36821,18364,18457,17617,17669,179,118,49,43,242,296,2,4,275,327
50,50,1,Vermont,Addison County,4,0,36967,18441,18526,17631,17671,202,136,49,42,263,333,2,3,294,341
50,50,1,Vermont,Addison County,5,0,36901,18435,18466,17599,17614,214,138,54,43,268,328,3,3,297,340
50,50,1,Vermont,Addison County,6,0,36936,18496,18440,17644,17561,218,148,56,42,269,326,2,3,307,360
50,50,1,Vermont,Addison County,7,0,36933,18525,18408,17644,17518,233,153,48,41,273,319,2,4,325,373
50,50,1,Vermont,Addison County,8,0,36926,18497,18429,17576,17494,249,170,49,43,288,338,2,4,333,380
50,50,1,Vermont,Addison County,9,0,36925,18462,18463,17492,17499,258,176,48,40,308,355,3,5,353,388
50,50,1,Vermont,Addison County,10,0,36940,18445,18495,17478,17508,268,186,50,42,315,365,2,6,332,388
50,50,1,Vermont,Addison County,11,0,36973,18469,18504,17435,17464,298,205,55,47,328,393,6,10,347,385
50,50,3,Vermont,Bennington County,1,0,37125,17954,19171,17372,18611,173,136,67,40,122,153,9,7,211,224
50,50,3,Vermont,Bennington County,4,0,36814,17865,18949,17273,18362,174,141,67,41,128,161,9,6,214,238
50,50,3,Vermont,Bennington County,5,0,36614,17773,18841,17170,18243,181,143,64,37,125,169,9,6,224,243
50,50,3,Vermont,Bennington County,6,0,36543,17723,18820,17094,18209,202,155,66,38,123,161,9,6,229,251
50,50,3,Vermont,Bennington County,7,0,36173,17597,18576,16951,17960,203,154,65,36,137,161,13,7,228,258
50,50,3,Vermont,Bennington County,8,0,36161,17577,18584,16880,17912,226,163,63,42,162,188,11,7,235,272
50,50,3,Vermont,Bennington County,9,0,35921,17456,18465,16707,17757,249,175,68,43,178,199,12,8,242,283
50,50,3,Vermont,Bennington County,10,0,35713,17400,18313,16602,17568,253,182,74,40,203,218,14,6,254,299
50,50,3,Vermont,Bennington County,11,0,35631,17363,18268,16549,17482,265,184,73,44,207,236,11,6,258,316
50,50,5,Vermont,Caledonia County,1,0,31227,15509,15718,14999,15227,115,64,76,69,115,136,0,1,204,221
50,50,5,Vermont,Caledonia County,4,0,31102,15464,15638,14935,15132,129,72,78,70,124,139,0,1,198,224
50,50,5,Vermont,Caledonia County,5,0,31019,15445,15574,14906,15070,134,70,76,70,122,143,2,1,205,220
50,50,5,Vermont,Caledonia County,6,0,31039,15506,15533,14960,15026,145,79,77,62,124,137,1,2,199,227
50,50,5,Vermont,Caledonia County,7,0,30868,15392,15476,14816,14946,146,79,89,69,121,143,1,2,219,237
50,50,5,Vermont,Caledonia County,8,0,30643,15332,15311,14739,14784,157,88,84,69,125,145,1,2,226,223
50,50,5,Vermont,Caledonia County,9,0,30156,15071,15085,14485,14569,148,82,84,68,126,146,1,2,227,218
50,50,5,Vermont,Caledonia County,10,0,30154,15089,15065,14473,14520,159,94,85,68,138,153,1,3,233,227
50,50,5,Vermont,Caledonia County,11,0,30302,15166,15136,14532,14586,170,102,79,72,140,154,2,3,243,219
50,50,7,Vermont,Chittenden County,1,0,156545,76309,80236,70858,74559,1791,1592,218,215,2017,2448,29,26,1396,1396
50,50,7,Vermont,Chittenden County,4,0,158023,77242,80781,71375,74714,1897,1649,206,223,2246,2703,28,22,1490,1470
50,50,7,Vermont,Chittenden County,5,0,158677,77637,81040,71575,74790,1955,1661,195,226,2355,2807,29,23,1528,1533
50,50,7,Vermont,Chittenden County,6,0,159444,78076,81368,71810,74846,2002,1711,202,207,2463,2970,28,26,1571,1608
50,50,7,Vermont,Chittenden County,7,0,159961,78294,81667,71838,74986,2029,1722,195,199,2571,3080,27,28,1634,1652
50,50,7,Vermont,Chittenden County,8,0,161294,79089,82205,72046,74955,2139,1833,205,202,2981,3479,30,30,1688,1706
50,50,7,Vermont,Chittenden County,9,0,161542,79294,82248,71953,74783,2169,1876,208,196,3167,3618,38,30,1759,1745
50,50,7,Vermont,Chittenden County,10,0,162891,79922,82969,72149,75155,2238,1901,210,203,3452,3892,40,28,1833,1790
50,50,7,Vermont,Chittenden County,11,0,164572,80692,83880,72594,75700,2311,1932,211,205,3649,4138,38,27,1889,1878
50,50,9,Vermont,Essex County,1,0,6306,3188,3118,3118,3032,11,7,21,16,4,18,0,0,34,45
50,50,9,Vermont,Essex County,4,0,6323,3203,3120,3128,3020,13,10,21,18,3,19,0,0,38,53
50,50,9,Vermont,Essex County,5,0,6223,3149,3074,3069,2977,19,11,18,16,4,19,0,0,39,51
50,50,9,Vermont,Essex County,6,0,6193,3151,3042,3075,2944,16,10,17,20,6,20,0,0,37,48
50,50,9,Vermont,Essex County,7,0,6154,3122,3032,3042,2930,23,13,16,18,6,22,0,0,35,49
50,50,9,Vermont,Essex County,8,0,6196,3132,3064,3053,2951,23,13,16,18,3,29,0,0,37,53
50,50,9,Vermont,Essex County,9,0,6227,3150,3077,3060,2942,26,17,16,20,7,34,0,0,41,64
50,50,9,Vermont,Essex County,10,0,6213,3128,3085,3041,2951,25,13,16,19,5,39,0,0,41,63
50,50,9,Vermont,Essex County,11,0,6250,3131,3119,3041,2980,25,13,16,20,5,43,0,0,44,63
50,50,11,Vermont,Franklin County,1,0,47746,23688,24058,22691,23103,137,89,256,251,107,127,7,7,490,481
50,50,11,Vermont,Franklin County,4,0,48214,23913,24301,22861,23298,163,115,251,252,110,138,9,7,519,491
50,50,11,Vermont,Franklin County,5,0,48307,23924,24383,22885,23353,149,116,247,251,119,153,9,7,515,503
50,50,11,Vermont,Franklin County,6,0,48394,23961,24433,22894,23391,156,124,240,248,141,147,6,6,524,517
50,50,11,Vermont,Franklin County,7,0,48749,24160,24589,23023,23507,180,153,248,247,156,152,7,7,546,523
50,50,11,Vermont,Franklin County,8,0,48973,24307,24666,23122,23570,187,156,249,245,180,175,8,6,561,514
50,50,11,Vermont,Franklin County,9,0,48976,24345,24631,23147,23499,173,147,255,244,187,193,8,8,575,540
50,50,11,Vermont,Franklin County,10,0,49007,24374,24633,23165,23456,188,155,245,246,215,230,7,7,554,539
50,50,11,Vermont,Franklin County,11,0,49421,24611,24810,23342,23593,207,163,241,246,239,243,9,7,573,558
50,50,13,Vermont,Grand Isle County,1,0,6970,3478,3492,3328,3335,16,11,35,35,7,14,1,3,91,94
50,50,13,Vermont,Grand Isle County,4,0,6973,3492,3481,3337,3320,17,11,38,33,8,16,1,3,91,98
50,50,13,Vermont,Grand Isle County,5,0,6971,3500,3471,3338,3310,19,14,38,32,8,16,1,3,96,96
50,50,13,Vermont,Grand Isle County,6,0,6988,3502,3486,3336,3315,15,19,42,37,7,16,1,3,101,96
50,50,13,Vermont,Grand Isle County,7,0,6967,3505,3462,3327,3287,22,21,48,36,8,17,1,3,99,98
50,50,13,Vermont,Grand Isle County,8,0,6870,3439,3431,3256,3251,24,22,54,34,8,19,1,3,96,102
50,50,13,Vermont,Grand Isle County,9,0,6917,3480,3437,3298,3258,28,22,50,36,8,19,1,3,95,99
50,50,13,Vermont,Grand Isle County,10,0,6983,3512,3471,3321,3289,24,23,56,37,10,20,2,4,99,98
50,50,13,Vermont,Grand Isle County,11,0,7090,3578,3512,3363,3311,31,27,62,46,14,25,5,5,103,98
50,50,15,Vermont,Lamoille County,1,0,24475,12244,12231,11880,11874,92,58,56,43,60,71,2,3,154,182
50,50,15,Vermont,Lamoille County,4,0,24706,12333,12373,11939,11990,108,61,59,45,69,75,2,3,156,199
50,50,15,Vermont,Lamoille County,5,0,24945,12446,12499,12007,12082,118,65,63,45,73,81,4,3,181,223
50,50,15,Vermont,Lamoille County,6,0,25112,12544,12568,12101,12119,114,68,57,53,71,87,2,3,199,238
50,50,15,Vermont,Lamoille County,7,0,25130,12569,12561,12126,12111,116,74,52,46,74,83,3,3,198,244
50,50,15,Vermont,Lamoille County,8,0,25238,12623,12615,12180,12163,117,79,52,45,74,81,4,5,196,242
50,50,15,Vermont,Lamoille County,9,0,25325,12670,12655,12192,12176,133,85,63,49,87,89,3,5,192,251
50,50,15,Vermont,Lamoille County,10,0,25345,12680,12665,12179,12162,150,94,57,50,84,91,6,6,204,262
50,50,15,Vermont,Lamoille County,11,0,25300,12657,12643,12137,12152,166,104,54,47,80,92,6,6,214,242
50,50,17,Vermont,Orange County,1,0,28936,14421,14515,14066,14105,58,53,37,49,55,85,3,2,202,221
50,50,17,Vermont,Orange County,4,0,29018,14499,14519,14111,14072,69,61,40,54,65,92,3,3,211,237
50,50,17,Vermont,Orange County,5,0,28917,14399,14518,14014,14056,74,70,38,58,62,94,4,3,207,237
50,50,17,Vermont,Orange County,6,0,28851,14394,14457,13996,13997,87,74,41,60,60,83,4,3,206,240
50,50,17,Vermont,Orange County,7,0,28878,14387,14491,13977,14033,84,79,45,61,60,81,6,3,215,234
50,50,17,Vermont,Orange County,8,0,28890,14398,14492,13975,14018,93,82,47,64,64,95,5,3,214,230
50,50,17,Vermont,Orange County,9,0,28921,14462,14459,14015,13992,102,87,52,63,68,88,6,3,219,226
50,50,17,Vermont,Orange County,10,0,28999,14541,14458,14088,13988,93,98,59,59,70,89,4,3,227,221
50,50,17,Vermont,Orange County,11,0,28999,14524,14475,14072,13989,94,111,53,59,71,89,4,3,230,224
50,50,19,Vermont,Orleans County,1,0,27231,13611,13620,13189,13220,101,67,65,61,34,62,3,6,219,204
50,50,19,Vermont,Orleans County,4,0,27191,13676,13515,13241,13101,112,69,70,59,36,71,2,7,215,208
50,50,19,Vermont,Orleans County,5,0,27161,13642,13519,13213,13101,112,70,64,59,35,67,2,7,216,215
50,50,19,Vermont,Orleans County,6,0,27134,13624,13510,13171,13084,124,82,69,63,36,63,3,6,221,212
50,50,19,Vermont,Orleans County,7,0,27021,13580,13441,13126,13006,117,72,73,68,42,65,2,6,220,224
50,50,19,Vermont,Orleans County,8,0,27030,13602,13428,13136,12979,116,74,78,70,39,64,2,7,231,234
50,50,19,Vermont,Orleans County,9,0,26762,13472,13290,12992,12843,125,77,76,67,43,62,4,6,232,235
50,50,19,Vermont,Orleans County,10,0,26834,13478,13356,12989,12882,127,84,76,73,44,72,4,5,238,240
