SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,53,1,Washington,Adams County,1,0,18728,9544,9184,8847,8524,122,85,369,377,86,103,5,2,115,93
50,53,1,Washington,Adams County,4,0,18879,9629,9250,8830,8505,134,90,434,422,94,113,5,2,132,118
50,53,1,Washington,Adams County,5,0,18952,9653,9299,8781,8480,138,100,480,466,106,130,6,3,142,120
50,53,1,Washington,Adams County,6,0,19115,9736,9379,8807,8483,161,116,490,496,109,147,10,3,159,134
50,53,1,Washington,Adams County,7,0,19200,9779,9421,8837,8490,176,124,498,507,104,151,12,6,152,143
50,53,1,Washington,Adams County,8,0,19244,9823,9421,8853,8474,177,127,515,512,108,155,10,6,160,147
50,53,1,Washington,Adams County,9,0,19378,9843,9535,8846,8566,196,136,536,538,106,146,12,7,147,142
50,53,1,Washington,Adams County,10,0,19681,9978,9703,8913,8671,217,160,573,578,108,150,15,8,152,136
50,53,1,Washington,Adams County,11,0,19759,10009,9750,8871,8692,229,172,610,584,114,146,16,8,169,148
50,53,3,Washington,Asotin County,1,0,21623,10453,11170,9969,10622,54,41,146,164,46,79,16,23,222,241
50,53,3,Washington,Asotin County,4,0,21969,10563,11406,10055,10813,56,47,153,182,54,100,18,23,227,241
50,53,3,Washington,Asotin County,5,0,21908,10590,11318,10064,10716,57,46,153,193,60,105,15,20,241,238
50,53,3,Washington,Asotin County,6,0,22128,10685,11443,10115,10788,66,48,174,211,60,118,15,20,255,258
50,53,3,Washington,Asotin County,7,0,22189,10727,11462,10163,10783,72,54,168,208,62,124,15,23,247,270
50,53,3,Washington,Asotin County,8,0,22106,10744,11362,10162,10696,67,55,162,194,69,125,18,23,266,269
50,53,3,Washington,Asotin County,9,0,22275,10824,11451,10205,10768,71,64,182,200,69,124,17,21,280,274
50,53,3,Washington,Asotin County,10,0,22507,10937,11570,10255,10829,85,75,205,211,81,126,21,25,290,304
50,53,3,Washington,Asotin County,11,0,22610,11023,11587,10268,10812,100,76,210,206,94,133,24,25,327,335
50,53,5,Washington,Benton County,1,0,175177,87486,87691,80445,80536,1378,1140,1040,959,2266,2654,166,154,2191,2248
50,53,5,Washington,Benton County,4,0,180429,90364,90065,82722,82481,1516,1188,1091,1010,2474,2837,179,160,2382,2389
50,53,5,Washington,Benton County,5,0,182391,91326,91065,83409,83212,1622,1241,1072,1043,2586,2918,182,162,2455,2489
50,53,5,Washington,Benton County,6,0,184355,92208,92147,84016,84041,1670,1332,1126,1081,2644,2972,197,183,2555,2538
50,53,5,Washington,Benton County,7,0,186542,93387,93155,84906,84732,1712,1391,1136,1103,2739,3086,209,185,2685,2658
50,53,5,Washington,Benton County,8,0,190316,95130,95186,86375,86327,1730,1509,1155,1140,2854,3211,206,209,2810,2790
50,53,5,Washington,Benton County,9,0,193652,96918,96734,87803,87536,1793,1561,1232,1185,2899,3301,222,216,2969,2935
50,53,5,Washington,Benton County,10,0,198453,99477,98976,89959,89372,1862,1627,1265,1214,2978,3387,251,232,3162,3144
50,53,5,Washington,Benton County,11,0,201877,101150,100727,91186,90675,1910,1718,1321,1279,3097,3494,269,249,3367,3312
50,53,7,Washington,Chelan County,1,0,72453,36130,36323,34265,34461,199,142,603,581,289,378,81,66,693,695
50,53,7,Washington,Chelan County,4,0,73221,36469,36752,34493,34729,242,213,636,607,304,409,92,66,702,728
