SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,55,1,Wisconsin,Adams County,1,0,20875,11221,9654,10299,9397,616,38,141,81,50,35,5,1,110,102
50,55,1,Wisconsin,Adams County,4,0,20771,11179,9592,10216,9305,644,43,143,88,54,39,5,1,117,116
50,55,1,Wisconsin,Adams County,5,0,20419,10980,9439,10070,9139,588,49,144,88,52,41,8,4,118,118
50,55,1,Wisconsin,Adams County,6,0,20412,10952,9460,10037,9149,593,53,148,93,50,42,8,2,116,121
50,55,1,Wisconsin,Adams County,7,0,20129,10812,9317,9903,9027,589,51,146,89,49,43,9,2,116,105
50,55,1,Wisconsin,Adams County,8,0,20025,10708,9317,9813,9012,567,55,138,96,54,45,7,2,129,107
50,55,1,Wisconsin,Adams County,9,0,19971,10703,9268,9826,8957,542,55,143,98,58,48,5,2,129,108
50,55,1,Wisconsin,Adams County,10,0,19891,10632,9259,9793,8941,526,60,125,100,56,49,6,2,126,107
50,55,1,Wisconsin,Adams County,11,0,20348,10925,9423,9999,9057,581,79,137,109,56,54,6,2,146,122
50,55,3,Wisconsin,Ashland County,1,0,16157,8082,8075,6894,6824,29,20,898,919,22,39,2,2,237,271
50,55,3,Wisconsin,Ashland County,4,0,16025,8004,8021,6820,6760,33,29,888,910,22,37,2,2,239,283
50,55,3,Wisconsin,Ashland County,5,0,15839,7925,7914,6728,6673,39,27,894,888,26,38,5,2,233,286
50,55,3,Wisconsin,Ashland County,6,0,15971,8003,7968,6799,6722,38,34,898,883,29,45,3,2,236,282
50,55,3,Wisconsin,Ashland County,7,0,15998,8045,7953,6794,6687,40,40,921,891,31,45,4,2,255,288
50,55,3,Wisconsin,Ashland County,8,0,15809,7963,7846,6709,6568,46,41,927,906,28,45,4,2,249,284
50,55,3,Wisconsin,Ashland County,9,0,15638,7864,7774,6617,6493,43,29,913,913,29,45,3,3,259,291
50,55,3,Wisconsin,Ashland County,10,0,15513,7775,7738,6545,6464,43,32,889,901,32,45,3,3,263,293
50,55,3,Wisconsin,Ashland County,11,0,15600,7818,7782,6577,6503,40,32,903,910,35,48,3,2,260,287
50,55,5,Wisconsin,Barron County,1,0,45870,22814,23056,22030,22318,257,163,202,220,92,136,5,0,228,219
50,55,5,Wisconsin,Barron County,4,0,45877,22835,23042,22002,22240,287,180,194,229,101,146,6,1,245,246
50,55,5,Wisconsin,Barron County,5,0,45767,22826,22941,21963,22138,300,177,199,221,102,153,5,1,257,251
50,55,5,Wisconsin,Barron County,6,0,45570,22731,22839,21857,22022,304,168,208,221,101,159,5,1,256,268
50,55,5,Wisconsin,Barron County,7,0,45343,22635,22708,21740,21878,298,168,211,220,108,165,5,1,273,276
50,55,5,Wisconsin,Barron County,8,0,45357,22708,22649,21765,21734,353,201,231,233,104,170,5,1,250,310
50,55,5,Wisconsin,Barron County,9,0,45233,22662,22571,21656,21633,392,215,235,230,108,176,5,3,266,314
50,55,5,Wisconsin,Barron County,10,0,45164,22614,22550,21559,21597,416,221,244,231,114,180,6,3,275,318
50,55,5,Wisconsin,Barron County,11,0,45164,22628,22536,21515,21538,446,229,252,251,126,187,6,4,283,327
50,55,7,Wisconsin,Bayfield County,1,0,15014,7716,7298,6745,6320,37,15,730,710,13,36,1,0,190,217
50,55,7,Wisconsin,Bayfield County,4,0,15063,7734,7329,6719,6324,47,18,752,739,15,34,1,0,200,214
50,55,7,Wisconsin,Bayfield County,5,0,15061,7730,7331,6690,6302,44,24,780,764,16,32,2,0,198,209
50,55,7,Wisconsin,Bayfield County,6,0,15117,7747,7370,6690,6343,48,27,782,757,20,38,2,0,205,205
50,55,7,Wisconsin,Bayfield County,7,0,14975,7669,7306,6618,6277,46,23,776,758,24,41,2,1,203,206
50,55,7,Wisconsin,Bayfield County,8,0,14980,7678,7302,6612,6269,49,25,777,759,24,44,5,1,211,204
50,55,7,Wisconsin,Bayfield County,9,0,14931,7607,7324,6529,6279,57,32,781,763,22,48,5,0,213,202
50,55,7,Wisconsin,Bayfield County,10,0,15033,7664,7369,6593,6324,56,38,770,754,20,48,5,0,220,205
50,55,7,Wisconsin,Bayfield County,11,0,15042,7660,7382,6555,6293,61,40,789,774,23,58,5,0,227,217
50,55,9,Wisconsin,Brown County,1,0,248007,122658,125349,109725,113326,3429,2269,3638,3819,3403,3459,91,77,2372,2399
50,55,9,Wisconsin,Brown County,4,0,250471,124065,126406,110548,113851,3563,2417,3754,3920,3646,3664,108,90,2446,2464
50,55,9,Wisconsin,Brown County,5,0,252686,125150,127536,111198,114531,3766,2620,3813,3937,3744,3805,111,95,2518,2548
50,55,9,Wisconsin,Brown County,6,0,254237,126066,128171,111781,114964,3755,2572,3954,4030,3799,3888,115,94,2662,2623
50,55,9,Wisconsin,Brown County,7,0,256245,127041,129204,112315,115592,3904,2665,4030,4110,3919,4061,117,95,2756,2681
50,55,9,Wisconsin,Brown County,8,0,257899,127944,129955,112843,115817,4049,2807,4100,4276,4031,4202,115,92,2806,2761
50,55,9,Wisconsin,Brown County,9,0,259546,128751,130795,113314,116190,4204,3026,4100,4347,4142,4310,120,96,2871,2826
50,55,9,Wisconsin,Brown County,10,0,261863,129812,132051,113860,116931,4493,3213,4155,4432,4238,4502,132,96,2934,2877
50,55,9,Wisconsin,Brown County,11,0,263378,130577,132801,114293,117265,4567,3372,4213,4489,4341,4593,127,92,3036,2990
50,55,11,Wisconsin,Buffalo County,1,0,13587,6859,6728,6739,6624,29,15,23,17,7,21,0,0,61,51
50,55,11,Wisconsin,Buffalo County,4,0,13438,6832,6606,6705,6498,34,17,26,18,8,21,0,0,59,52
50,55,11,Wisconsin,Buffalo County,5,0,13342,6757,6585,6628,6471,36,17,23,20,10,23,0,0,60,54
50,55,11,Wisconsin,Buffalo County,6,0,13364,6773,6591,6626,6464,37,19,28,22,11,26,1,0,70,60
50,55,11,Wisconsin,Buffalo County,7,0,13230,6691,6539,6536,6413,43,18,30,25,12,24,1,0,69,59
50,55,11,Wisconsin,Buffalo County,8,0,13241,6715,6526,6557,6388,43,24,24,25,14,24,1,0,76,65
50,55,11,Wisconsin,Buffalo County,9,0,13132,6679,6453,6514,6313,46,20,25,27,17,26,1,0,76,67
50,55,11,Wisconsin,Buffalo County,10,0,13107,6665,6442,6489,6283,44,21,27,27,22,36,1,0,82,75
50,55,11,Wisconsin,Buffalo County,11,0,13125,6677,6448,6496,6289,47,23,27,28,25,39,1,0,81,69
50,55,13,Wisconsin,Burnett County,1,0,15457,7806,7651,7209,7013,43,40,344,386,14,38,1,2,195,172
50,55,13,Wisconsin,Burnett County,4,0,15462,7829,7633,7193,6991,40,43,373,386,13,37,2,2,208,174
50,55,13,Wisconsin,Burnett County,5,0,15337,7764,7573,7150,6948,38,45,362,372,14,41,1,2,199,165
50,55,13,Wisconsin,Burnett County,6,0,15268,7740,7528,7098,6894,40,53,384,370,13,40,1,2,204,169
50,55,13,Wisconsin,Burnett County,7,0,15230,7754,7476,7117,6874,41,54,377,353,16,37,2,2,201,156
50,55,13,Wisconsin,Burnett County,8,0,15138,7705,7433,7066,6841,38,56,387,334,17,38,4,2,193,162
50,55,13,Wisconsin,Burnett County,9,0,15219,7750,7469,7090,6890,44,53,382,328,20,33,5,2,209,163
50,55,13,Wisconsin,Burnett County,10,0,15313,7827,7486,7141,6889,56,62,388,325,22,43,8,2,212,165
50,55,13,Wisconsin,Burnett County,11,0,15392,7884,7508,7189,6900,57,65,392,328,27,43,9,2,210,170
50,55,15,Wisconsin,Calumet County,1,0,48971,24543,24428,23536,23400,149,105,93,113,485,549,11,9,269,252
50,55,15,Wisconsin,Calumet County,4,0,49607,24840,24767,23807,23691,148,120,100,117,488,556,13,11,284,272
50,55,15,Wisconsin,Calumet County,5,0,49640,24867,24773,23790,23687,141,123,118,110,501,572,12,13,305,268
50,55,15,Wisconsin,Calumet County,6,0,49637,24841,24796,23729,23626,139,127,116,120,525,617,12,12,320,294
50,55,15,Wisconsin,Calumet County,7,0,49472,24777,24695,23590,23500,173,138,120,127,536,621,12,12,346,297
50,55,15,Wisconsin,Calumet County,8,0,49812,24946,24866,23753,23639,183,158,131,131,519,613,12,11,348,314
50,55,15,Wisconsin,Calumet County,9,0,49600,24875,24725,23646,23453,190,150,131,132,531,658,12,11,365,321
50,55,15,Wisconsin,Calumet County,10,0,49994,25121,24873,23846,23567,207,163,142,151,543,644,15,12,368,336
50,55,15,Wisconsin,Calumet County,11,0,50159,25262,24897,23945,23564,234,175,129,141,559,646,15,13,380,358
50,55,17,Wisconsin,Chippewa County,1,0,62415,32404,30011,30610,29096,891,103,209,115,380,400,11,7,303,290
50,55,17,Wisconsin,Chippewa County,4,0,62943,32621,30322,30760,29361,897,110,222,131,409,416,13,8,320,296
50,55,17,Wisconsin,Chippewa County,5,0,63048,32717,30331,30856,29307,889,120,222,133,422,435,14,9,314,327
50,55,17,Wisconsin,Chippewa County,6,0,63086,32756,30330,30884,29282,867,128,233,141,424,436,16,12,332,331
50,55,17,Wisconsin,Chippewa County,7,0,63334,32889,30445,30983,29363,885,124,234,143,421,470,17,15,349,330
50,55,17,Wisconsin,Chippewa County,8,0,63416,32892,30524,30973,29368,883,151,235,157,429,478,18,15,354,355
50,55,17,Wisconsin,Chippewa County,9,0,63526,32985,30541,30984,29398,931,149,247,146,440,476,16,12,367,360
50,55,17,Wisconsin,Chippewa County,10,0,63762,33080,30682,31087,29490,935,163,247,143,410,478,19,15,382,393
50,55,17,Wisconsin,Chippewa County,11,0,64135,33239,30896,31201,29666,956,181,250,155,427,485,22,17,383,392
50,55,19,Wisconsin,Clark County,1,0,34690,17577,17113,17275,16805,61,36,103,101,51,79,8,6,79,86
50,55,19,Wisconsin,Clark County,4,0,34680,17528,17152,17160,16789,73,46,125,110,57,86,9,7,104,114
50,55,19,Wisconsin,Clark County,5,0,34440,17367,17073,16992,16683,79,56,115,109,59,89,9,7,113,129
50,55,19,Wisconsin,Clark County,6,0,34535,17460,17075,17048,16650,93,65,127,114,60,101,8,7,124,138
50,55,19,Wisconsin,Clark County,7,0,34354,17349,17005,16931,16577,107,68,121,110,60,104,8,7,122,139
50,55,19,Wisconsin,Clark County,8,0,34349,17381,16968,16963,16520,105,66,113,111,57,105,8,9,135,157
50,55,19,Wisconsin,Clark County,9,0,34475,17423,17052,17004,16585,105,74,120,114,54,112,8,9,132,158
50,55,19,Wisconsin,Clark County,10,0,34569,17427,17142,16961,16656,116,82,127,123,52,108,9,9,162,164
50,55,19,Wisconsin,Clark County,11,0,34709,17523,17186,17055,16667,116,83,136,132,61,120,9,9,146,175
