SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,54,1,West Virginia,Barbour County,1,0,16589,8190,8399,7920,8170,72,55,58,38,15,23,3,0,122,113
50,54,1,West Virginia,Barbour County,4,0,16600,8186,8414,7916,8180,73,54,53,38,16,26,3,0,125,116
50,54,1,West Virginia,Barbour County,5,0,16870,8256,8614,7963,8355,82,67,57,41,18,26,4,0,132,125
50,54,1,West Virginia,Barbour County,6,0,16872,8254,8618,7949,8362,85,67,55,38,14,25,4,0,147,126
50,54,1,West Virginia,Barbour County,7,0,16903,8235,8668,7924,8406,94,70,49,38,15,23,4,0,149,131
50,54,1,West Virginia,Barbour County,8,0,16971,8276,8695,7945,8423,107,82,52,39,17,23,4,0,151,128
50,54,1,West Virginia,Barbour County,9,0,16742,8182,8560,7844,8286,109,75,55,47,15,22,4,0,155,130
50,54,1,West Virginia,Barbour County,10,0,16499,8085,8414,7773,8141,93,70,55,47,13,25,4,0,147,131
50,54,1,West Virginia,Barbour County,11,0,16535,8049,8486,7758,8213,83,79,56,48,14,29,4,0,134,117
50,54,3,West Virginia,Berkeley County,1,0,104169,51703,52466,45755,47073,4087,3502,167,147,376,523,27,23,1291,1198
50,54,3,West Virginia,Berkeley County,4,0,105718,52316,53402,46276,47760,4121,3585,154,135,395,613,31,28,1339,1281
50,54,3,West Virginia,Berkeley County,5,0,106950,52863,54087,46722,48260,4151,3670,147,138,414,647,28,25,1401,1347
50,54,3,West Virginia,Berkeley County,6,0,108489,53544,54945,47345,48883,4141,3774,147,148,433,664,32,26,1446,1450
50,54,3,West Virginia,Berkeley County,7,0,110187,54412,55775,48036,49564,4279,3875,150,161,422,684,33,20,1492,1471
50,54,3,West Virginia,Berkeley County,8,0,111683,55169,56514,48639,50138,4360,3953,144,149,432,693,29,19,1565,1562
50,54,3,West Virginia,Berkeley County,9,0,113476,56151,57325,49414,50740,4454,4104,147,144,473,717,35,23,1628,1597
50,54,3,West Virginia,Berkeley County,10,0,115007,56990,58017,50078,51187,4571,4256,149,136,501,743,37,17,1654,1678
50,54,3,West Virginia,Berkeley County,11,0,117123,58095,59028,50938,51977,4706,4395,151,129,516,767,37,15,1747,1745
50,54,5,West Virginia,Boone County,1,0,24629,12239,12390,12064,12254,72,51,17,18,11,10,1,0,74,57
50,54,5,West Virginia,Boone County,4,0,24406,12170,12236,11980,12094,78,49,18,17,12,11,1,0,81,65
50,54,5,West Virginia,Boone County,5,0,24353,12169,12184,11978,12024,80,59,19,19,14,11,1,0,77,71
50,54,5,West Virginia,Boone County,6,0,24086,11992,12094,11797,11927,82,60,19,21,14,13,1,0,79,73
50,54,5,West Virginia,Boone County,7,0,23710,11803,11907,11599,11740,85,59,20,18,13,13,1,0,85,77
50,54,5,West Virginia,Boone County,8,0,23246,11577,11669,11363,11496,86,60,21,19,14,14,1,0,92,80
50,54,5,West Virginia,Boone County,9,0,22803,11366,11437,11144,11265,98,63,19,18,14,16,1,0,90,75
50,54,5,West Virginia,Boone County,10,0,22374,11147,11227,10930,11056,94,60,18,18,15,15,1,0,89,78
50,54,5,West Virginia,Boone County,11,0,21951,10937,11014,10713,10845,93,55,23,21,17,15,1,0,90,78
50,54,7,West Virginia,Braxton County,1,0,14523,7316,7207,7172,7099,44,16,26,16,11,14,0,3,63,59
50,54,7,West Virginia,Braxton County,4,0,14533,7319,7214,7165,7110,44,16,28,19,16,13,0,3,66,53
