WY,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE
50,56,1,Wyoming,Albany County,1,0,36299,18897,17402,17526,16182,283,160,155,141,519,526,17,13,397,380
50,56,1,Wyoming,Albany County,4,0,36843,19176,17667,17718,16382,328,155,182,159,539,526,18,9,391,436
50,56,1,Wyoming,Albany County,5,0,37360,19474,17886,17875,16515,393,205,182,168,625,566,21,9,378,423
50,56,1,Wyoming,Albany County,6,0,37559,19664,17895,17946,16451,464,242,210,172,635,588,21,9,388,433
50,56,1,Wyoming,Albany County,7,0,37622,19641,17981,17965,16548,439,213,213,181,606,563,23,14,395,462
50,56,1,Wyoming,Albany County,8,0,37956,19917,18039,18138,16563,448,214,240,178,642,583,20,11,429,490
50,56,1,Wyoming,Albany County,9,0,37903,19868,18035,18106,16537,435,216,239,199,647,591,20,12,421,480
50,56,1,Wyoming,Albany County,10,0,38430,20073,18357,18201,16778,482,236,251,201,674,628,25,15,440,499
50,56,1,Wyoming,Albany County,11,0,38601,20145,18456,18175,16781,509,257,250,216,724,670,26,16,461,516
50,56,3,Wyoming,Big Horn County,1,0,11668,5882,5786,5715,5615,24,15,70,65,20,19,1,1,52,71
50,56,3,Wyoming,Big Horn County,4,0,11721,5890,5831,5695,5639,27,16,81,67,25,25,1,1,61,83
50,56,3,Wyoming,Big Horn County,5,0,11757,5921,5836,5695,5621,54,34,81,65,28,25,1,1,62,90
50,56,3,Wyoming,Big Horn County,6,0,11935,6047,5888,5790,5644,85,45,88,71,29,28,1,1,54,99
50,56,3,Wyoming,Big Horn County,7,0,11853,5981,5872,5760,5634,47,39,89,72,27,25,1,1,57,101
50,56,3,Wyoming,Big Horn County,8,0,11950,5998,5952,5776,5709,39,35,91,80,26,25,1,1,65,102
50,56,3,Wyoming,Big Horn County,9,0,11943,5985,5958,5756,5715,39,33,91,81,30,23,1,1,68,105
50,56,3,Wyoming,Big Horn County,10,0,11879,5936,5943,5704,5705,38,34,96,79,30,24,1,1,67,100
50,56,3,Wyoming,Big Horn County,11,0,11881,5982,5899,5733,5647,47,38,97,83,32,25,1,1,72,105
50,56,5,Wyoming,Campbell County,1,0,46133,24258,21875,23272,21004,123,51,332,292,122,138,16,11,393,379
50,56,5,Wyoming,Campbell County,4,0,46543,24334,22209,23296,21282,145,71,357,302,117,146,16,8,403,400
50,56,5,Wyoming,Campbell County,5,0,47855,24941,22914,23769,21860,223,153,380,329,131,157,19,9,419,406
50,56,5,Wyoming,Campbell County,6,0,48038,25001,23037,23754,21940,224,153,403,333,134,159,21,12,465,440
50,56,5,Wyoming,Campbell County,7,0,48132,25022,23110,23756,22016,209,115,416,329,142,172,22,12,477,466
50,56,5,Wyoming,Campbell County,8,0,49269,25633,23636,24297,22461,202,120,443,365,154,178,23,17,514,495
50,56,5,Wyoming,Campbell County,9,0,48746,25266,23480,23960,22334,202,117,426,350,159,172,25,17,494,490
50,56,5,Wyoming,Campbell County,10,0,46251,23842,22409,22640,21338,174,116,381,323,156,173,25,13,466,446
50,56,5,Wyoming,Campbell County,11,0,46140,23779,22361,22558,21258,170,108,385,323,162,177,21,15,483,480
50,56,7,Wyoming,Carbon County,1,0,15885,8553,7332,8145,7058,85,33,136,78,57,71,9,5,121,87
50,56,7,Wyoming,Carbon County,4,0,15833,8610,7223,8162,6938,103,39,146,81,57,67,10,5,132,93
50,56,7,Wyoming,Carbon County,5,0,15708,8585,7123,8074,6800,132,57,152,89,64,75,11,6,152,96
50,56,7,Wyoming,Carbon County,6,0,15836,8617,7219,8096,6869,143,58,162,107,57,76,13,7,146,102
50,56,7,Wyoming,Carbon County,7,0,15872,8599,7273,8054,6911,154,63,162,109,66,80,13,2,150,108
50,56,7,Wyoming,Carbon County,8,0,15618,8441,7177,7910,6828,151,52,152,108,70,79,14,2,144,108
50,56,7,Wyoming,Carbon County,9,0,15684,8462,7222,7935,6871,149,56,153,105,68,73,13,2,144,115
50,56,7,Wyoming,Carbon County,10,0,15242,8196,7046,7663,6675,145,60,150,107,70,75,13,2,155,127
