,State FIPS,County FIPS,Postal Code,Name,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
2,1,1,AL,Autauga County,44241,41547,47109
3,1,3,AL,Baldwin County,41961,39479,44600
4,1,5,AL,Barbour County,26062,24432,27801
5,1,7,AL,Bibb County,32924,30916,35062
6,1,9,AL,Blount County,37758,35473,40191
7,1,11,AL,Bullock County,20903,19497,22409
8,1,13,AL,Butler County,26951,25282,28730
9,1,15,AL,Calhoun County,33137,31191,35205
10,1,17,AL,Chambers County,30844,28954,32858
11,1,19,AL,Cherokee County,32158,30199,34244
12,1,21,AL,Chilton County,34201,32117,36422
13,1,23,AL,Choctaw County,26829,25099,28678
14,1,25,AL,Clarke County,28644,26897,30505
15,1,27,AL,Clay County,29456,27642,31388
16,1,29,AL,Cleburne County,32834,30849,34946
17,1,31,AL,Coffee County,35739,33576,38042
18,1,33,AL,Colbert County,33550,31528,35700
19,1,35,AL,Conecuh County,23726,22208,25348
20,1,37,AL,Coosa County,29801,27990,31730
21,1,39,AL,Covington County,28670,26904,30552
22,1,41,AL,Crenshaw County,28358,26580,30254
23,1,43,AL,Cullman County,34056,31988,36257
24,1,45,AL,Dale County,32774,30782,34895
25,1,47,AL,Dallas County,24456,23000,26003
26,1,49,AL,DeKalb County,31310,29401,33343
27,1,51,AL,Elmore County,42687,40146,45389
28,1,53,AL,Escambia County,28608,26845,30486
29,1,55,AL,Etowah County,31512,29594,33554
30,1,57,AL,Fayette County,30216,28425,32120
31,1,59,AL,Franklin County,28277,26533,30135
32,1,61,AL,Geneva County,28040,26314,29879
33,1,63,AL,Greene County,21963,20542,23483
34,1,65,AL,Hale County,26138,24515,27868
35,1,67,AL,Henry County,31504,29585,33546
36,1,69,AL,Houston County,35866,33681,38192
37,1,71,AL,Jackson County,33128,31113,35272
38,1,73,AL,Jefferson County,38305,36225,40506
39,1,75,AL,Lamar County,28913,27124,30819
40,1,77,AL,Lauderdale County,34422,32403,36568
41,1,79,AL,Lawrence County,34195,32129,36394
42,1,81,AL,Lee County,33550,31399,35848
43,1,83,AL,Limestone County,40901,38403,43561
44,1,85,AL,Lowndes County,24090,22587,25692
