,State County FIPS,Postal Code,Name,Median Household Income,Year
67,"2 , 13",AK,Aleutians East Borough,39239,2003
68,"2 , 16",AK,Aleutians West Census Area,50367,2003
69,"2 , 20",AK,Anchorage Borough,55197,2003
70,"2 , 50",AK,Bethel Census Area,35326,2003
71,"2 , 60",AK,Bristol Bay Borough,55876,2003
72,"2 , 68",AK,Denali Borough,52230,2003
73,"2 , 70",AK,Dillingham Census Area,40477,2003
74,"2 , 90",AK,Fairbanks North Star Borough,52492,2003
75,"2 , 100",AK,Haines Borough,39003,2003
76,"2 , 110",AK,Juneau Borough,60024,2003
77,"2 , 122",AK,Kenai Peninsula Borough,48697,2003
78,"2 , 130",AK,Ketchikan Gateway Borough,50154,2003
79,"2 , 150",AK,Kodiak Island Borough,51809,2003
80,"2 , 164",AK,Lake and Peninsula Borough,32617,2003
81,"2 , 170",AK,Matanuska-Susitna Borough,54725,2003
82,"2 , 180",AK,Nome Census Area,38925,2003
83,"2 , 185",AK,North Slope Borough,57822,2003
84,"2 , 188",AK,Northwest Arctic Borough,42230,2003
85,"2 , 201",AK,Prince of Wales-Outer Ketchikan Census Area,35393,2003
86,"2 , 220",AK,Sitka Borough,51207,2003
87,"2 , 232",AK,Skagway-Hoonah-Angoon Census Area,41072,2003
88,"2 , 240",AK,Southeast Fairbanks Census Area,40894,2003
89,"2 , 261",AK,Valdez-Cordova Census Area,50408,2003
90,"2 , 270",AK,Wade Hampton Census Area,27650,2003
91,"2 , 280",AK,Wrangell-Petersburg Census Area,45724,2003
92,"2 , 282",AK,Yakutat Borough,40404,2003
93,"2 , 290",AK,Yukon-Koyukuk Census Area,29952,2003
67,"2 , 13",AK,Aleutians East Borough,39239,2004
68,"2 , 16",AK,Aleutians West Census Area,50367,2004
69,"2 , 20",AK,Anchorage Borough,55197,2004
70,"2 , 50",AK,Bethel Census Area,35326,2004
71,"2 , 60",AK,Bristol Bay Borough,55876,2004
72,"2 , 68",AK,Denali Borough,52230,2004
73,"2 , 70",AK,Dillingham Census Area,40477,2004
74,"2 , 90",AK,Fairbanks North Star Borough,52492,2004
75,"2 , 100",AK,Haines Borough,39003,2004
76,"2 , 110",AK,Juneau Borough,60024,2004
77,"2 , 122",AK,Kenai Peninsula Borough,48697,2004
78,"2 , 130",AK,Ketchikan Gateway Borough,50154,2004
79,"2 , 150",AK,Kodiak Island Borough,51809,2004
80,"2 , 164",AK,Lake and Peninsula Borough,32617,2004
81,"2 , 170",AK,Matanuska-Susitna Borough,54725,2004
82,"2 , 180",AK,Nome Census Area,38925,2004
83,"2 , 185",AK,North Slope Borough,57822,2004
84,"2 , 188",AK,Northwest Arctic Borough,42230,2004
85,"2 , 201",AK,Prince of Wales-Outer Ketchikan Census Area,35393,2004
86,"2 , 220",AK,Sitka Borough,51207,2004
87,"2 , 232",AK,Skagway-Hoonah-Angoon Census Area,41072,2004
88,"2 , 240",AK,Southeast Fairbanks Census Area,40894,2004
89,"2 , 261",AK,Valdez-Cordova Census Area,50408,2004
90,"2 , 270",AK,Wade Hampton Census Area,27650,2004
91,"2 , 280",AK,Wrangell-Petersburg Census Area,45724,2004
92,"2 , 282",AK,Yakutat Borough,40404,2004
93,"2 , 290",AK,Yukon-Koyukuk Census Area,29952,2004
67,"2 , 13",AK,Aleutians East Borough,39239,2005
68,"2 , 16",AK,Aleutians West Census Area,50367,2005
69,"2 , 20",AK,Anchorage Borough,55197,2005
70,"2 , 50",AK,Bethel Census Area,35326,2005
71,"2 , 60",AK,Bristol Bay Borough,55876,2005
72,"2 , 68",AK,Denali Borough,52230,2005
73,"2 , 70",AK,Dillingham Census Area,40477,2005
74,"2 , 90",AK,Fairbanks North Star Borough,52492,2005
75,"2 , 100",AK,Haines Borough,39003,2005
76,"2 , 110",AK,Juneau Borough,60024,2005
77,"2 , 122",AK,Kenai Peninsula Borough,48697,2005
78,"2 , 130",AK,Ketchikan Gateway Borough,50154,2005
