,State County FIPS,Postal Code,Name,Median Household Income,Year
109,"5 , 1",AR,Arkansas County,32448,2003
110,"5 , 3",AR,Ashley County,32485,2003
111,"5 , 5",AR,Baxter County,30521,2003
112,"5 , 7",AR,Benton County,45353,2003
113,"5 , 9",AR,Boone County,31626,2003
114,"5 , 11",AR,Bradley County,26593,2003
115,"5 , 13",AR,Calhoun County,29940,2003
116,"5 , 15",AR,Carroll County,27796,2003
117,"5 , 17",AR,Chicot County,22088,2003
118,"5 , 19",AR,Clark County,29970,2003
119,"5 , 21",AR,Clay County,27217,2003
120,"5 , 23",AR,Cleburne County,32341,2003
121,"5 , 25",AR,Cleveland County,34724,2003
122,"5 , 27",AR,Columbia County,29275,2003
123,"5 , 29",AR,Conway County,31779,2003
124,"5 , 31",AR,Craighead County,34821,2003
125,"5 , 33",AR,Crawford County,35138,2003
126,"5 , 35",AR,Crittenden County,30546,2003
127,"5 , 37",AR,Cross County,30356,2003
128,"5 , 39",AR,Dallas County,26633,2003
129,"5 , 41",AR,Desha County,25822,2003
130,"5 , 43",AR,Drew County,29817,2003
131,"5 , 45",AR,Faulkner County,40395,2003
132,"5 , 47",AR,Franklin County,31307,2003
133,"5 , 49",AR,Fulton County,26687,2003
134,"5 , 51",AR,Garland County,32064,2003
135,"5 , 53",AR,Grant County,40375,2003
136,"5 , 55",AR,Greene County,33001,2003
137,"5 , 57",AR,Hempstead County,27614,2003
138,"5 , 59",AR,Hot Spring County,32498,2003
139,"5 , 61",AR,Howard County,27569,2003
140,"5 , 63",AR,Independence County,32910,2003
141,"5 , 65",AR,Izard County,26293,2003
142,"5 , 67",AR,Jackson County,26246,2003
143,"5 , 69",AR,Jefferson County,31211,2003
144,"5 , 71",AR,Johnson County,28791,2003
145,"5 , 73",AR,Lafayette County,24399,2003
146,"5 , 75",AR,Lawrence County,27899,2003
147,"5 , 77",AR,Lee County,21891,2003
148,"5 , 79",AR,Lincoln County,28405,2003
149,"5 , 81",AR,Little River County,30014,2003
150,"5 , 83",AR,Logan County,29613,2003
151,"5 , 85",AR,Lonoke County,42953,2003
152,"5 , 87",AR,Madison County,28515,2003
153,"5 , 89",AR,Marion County,27187,2003
154,"5 , 91",AR,Miller County,32209,2003
155,"5 , 93",AR,Mississippi County,27844,2003
156,"5 , 95",AR,Monroe County,24069,2003
157,"5 , 97",AR,Montgomery County,27109,2003
158,"5 , 99",AR,Nevada County,27029,2003
159,"5 , 101",AR,Newton County,25886,2003
160,"5 , 103",AR,Ouachita County,29574,2003
161,"5 , 105",AR,Perry County,32198,2003
162,"5 , 107",AR,Phillips County,22660,2003
163,"5 , 109",AR,Pike County,29172,2003
164,"5 , 111",AR,Poinsett County,27718,2003
165,"5 , 113",AR,Polk County,25699,2003
166,"5 , 115",AR,Pope County,32990,2003
167,"5 , 117",AR,Prairie County,30885,2003
168,"5 , 119",AR,Pulaski County,39325,2003
169,"5 , 121",AR,Randolph County,28598,2003
170,"5 , 123",AR,St. Francis County,25571,2003
171,"5 , 125",AR,Saline County,44342,2003
172,"5 , 127",AR,Scott County,25706,2003
173,"5 , 129",AR,Searcy County,21836,2003
174,"5 , 131",AR,Sebastian County,35685,2003
175,"5 , 133",AR,Sevier County,28620,2003
176,"5 , 135",AR,Sharp County,24647,2003
177,"5 , 137",AR,Stone County,23646,2003
178,"5 , 139",AR,Union County,31957,2003
179,"5 , 141",AR,Van Buren County,27204,2003
180,"5 , 143",AR,Washington County,36928,2003
181,"5 , 145",AR,White County,34019,2003
182,"5 , 147",AR,Woodruff County,23706,2003
183,"5 , 149",AR,Yell County,28569,2003
109,"5 , 1",AR,Arkansas County,32448,2004
110,"5 , 3",AR,Ashley County,32485,2004
111,"5 , 5",AR,Baxter County,30521,2004
112,"5 , 7",AR,Benton County,45353,2004
113,"5 , 9",AR,Boone County,31626,2004
114,"5 , 11",AR,Bradley County,26593,2004
115,"5 , 13",AR,Calhoun County,29940,2004
116,"5 , 15",AR,Carroll County,27796,2004
117,"5 , 17",AR,Chicot County,22088,2004
118,"5 , 19",AR,Clark County,29970,2004
119,"5 , 21",AR,Clay County,27217,2004
120,"5 , 23",AR,Cleburne County,32341,2004
121,"5 , 25",AR,Cleveland County,34724,2004
122,"5 , 27",AR,Columbia County,29275,2004
123,"5 , 29",AR,Conway County,31779,2004
124,"5 , 31",AR,Craighead County,34821,2004
125,"5 , 33",AR,Crawford County,35138,2004
126,"5 , 35",AR,Crittenden County,30546,2004
127,"5 , 37",AR,Cross County,30356,2004
128,"5 , 39",AR,Dallas County,26633,2004
129,"5 , 41",AR,Desha County,25822,2004
130,"5 , 43",AR,Drew County,29817,2004
131,"5 , 45",AR,Faulkner County,40395,2004
132,"5 , 47",AR,Franklin County,31307,2004
133,"5 , 49",AR,Fulton County,26687,2004
134,"5 , 51",AR,Garland County,32064,2004
135,"5 , 53",AR,Grant County,40375,2004
136,"5 , 55",AR,Greene County,33001,2004
137,"5 , 57",AR,Hempstead County,27614,2004
138,"5 , 59",AR,Hot Spring County,32498,2004
139,"5 , 61",AR,Howard County,27569,2004
140,"5 , 63",AR,Independence County,32910,2004
141,"5 , 65",AR,Izard County,26293,2004
142,"5 , 67",AR,Jackson County,26246,2004
143,"5 , 69",AR,Jefferson County,31211,2004
144,"5 , 71",AR,Johnson County,28791,2004
145,"5 , 73",AR,Lafayette County,24399,2004
146,"5 , 75",AR,Lawrence County,27899,2004
147,"5 , 77",AR,Lee County,21891,2004
148,"5 , 79",AR,Lincoln County,28405,2004
149,"5 , 81",AR,Little River County,30014,2004
150,"5 , 83",AR,Logan County,29613,2004
151,"5 , 85",AR,Lonoke County,42953,2004
152,"5 , 87",AR,Madison County,28515,2004
153,"5 , 89",AR,Marion County,27187,2004
154,"5 , 91",AR,Miller County,32209,2004
155,"5 , 93",AR,Mississippi County,27844,2004
156,"5 , 95",AR,Monroe County,24069,2004
157,"5 , 97",AR,Montgomery County,27109,2004
158,"5 , 99",AR,Nevada County,27029,2004
159,"5 , 101",AR,Newton County,25886,2004
160,"5 , 103",AR,Ouachita County,29574,2004
161,"5 , 105",AR,Perry County,32198,2004
162,"5 , 107",AR,Phillips County,22660,2004
163,"5 , 109",AR,Pike County,29172,2004
164,"5 , 111",AR,Poinsett County,27718,2004
165,"5 , 113",AR,Polk County,25699,2004
166,"5 , 115",AR,Pope County,32990,2004
167,"5 , 117",AR,Prairie County,30885,2004
168,"5 , 119",AR,Pulaski County,39325,2004
169,"5 , 121",AR,Randolph County,28598,2004
170,"5 , 123",AR,St. Francis County,25571,2004
171,"5 , 125",AR,Saline County,44342,2004
172,"5 , 127",AR,Scott County,25706,2004
173,"5 , 129",AR,Searcy County,21836,2004
174,"5 , 131",AR,Sebastian County,35685,2004
175,"5 , 133",AR,Sevier County,28620,2004
176,"5 , 135",AR,Sharp County,24647,2004
177,"5 , 137",AR,Stone County,23646,2004
178,"5 , 139",AR,Union County,31957,2004
179,"5 , 141",AR,Van Buren County,27204,2004
180,"5 , 143",AR,Washington County,36928,2004
181,"5 , 145",AR,White County,34019,2004
182,"5 , 147",AR,Woodruff County,23706,2004
183,"5 , 149",AR,Yell County,28569,2004
109,"5 , 1",AR,Arkansas County,32448,2005
110,"5 , 3",AR,Ashley County,32485,2005
111,"5 , 5",AR,Baxter County,30521,2005
112,"5 , 7",AR,Benton County,45353,2005
113,"5 , 9",AR,Boone County,31626,2005
114,"5 , 11",AR,Bradley County,26593,2005
115,"5 , 13",AR,Calhoun County,29940,2005
116,"5 , 15",AR,Carroll County,27796,2005
117,"5 , 17",AR,Chicot County,22088,2005
118,"5 , 19",AR,Clark County,29970,2005
119,"5 , 21",AR,Clay County,27217,2005
120,"5 , 23",AR,Cleburne County,32341,2005
121,"5 , 25",AR,Cleveland County,34724,2005
122,"5 , 27",AR,Columbia County,29275,2005
123,"5 , 29",AR,Conway County,31779,2005
124,"5 , 31",AR,Craighead County,34821,2005
125,"5 , 33",AR,Crawford County,35138,2005
126,"5 , 35",AR,Crittenden County,30546,2005
127,"5 , 37",AR,Cross County,30356,2005
128,"5 , 39",AR,Dallas County,26633,2005
129,"5 , 41",AR,Desha County,25822,2005
130,"5 , 43",AR,Drew County,29817,2005
131,"5 , 45",AR,Faulkner County,40395,2005
132,"5 , 47",AR,Franklin County,31307,2005
133,"5 , 49",AR,Fulton County,26687,2005
134,"5 , 51",AR,Garland County,32064,2005
135,"5 , 53",AR,Grant County,40375,2005
136,"5 , 55",AR,Greene County,33001,2005
137,"5 , 57",AR,Hempstead County,27614,2005
138,"5 , 59",AR,Hot Spring County,32498,2005
139,"5 , 61",AR,Howard County,27569,2005
140,"5 , 63",AR,Independence County,32910,2005
141,"5 , 65",AR,Izard County,26293,2005
142,"5 , 67",AR,Jackson County,26246,2005
143,"5 , 69",AR,Jefferson County,31211,2005
144,"5 , 71",AR,Johnson County,28791,2005
145,"5 , 73",AR,Lafayette County,24399,2005
146,"5 , 75",AR,Lawrence County,27899,2005
147,"5 , 77",AR,Lee County,21891,2005
148,"5 , 79",AR,Lincoln County,28405,2005
149,"5 , 81",AR,Little River County,30014,2005
150,"5 , 83",AR,Logan County,29613,2005
151,"5 , 85",AR,Lonoke County,42953,2005
152,"5 , 87",AR,Madison County,28515,2005
153,"5 , 89",AR,Marion County,27187,2005
154,"5 , 91",AR,Miller County,32209,2005
155,"5 , 93",AR,Mississippi County,27844,2005
156,"5 , 95",AR,Monroe County,24069,2005
157,"5 , 97",AR,Montgomery County,27109,2005
158,"5 , 99",AR,Nevada County,27029,2005
159,"5 , 101",AR,Newton County,25886,2005
160,"5 , 103",AR,Ouachita County,29574,2005
161,"5 , 105",AR,Perry County,32198,2005
162,"5 , 107",AR,Phillips County,22660,2005
163,"5 , 109",AR,Pike County,29172,2005
164,"5 , 111",AR,Poinsett County,27718,2005
165,"5 , 113",AR,Polk County,25699,2005
166,"5 , 115",AR,Pope County,32990,2005
167,"5 , 117",AR,Prairie County,30885,2005
168,"5 , 119",AR,Pulaski County,39325,2005
169,"5 , 121",AR,Randolph County,28598,2005
170,"5 , 123",AR,St. Francis County,25571,2005
171,"5 , 125",AR,Saline County,44342,2005
172,"5 , 127",AR,Scott County,25706,2005
173,"5 , 129",AR,Searcy County,21836,2005
174,"5 , 131",AR,Sebastian County,35685,2005
175,"5 , 133",AR,Sevier County,28620,2005
176,"5 , 135",AR,Sharp County,24647,2005
177,"5 , 137",AR,Stone County,23646,2005
178,"5 , 139",AR,Union County,31957,2005
