,State County FIPS,Postal Code,Name,Median Household Income,Year
184,"6 , 1",CA,Alameda County,56225,2003
185,"6 , 3",CA,Alpine County,38825,2003
186,"6 , 5",CA,Amador County,44494,2003
187,"6 , 7",CA,Butte County,33528,2003
188,"6 , 9",CA,Calaveras County,43462,2003
189,"6 , 11",CA,Colusa County,36579,2003
190,"6 , 13",CA,Contra Costa County,64365,2003
191,"6 , 15",CA,Del Norte County,29990,2003
192,"6 , 17",CA,El Dorado County,54131,2003
193,"6 , 19",CA,Fresno County,36003,2003
194,"6 , 21",CA,Glenn County,32725,2003
195,"6 , 23",CA,Humboldt County,32211,2003
196,"6 , 25",CA,Imperial County,32637,2003
197,"6 , 27",CA,Inyo County,37553,2003
198,"6 , 29",CA,Kern County,37614,2003
199,"6 , 31",CA,Kings County,36137,2003
200,"6 , 33",CA,Lake County,31178,2003
201,"6 , 35",CA,Lassen County,37687,2003
202,"6 , 37",CA,Los Angeles County,41544,2003
203,"6 , 39",CA,Madera County,36050,2003
204,"6 , 41",CA,Marin County,66764,2003
205,"6 , 43",CA,Mariposa County,35437,2003
206,"6 , 45",CA,Mendocino County,35869,2003
207,"6 , 47",CA,Merced County,36738,2003
208,"6 , 49",CA,Modoc County,28533,2003
209,"6 , 51",CA,Mono County,45654,2003
210,"6 , 53",CA,Monterey County,45596,2003
211,"6 , 55",CA,Napa County,51991,2003
212,"6 , 57",CA,Nevada County,47680,2003
213,"6 , 59",CA,Orange County,55909,2003
214,"6 , 61",CA,Placer County,61522,2003
215,"6 , 63",CA,Plumas County,39514,2003
216,"6 , 65",CA,Riverside County,44598,2003
217,"6 , 67",CA,Sacramento County,46351,2003
218,"6 , 69",CA,San Benito County,56371,2003
219,"6 , 71",CA,San Bernardino County,43294,2003
220,"6 , 73",CA,San Diego County,48766,2003
221,"6 , 75",CA,San Francisco County,51402,2003
222,"6 , 77",CA,San Joaquin County,42789,2003
223,"6 , 79",CA,San Luis Obispo County,44310,2003
224,"6 , 81",CA,San Mateo County,65110,2003
