,State County FIPS,Postal Code,Name,Median Household Income,Year
242,"8 , 1",CO,Adams County,48633,2003
243,"8 , 3",CO,Alamosa County,30994,2003
244,"8 , 5",CO,Arapahoe County,55907,2003
245,"8 , 7",CO,Archuleta County,38677,2003
246,"8 , 9",CO,Baca County,26434,2003
247,"8 , 11",CO,Bent County,27369,2003
248,"8 , 13",CO,Boulder County,57112,2003
249,"8 , 14",CO,Broomfield County,64005,2003
250,"8 , 15",CO,Chaffee County,35719,2003
251,"8 , 17",CO,Cheyenne County,35873,2003
252,"8 , 19",CO,Clear Creek County,57211,2003
253,"8 , 21",CO,Conejos County,26749,2003
254,"8 , 23",CO,Costilla County,21731,2003
255,"8 , 25",CO,Crowley County,23469,2003
256,"8 , 27",CO,Custer County,37830,2003
257,"8 , 29",CO,Delta County,33625,2003
258,"8 , 31",CO,Denver County,41036,2003
259,"8 , 33",CO,Dolores County,31923,2003
260,"8 , 35",CO,Douglas County,93013,2003
261,"8 , 37",CO,Eagle County,58347,2003
262,"8 , 39",CO,Elbert County,66647,2003
263,"8 , 41",CO,El Paso County,49292,2003
264,"8 , 43",CO,Fremont County,33837,2003
265,"8 , 45",CO,Garfield County,48153,2003
266,"8 , 47",CO,Gilpin County,53044,2003
267,"8 , 49",CO,Grand County,48348,2003
268,"8 , 51",CO,Gunnison County,37782,2003
269,"8 , 53",CO,Hinsdale County,35958,2003
270,"8 , 55",CO,Huerfano County,25751,2003
271,"8 , 57",CO,Jackson County,32071,2003
272,"8 , 59",CO,Jefferson County,58851,2003
273,"8 , 61",CO,Kiowa County,30850,2003
274,"8 , 63",CO,Kit Carson County,32891,2003
275,"8 , 65",CO,Lake County,35040,2003
276,"8 , 67",CO,La Plata County,42846,2003
277,"8 , 69",CO,Larimer County,50275,2003
278,"8 , 71",CO,Las Animas County,30092,2003
279,"8 , 73",CO,Lincoln County,31205,2003
280,"8 , 75",CO,Logan County,34329,2003
281,"8 , 77",CO,Mesa County,38129,2003
282,"8 , 79",CO,Mineral County,37018,2003
283,"8 , 81",CO,Moffat County,45071,2003
284,"8 , 83",CO,Montezuma County,33212,2003
285,"8 , 85",CO,Montrose County,38454,2003
