,State County FIPS,Postal Code,Name,Median Household Income,Year
306,"9 , 1",CT,Fairfield County,61035,2003
307,"9 , 3",CT,Hartford County,51630,2003
308,"9 , 5",CT,Litchfield County,58029,2003
309,"9 , 7",CT,Middlesex County,61869,2003
310,"9 , 9",CT,New Haven County,50737,2003
311,"9 , 11",CT,New London County,51513,2003
312,"9 , 13",CT,Tolland County,61418,2003
313,"9 , 15",CT,Windham County,45996,2003
306,"9 , 1",CT,Fairfield County,61035,2004
307,"9 , 3",CT,Hartford County,51630,2004
308,"9 , 5",CT,Litchfield County,58029,2004
309,"9 , 7",CT,Middlesex County,61869,2004
310,"9 , 9",CT,New Haven County,50737,2004
311,"9 , 11",CT,New London County,51513,2004
312,"9 , 13",CT,Tolland County,61418,2004
313,"9 , 15",CT,Windham County,45996,2004
306,"9 , 1",CT,Fairfield County,61035,2005
307,"9 , 3",CT,Hartford County,51630,2005
308,"9 , 5",CT,Litchfield County,58029,2005
309,"9 , 7",CT,Middlesex County,61869,2005
310,"9 , 9",CT,New Haven County,50737,2005
311,"9 , 11",CT,New London County,51513,2005
312,"9 , 13",CT,Tolland County,61418,2005
313,"9 , 15",CT,Windham County,45996,2005
306,"9 , 1",CT,Fairfield County,61035,2006
307,"9 , 3",CT,Hartford County,51630,2006
308,"9 , 5",CT,Litchfield County,58029,2006
309,"9 , 7",CT,Middlesex County,61869,2006
310,"9 , 9",CT,New Haven County,50737,2006
311,"9 , 11",CT,New London County,51513,2006
312,"9 , 13",CT,Tolland County,61418,2006
313,"9 , 15",CT,Windham County,45996,2006
306,"9 , 1",CT,Fairfield County,61035,2007
307,"9 , 3",CT,Hartford County,51630,2007
308,"9 , 5",CT,Litchfield County,58029,2007
309,"9 , 7",CT,Middlesex County,61869,2007
310,"9 , 9",CT,New Haven County,50737,2007
311,"9 , 11",CT,New London County,51513,2007
312,"9 , 13",CT,Tolland County,61418,2007
313,"9 , 15",CT,Windham County,45996,2007
306,"9 , 1",CT,Fairfield County,61035,2008
307,"9 , 3",CT,Hartford County,51630,2008
308,"9 , 5",CT,Litchfield County,58029,2008
309,"9 , 7",CT,Middlesex County,61869,2008
310,"9 , 9",CT,New Haven County,50737,2008
311,"9 , 11",CT,New London County,51513,2008
312,"9 , 13",CT,Tolland County,61418,2008
313,"9 , 15",CT,Windham County,45996,2008
306,"9 , 1",CT,Fairfield County,61035,2009
307,"9 , 3",CT,Hartford County,51630,2009
308,"9 , 5",CT,Litchfield County,58029,2009
309,"9 , 7",CT,Middlesex County,61869,2009
310,"9 , 9",CT,New Haven County,50737,2009
311,"9 , 11",CT,New London County,51513,2009
312,"9 , 13",CT,Tolland County,61418,2009
313,"9 , 15",CT,Windham County,45996,2009
306,"9 , 1",CT,Fairfield County,61035,2010
307,"9 , 3",CT,Hartford County,51630,2010
308,"9 , 5",CT,Litchfield County,58029,2010
309,"9 , 7",CT,Middlesex County,61869,2010
310,"9 , 9",CT,New Haven County,50737,2010
311,"9 , 11",CT,New London County,51513,2010
312,"9 , 13",CT,Tolland County,61418,2010
313,"9 , 15",CT,Windham County,45996,2010
306,"9 , 1",CT,Fairfield County,61035,2011
307,"9 , 3",CT,Hartford County,51630,2011
308,"9 , 5",CT,Litchfield County,58029,2011
309,"9 , 7",CT,Middlesex County,61869,2011
310,"9 , 9",CT,New Haven County,50737,2011
311,"9 , 11",CT,New London County,51513,2011
