,State County FIPS,Postal Code,Name,Median Household Income,Year
317,"11 , 1",DC,District of Columbia,43215,2003
317,"11 , 1",DC,District of Columbia,43215,2004
317,"11 , 1",DC,District of Columbia,43215,2005
317,"11 , 1",DC,District of Columbia,43215,2006
317,"11 , 1",DC,District of Columbia,43215,2007
317,"11 , 1",DC,District of Columbia,43215,2008
317,"11 , 1",DC,District of Columbia,43215,2009
317,"11 , 1",DC,District of Columbia,43215,2010
317,"11 , 1",DC,District of Columbia,43215,2011
317,"11 , 1",DC,District of Columbia,43215,2012
317,"11 , 1",DC,District of Columbia,43215,2013
317,"11 , 1",DC,District of Columbia,43215,2014
317,"11 , 1",DC,District of Columbia,43215,2015
317,"11 , 1",DC,District of Columbia,43215,2016
317,"11 , 1",DC,District of Columbia,43215,2017
317,"11 , 1",DC,District of Columbia,43215,2018
