,State County FIPS,Postal Code,Name,Median Household Income,Year
314,"10 , 1",DE,Kent County,43446,2003
315,"10 , 3",DE,New Castle County,53562,2003
316,"10 , 5",DE,Sussex County,39395,2003
314,"10 , 1",DE,Kent County,43446,2004
315,"10 , 3",DE,New Castle County,53562,2004
316,"10 , 5",DE,Sussex County,39395,2004
314,"10 , 1",DE,Kent County,43446,2005
315,"10 , 3",DE,New Castle County,53562,2005
316,"10 , 5",DE,Sussex County,39395,2005
314,"10 , 1",DE,Kent County,43446,2006
315,"10 , 3",DE,New Castle County,53562,2006
316,"10 , 5",DE,Sussex County,39395,2006
314,"10 , 1",DE,Kent County,43446,2007
315,"10 , 3",DE,New Castle County,53562,2007
316,"10 , 5",DE,Sussex County,39395,2007
314,"10 , 1",DE,Kent County,43446,2008
315,"10 , 3",DE,New Castle County,53562,2008
316,"10 , 5",DE,Sussex County,39395,2008
314,"10 , 1",DE,Kent County,43446,2009
315,"10 , 3",DE,New Castle County,53562,2009
316,"10 , 5",DE,Sussex County,39395,2009
314,"10 , 1",DE,Kent County,43446,2010
315,"10 , 3",DE,New Castle County,53562,2010
316,"10 , 5",DE,Sussex County,39395,2010
314,"10 , 1",DE,Kent County,43446,2011
315,"10 , 3",DE,New Castle County,53562,2011
316,"10 , 5",DE,Sussex County,39395,2011
314,"10 , 1",DE,Kent County,43446,2012
315,"10 , 3",DE,New Castle County,53562,2012
316,"10 , 5",DE,Sussex County,39395,2012
314,"10 , 1",DE,Kent County,43446,2013
315,"10 , 3",DE,New Castle County,53562,2013
316,"10 , 5",DE,Sussex County,39395,2013
314,"10 , 1",DE,Kent County,43446,2014
315,"10 , 3",DE,New Castle County,53562,2014
316,"10 , 5",DE,Sussex County,39395,2014
314,"10 , 1",DE,Kent County,43446,2015
315,"10 , 3",DE,New Castle County,53562,2015
316,"10 , 5",DE,Sussex County,39395,2015
314,"10 , 1",DE,Kent County,43446,2016
315,"10 , 3",DE,New Castle County,53562,2016
316,"10 , 5",DE,Sussex County,39395,2016
314,"10 , 1",DE,Kent County,43446,2017
315,"10 , 3",DE,New Castle County,53562,2017
316,"10 , 5",DE,Sussex County,39395,2017
314,"10 , 1",DE,Kent County,43446,2018
315,"10 , 3",DE,New Castle County,53562,2018
316,"10 , 5",DE,Sussex County,39395,2018
