State County FIPS,Postal Code,Name,Median Household Income,Year
"12 , 1",FL,Alachua County,33176,2003
"12 , 3",FL,Baker County,39281,2003
"12 , 5",FL,Bay County,37081,2003
"12 , 7",FL,Bradford County,32598,2003
"12 , 9",FL,Brevard County,42192,2003
"12 , 11",FL,Broward County,42673,2003
"12 , 13",FL,Calhoun County,26615,2003
"12 , 15",FL,Charlotte County,36514,2003
"12 , 17",FL,Citrus County,31932,2003
"12 , 19",FL,Clay County,51376,2003
"12 , 21",FL,Collier County,48242,2003
"12 , 23",FL,Columbia County,30815,2003
"12 , 27",FL,DeSoto County,27784,2003
"12 , 29",FL,Dixie County,25874,2003
"12 , 31",FL,Duval County,40457,2003
"12 , 33",FL,Escambia County,35347,2003
"12 , 35",FL,Flagler County,42681,2003
"12 , 37",FL,Franklin County,28896,2003
"12 , 39",FL,Gadsden County,29814,2003
"12 , 41",FL,Gilchrist County,30908,2003
"12 , 43",FL,Glades County,31598,2003
"12 , 45",FL,Gulf County,31543,2003
"12 , 47",FL,Hamilton County,25201,2003
"12 , 49",FL,Hardee County,27851,2003
"12 , 51",FL,Hendry County,31292,2003
"12 , 53",FL,Hernando County,33874,2003
"12 , 55",FL,Highlands County,29421,2003
"12 , 57",FL,Hillsborough County,43304,2003
"12 , 59",FL,Holmes County,27773,2003
"12 , 61",FL,Indian River County,40356,2003
"12 , 63",FL,Jackson County,29951,2003
"12 , 65",FL,Jefferson County,32742,2003
"12 , 67",FL,Lafayette County,27177,2003
"12 , 69",FL,Lake County,39040,2003
"12 , 71",FL,Lee County,41270,2003
"12 , 73",FL,Leon County,38084,2003
"12 , 75",FL,Levy County,27904,2003
"12 , 77",FL,Liberty County,29824,2003
"12 , 79",FL,Madison County,26592,2003
"12 , 81",FL,Manatee County,39756,2003
"12 , 83",FL,Marion County,33247,2003
"12 , 85",FL,Martin County,43136,2003
"12 , 86",FL,Miami-Dade County,33054,2003
"12 , 87",FL,Monroe County,41306,2003
"12 , 89",FL,Nassau County,48579,2003
"12 , 91",FL,Okaloosa County,43173,2003
"12 , 93",FL,Okeechobee County,29789,2003
"12 , 95",FL,Orange County,40671,2003
"12 , 97",FL,Osceola County,38966,2003
"12 , 99",FL,Palm Beach County,43014,2003
"12 , 101",FL,Pasco County,35386,2003
"12 , 103",FL,Pinellas County,36266,2003
"12 , 105",FL,Polk County,35125,2003
"12 , 107",FL,Putnam County,28664,2003
"12 , 109",FL,St. Johns County,52758,2003
"12 , 111",FL,St. Lucie County,37407,2003
"12 , 113",FL,Santa Rosa County,44636,2003
"12 , 115",FL,Sarasota County,42355,2003
"12 , 117",FL,Seminole County,49267,2003
"12 , 119",FL,Sumter County,34044,2003
"12 , 121",FL,Suwannee County,29523,2003
"12 , 123",FL,Taylor County,30871,2003
"12 , 125",FL,Union County,32847,2003
"12 , 127",FL,Volusia County,36100,2003
"12 , 129",FL,Wakulla County,38076,2003
"12 , 131",FL,Walton County,34884,2003
"12 , 133",FL,Washington County,28587,2003
"12 , 1",FL,Alachua County,33176,2004
"12 , 3",FL,Baker County,39281,2004
"12 , 5",FL,Bay County,37081,2004
"12 , 7",FL,Bradford County,32598,2004
"12 , 9",FL,Brevard County,42192,2004
"12 , 11",FL,Broward County,42673,2004
"12 , 13",FL,Calhoun County,26615,2004
"12 , 15",FL,Charlotte County,36514,2004
"12 , 17",FL,Citrus County,31932,2004
"12 , 19",FL,Clay County,51376,2004
"12 , 21",FL,Collier County,48242,2004
"12 , 23",FL,Columbia County,30815,2004
"12 , 27",FL,DeSoto County,27784,2004
"12 , 29",FL,Dixie County,25874,2004
"12 , 31",FL,Duval County,40457,2004
"12 , 33",FL,Escambia County,35347,2004
"12 , 35",FL,Flagler County,42681,2004
"12 , 37",FL,Franklin County,28896,2004
"12 , 39",FL,Gadsden County,29814,2004
"12 , 41",FL,Gilchrist County,30908,2004
"12 , 43",FL,Glades County,31598,2004
"12 , 45",FL,Gulf County,31543,2004
"12 , 47",FL,Hamilton County,25201,2004
"12 , 49",FL,Hardee County,27851,2004
"12 , 51",FL,Hendry County,31292,2004
"12 , 53",FL,Hernando County,33874,2004
"12 , 55",FL,Highlands County,29421,2004
"12 , 57",FL,Hillsborough County,43304,2004
"12 , 59",FL,Holmes County,27773,2004
"12 , 61",FL,Indian River County,40356,2004
"12 , 63",FL,Jackson County,29951,2004
"12 , 65",FL,Jefferson County,32742,2004
"12 , 67",FL,Lafayette County,27177,2004
"12 , 69",FL,Lake County,39040,2004
"12 , 71",FL,Lee County,41270,2004
"12 , 73",FL,Leon County,38084,2004
"12 , 75",FL,Levy County,27904,2004
"12 , 77",FL,Liberty County,29824,2004
"12 , 79",FL,Madison County,26592,2004
"12 , 81",FL,Manatee County,39756,2004
"12 , 83",FL,Marion County,33247,2004
"12 , 85",FL,Martin County,43136,2004
"12 , 86",FL,Miami-Dade County,33054,2004
"12 , 87",FL,Monroe County,41306,2004
"12 , 89",FL,Nassau County,48579,2004
"12 , 91",FL,Okaloosa County,43173,2004
"12 , 93",FL,Okeechobee County,29789,2004
"12 , 95",FL,Orange County,40671,2004
"12 , 97",FL,Osceola County,38966,2004
"12 , 99",FL,Palm Beach County,43014,2004
"12 , 101",FL,Pasco County,35386,2004
"12 , 103",FL,Pinellas County,36266,2004
"12 , 105",FL,Polk County,35125,2004
"12 , 107",FL,Putnam County,28664,2004
"12 , 109",FL,St. Johns County,52758,2004
"12 , 111",FL,St. Lucie County,37407,2004
"12 , 113",FL,Santa Rosa County,44636,2004
"12 , 115",FL,Sarasota County,42355,2004
"12 , 117",FL,Seminole County,49267,2004
"12 , 119",FL,Sumter County,34044,2004
"12 , 121",FL,Suwannee County,29523,2004
"12 , 123",FL,Taylor County,30871,2004
"12 , 125",FL,Union County,32847,2004
"12 , 127",FL,Volusia County,36100,2004
"12 , 129",FL,Wakulla County,38076,2004
"12 , 131",FL,Walton County,34884,2004
"12 , 133",FL,Washington County,28587,2004
"12 , 1",FL,Alachua County,33176,2005
"12 , 3",FL,Baker County,39281,2005
"12 , 5",FL,Bay County,37081,2005
"12 , 7",FL,Bradford County,32598,2005
"12 , 9",FL,Brevard County,42192,2005
"12 , 11",FL,Broward County,42673,2005
"12 , 13",FL,Calhoun County,26615,2005
"12 , 15",FL,Charlotte County,36514,2005
"12 , 17",FL,Citrus County,31932,2005
