State County FIPS,Postal Code,Name,Median Household Income,Year
"19 , 1",IA,Adair County,38529,2003
"19 , 3",IA,Adams County,32146,2003
"19 , 5",IA,Allamakee County,35212,2003
"19 , 7",IA,Appanoose County,30273,2003
"19 , 9",IA,Audubon County,35650,2003
"19 , 11",IA,Benton County,46956,2003
"19 , 13",IA,Black Hawk County,39459,2003
"19 , 15",IA,Boone County,43704,2003
"19 , 17",IA,Bremer County,44830,2003
"19 , 19",IA,Buchanan County,40130,2003
"19 , 21",IA,Buena Vista County,36530,2003
"19 , 23",IA,Butler County,38735,2003
"19 , 25",IA,Calhoun County,35369,2003
"19 , 27",IA,Carroll County,40594,2003
"19 , 29",IA,Cass County,34799,2003
"19 , 31",IA,Cedar County,45727,2003
"19 , 33",IA,Cerro Gordo County,37902,2003
"19 , 35",IA,Cherokee County,37853,2003
"19 , 37",IA,Chickasaw County,37562,2003
"19 , 39",IA,Clarke County,37500,2003
"19 , 41",IA,Clay County,39117,2003
"19 , 43",IA,Clayton County,36353,2003
"19 , 45",IA,Clinton County,38686,2003
"19 , 47",IA,Crawford County,36540,2003
"19 , 49",IA,Dallas County,56086,2003
"19 , 51",IA,Davis County,34042,2003
"19 , 53",IA,Decatur County,28208,2003
"19 , 55",IA,Delaware County,40118,2003
"19 , 57",IA,Des Moines County,37871,2003
"19 , 59",IA,Dickinson County,41645,2003
"19 , 61",IA,Dubuque County,41742,2003
"19 , 63",IA,Emmet County,35818,2003
"19 , 65",IA,Fayette County,33478,2003
"19 , 67",IA,Floyd County,37171,2003
"19 , 69",IA,Franklin County,37616,2003
"19 , 71",IA,Fremont County,39610,2003
"19 , 73",IA,Greene County,36187,2003
"19 , 75",IA,Grundy County,44540,2003
"19 , 77",IA,Guthrie County,39179,2003
"19 , 79",IA,Hamilton County,40524,2003
"19 , 81",IA,Hancock County,40491,2003
"19 , 83",IA,Hardin County,36970,2003
"19 , 85",IA,Harrison County,40191,2003
"19 , 87",IA,Henry County,40007,2003
"19 , 89",IA,Howard County,37144,2003
"19 , 91",IA,Humboldt County,39676,2003
