,State County FIPS,Postal Code,Name,Median Household Income,Year
549,"16 , 1",ID,Ada County,49512,2003
550,"16 , 3",ID,Adams County,30697,2003
551,"16 , 5",ID,Bannock County,38462,2003
552,"16 , 7",ID,Bear Lake County,34959,2003
553,"16 , 9",ID,Benewah County,33267,2003
554,"16 , 11",ID,Bingham County,37992,2003
555,"16 , 13",ID,Blaine County,52568,2003
556,"16 , 15",ID,Boise County,40024,2003
557,"16 , 17",ID,Bonner County,34362,2003
558,"16 , 19",ID,Bonneville County,45263,2003
559,"16 , 21",ID,Boundary County,32658,2003
560,"16 , 23",ID,Butte County,32176,2003
561,"16 , 25",ID,Camas County,35500,2003
562,"16 , 27",ID,Canyon County,37701,2003
563,"16 , 29",ID,Caribou County,41362,2003
564,"16 , 31",ID,Cassia County,34287,2003
565,"16 , 33",ID,Clark County,32218,2003
566,"16 , 35",ID,Clearwater County,33366,2003
567,"16 , 37",ID,Custer County,32854,2003
568,"16 , 39",ID,Elmore County,36748,2003
569,"16 , 41",ID,Franklin County,38922,2003
570,"16 , 43",ID,Fremont County,36174,2003
571,"16 , 45",ID,Gem County,35682,2003
572,"16 , 47",ID,Gooding County,33351,2003
573,"16 , 49",ID,Idaho County,30309,2003
574,"16 , 51",ID,Jefferson County,41522,2003
575,"16 , 53",ID,Jerome County,34844,2003
576,"16 , 55",ID,Kootenai County,40116,2003
577,"16 , 57",ID,Latah County,35639,2003
578,"16 , 59",ID,Lemhi County,30151,2003
579,"16 , 61",ID,Lewis County,33700,2003
580,"16 , 63",ID,Lincoln County,35669,2003
581,"16 , 65",ID,Madison County,32448,2003
582,"16 , 67",ID,Minidoka County,32272,2003
583,"16 , 69",ID,Nez Perce County,37151,2003
584,"16 , 71",ID,Oneida County,36421,2003
585,"16 , 73",ID,Owyhee County,29575,2003
586,"16 , 75",ID,Payette County,35551,2003
587,"16 , 77",ID,Power County,33083,2003
588,"16 , 79",ID,Shoshone County,29423,2003
589,"16 , 81",ID,Teton County,44338,2003
590,"16 , 83",ID,Twin Falls County,36415,2003
591,"16 , 85",ID,Valley County,39469,2003
592,"16 , 87",ID,Washington County,30922,2003
549,"16 , 1",ID,Ada County,49512,2004
550,"16 , 3",ID,Adams County,30697,2004
551,"16 , 5",ID,Bannock County,38462,2004
552,"16 , 7",ID,Bear Lake County,34959,2004
553,"16 , 9",ID,Benewah County,33267,2004
554,"16 , 11",ID,Bingham County,37992,2004
555,"16 , 13",ID,Blaine County,52568,2004
556,"16 , 15",ID,Boise County,40024,2004
557,"16 , 17",ID,Bonner County,34362,2004
558,"16 , 19",ID,Bonneville County,45263,2004
559,"16 , 21",ID,Boundary County,32658,2004
560,"16 , 23",ID,Butte County,32176,2004
561,"16 , 25",ID,Camas County,35500,2004
562,"16 , 27",ID,Canyon County,37701,2004
563,"16 , 29",ID,Caribou County,41362,2004
564,"16 , 31",ID,Cassia County,34287,2004
565,"16 , 33",ID,Clark County,32218,2004
566,"16 , 35",ID,Clearwater County,33366,2004
567,"16 , 37",ID,Custer County,32854,2004
568,"16 , 39",ID,Elmore County,36748,2004
569,"16 , 41",ID,Franklin County,38922,2004
570,"16 , 43",ID,Fremont County,36174,2004
571,"16 , 45",ID,Gem County,35682,2004
572,"16 , 47",ID,Gooding County,33351,2004
573,"16 , 49",ID,Idaho County,30309,2004
574,"16 , 51",ID,Jefferson County,41522,2004
575,"16 , 53",ID,Jerome County,34844,2004
576,"16 , 55",ID,Kootenai County,40116,2004
577,"16 , 57",ID,Latah County,35639,2004
578,"16 , 59",ID,Lemhi County,30151,2004
579,"16 , 61",ID,Lewis County,33700,2004
580,"16 , 63",ID,Lincoln County,35669,2004
581,"16 , 65",ID,Madison County,32448,2004
582,"16 , 67",ID,Minidoka County,32272,2004
583,"16 , 69",ID,Nez Perce County,37151,2004
584,"16 , 71",ID,Oneida County,36421,2004
585,"16 , 73",ID,Owyhee County,29575,2004
586,"16 , 75",ID,Payette County,35551,2004
587,"16 , 77",ID,Power County,33083,2004
588,"16 , 79",ID,Shoshone County,29423,2004
589,"16 , 81",ID,Teton County,44338,2004
590,"16 , 83",ID,Twin Falls County,36415,2004
591,"16 , 85",ID,Valley County,39469,2004
592,"16 , 87",ID,Washington County,30922,2004
549,"16 , 1",ID,Ada County,49512,2005
550,"16 , 3",ID,Adams County,30697,2005
551,"16 , 5",ID,Bannock County,38462,2005
552,"16 , 7",ID,Bear Lake County,34959,2005
553,"16 , 9",ID,Benewah County,33267,2005
554,"16 , 11",ID,Bingham County,37992,2005
555,"16 , 13",ID,Blaine County,52568,2005
556,"16 , 15",ID,Boise County,40024,2005
557,"16 , 17",ID,Bonner County,34362,2005
558,"16 , 19",ID,Bonneville County,45263,2005
559,"16 , 21",ID,Boundary County,32658,2005
560,"16 , 23",ID,Butte County,32176,2005
561,"16 , 25",ID,Camas County,35500,2005
562,"16 , 27",ID,Canyon County,37701,2005
563,"16 , 29",ID,Caribou County,41362,2005
564,"16 , 31",ID,Cassia County,34287,2005
565,"16 , 33",ID,Clark County,32218,2005
566,"16 , 35",ID,Clearwater County,33366,2005
567,"16 , 37",ID,Custer County,32854,2005
568,"16 , 39",ID,Elmore County,36748,2005
569,"16 , 41",ID,Franklin County,38922,2005
570,"16 , 43",ID,Fremont County,36174,2005
571,"16 , 45",ID,Gem County,35682,2005
572,"16 , 47",ID,Gooding County,33351,2005
573,"16 , 49",ID,Idaho County,30309,2005
574,"16 , 51",ID,Jefferson County,41522,2005
575,"16 , 53",ID,Jerome County,34844,2005
576,"16 , 55",ID,Kootenai County,40116,2005
577,"16 , 57",ID,Latah County,35639,2005
578,"16 , 59",ID,Lemhi County,30151,2005
579,"16 , 61",ID,Lewis County,33700,2005
580,"16 , 63",ID,Lincoln County,35669,2005
581,"16 , 65",ID,Madison County,32448,2005
582,"16 , 67",ID,Minidoka County,32272,2005
583,"16 , 69",ID,Nez Perce County,37151,2005
584,"16 , 71",ID,Oneida County,36421,2005
585,"16 , 73",ID,Owyhee County,29575,2005
586,"16 , 75",ID,Payette County,35551,2005
587,"16 , 77",ID,Power County,33083,2005
588,"16 , 79",ID,Shoshone County,29423,2005
589,"16 , 81",ID,Teton County,44338,2005
590,"16 , 83",ID,Twin Falls County,36415,2005
591,"16 , 85",ID,Valley County,39469,2005
592,"16 , 87",ID,Washington County,30922,2005
549,"16 , 1",ID,Ada County,49512,2006
550,"16 , 3",ID,Adams County,30697,2006
551,"16 , 5",ID,Bannock County,38462,2006
552,"16 , 7",ID,Bear Lake County,34959,2006
553,"16 , 9",ID,Benewah County,33267,2006
554,"16 , 11",ID,Bingham County,37992,2006
555,"16 , 13",ID,Blaine County,52568,2006
556,"16 , 15",ID,Boise County,40024,2006
557,"16 , 17",ID,Bonner County,34362,2006
558,"16 , 19",ID,Bonneville County,45263,2006
559,"16 , 21",ID,Boundary County,32658,2006
560,"16 , 23",ID,Butte County,32176,2006
561,"16 , 25",ID,Camas County,35500,2006
562,"16 , 27",ID,Canyon County,37701,2006
563,"16 , 29",ID,Caribou County,41362,2006
564,"16 , 31",ID,Cassia County,34287,2006
565,"16 , 33",ID,Clark County,32218,2006
566,"16 , 35",ID,Clearwater County,33366,2006
567,"16 , 37",ID,Custer County,32854,2006
568,"16 , 39",ID,Elmore County,36748,2006
569,"16 , 41",ID,Franklin County,38922,2006
570,"16 , 43",ID,Fremont County,36174,2006
