State County FIPS,Postal Code,Name,Median Household Income,Year
"17 , 1",IL,Adams County,37195,2003
"17 , 3",IL,Alexander County,25316,2003
"17 , 5",IL,Bond County,38468,2003
"17 , 7",IL,Boone County,53184,2003
"17 , 9",IL,Brown County,35520,2003
"17 , 11",IL,Bureau County,41960,2003
"17 , 13",IL,Calhoun County,37849,2003
"17 , 15",IL,Carroll County,37457,2003
"17 , 17",IL,Cass County,36154,2003
"17 , 19",IL,Champaign County,39381,2003
"17 , 21",IL,Christian County,38301,2003
"17 , 23",IL,Clark County,37434,2003
"17 , 25",IL,Clay County,32850,2003
"17 , 27",IL,Clinton County,46985,2003
"17 , 29",IL,Coles County,33793,2003
"17 , 31",IL,Cook County,42723,2003
"17 , 33",IL,Crawford County,35570,2003
"17 , 35",IL,Cumberland County,37591,2003
"17 , 37",IL,DeKalb County,46054,2003
"17 , 39",IL,De Witt County,42052,2003
"17 , 41",IL,Douglas County,42700,2003
"17 , 43",IL,DuPage County,64377,2003
"17 , 45",IL,Edgar County,34985,2003
"17 , 47",IL,Edwards County,36349,2003
"17 , 49",IL,Effingham County,41797,2003
"17 , 51",IL,Fayette County,32629,2003
"17 , 53",IL,Ford County,40978,2003
"17 , 55",IL,Franklin County,31173,2003
"17 , 57",IL,Fulton County,35458,2003
"17 , 59",IL,Gallatin County,28413,2003
"17 , 61",IL,Greene County,33687,2003
"17 , 63",IL,Grundy County,56437,2003
"17 , 65",IL,Hamilton County,32046,2003
"17 , 67",IL,Hancock County,38060,2003
"17 , 69",IL,Hardin County,29775,2003
"17 , 71",IL,Henderson County,37024,2003
"17 , 73",IL,Henry County,42500,2003
"17 , 75",IL,Iroquois County,38932,2003
"17 , 77",IL,Jackson County,27093,2003
"17 , 79",IL,Jasper County,37733,2003
"17 , 81",IL,Jefferson County,34678,2003
"17 , 83",IL,Jersey County,43789,2003
"17 , 85",IL,Jo Daviess County,41738,2003
"17 , 87",IL,Johnson County,34867,2003
"17 , 89",IL,Kane County,59786,2003
"17 , 91",IL,Kankakee County,42002,2003
"17 , 93",IL,Kendall County,72061,2003
"17 , 95",IL,Knox County,35093,2003
"17 , 97",IL,Lake County,66447,2003
"17 , 99",IL,La Salle County,41923,2003
"17 , 101",IL,Lawrence County,31836,2003
"17 , 103",IL,Lee County,41893,2003
"17 , 105",IL,Livingston County,43812,2003
"17 , 107",IL,Logan County,39020,2003
"17 , 109",IL,McDonough County,31782,2003
"17 , 111",IL,McHenry County,68225,2003
"17 , 113",IL,McLean County,50317,2003
"17 , 115",IL,Macon County,37410,2003
"17 , 117",IL,Macoupin County,38609,2003
"17 , 119",IL,Madison County,43835,2003
