,State County FIPS,Postal Code,Name,Median Household Income,Year
695,"18 , 1",IN,Adams County,42058,2003
696,"18 , 3",IN,Allen County,43059,2003
697,"18 , 5",IN,Bartholomew County,45671,2003
698,"18 , 7",IN,Benton County,39640,2003
699,"18 , 9",IN,Blackford County,36376,2003
700,"18 , 11",IN,Boone County,57515,2003
701,"18 , 13",IN,Brown County,45699,2003
702,"18 , 15",IN,Carroll County,44709,2003
703,"18 , 17",IN,Cass County,38861,2003
704,"18 , 19",IN,Clark County,41578,2003
705,"18 , 21",IN,Clay County,38690,2003
706,"18 , 23",IN,Clinton County,41158,2003
707,"18 , 25",IN,Crawford County,34912,2003
708,"18 , 27",IN,Daviess County,36061,2003
709,"18 , 29",IN,Dearborn County,52765,2003
710,"18 , 31",IN,Decatur County,43059,2003
711,"18 , 33",IN,De Kalb County,45798,2003
712,"18 , 35",IN,Delaware County,35316,2003
713,"18 , 37",IN,Dubois County,49335,2003
714,"18 , 39",IN,Elkhart County,45333,2003
715,"18 , 41",IN,Fayette County,39314,2003
716,"18 , 43",IN,Floyd County,45186,2003
717,"18 , 45",IN,Fountain County,39239,2003
718,"18 , 47",IN,Franklin County,46998,2003
719,"18 , 49",IN,Fulton County,39479,2003
720,"18 , 51",IN,Gibson County,43143,2003
721,"18 , 53",IN,Grant County,36703,2003
722,"18 , 55",IN,Greene County,36463,2003
723,"18 , 57",IN,Hamilton County,80876,2003
724,"18 , 59",IN,Hancock County,58942,2003
725,"18 , 61",IN,Harrison County,45689,2003
726,"18 , 63",IN,Hendricks County,61595,2003
727,"18 , 65",IN,Henry County,40747,2003
728,"18 , 67",IN,Howard County,45952,2003
729,"18 , 69",IN,Huntington County,42351,2003
730,"18 , 71",IN,Jackson County,41585,2003
731,"18 , 73",IN,Jasper County,46027,2003
732,"18 , 75",IN,Jay County,35885,2003
733,"18 , 77",IN,Jefferson County,39813,2003
734,"18 , 79",IN,Jennings County,39551,2003
735,"18 , 81",IN,Johnson County,54109,2003
736,"18 , 83",IN,Knox County,33392,2003
737,"18 , 85",IN,Kosciusko County,47134,2003
738,"18 , 87",IN,Lagrange County,44458,2003
739,"18 , 89",IN,Lake County,39824,2003
740,"18 , 91",IN,La Porte County,40193,2003
741,"18 , 93",IN,Lawrence County,38606,2003
742,"18 , 95",IN,Madison County,39539,2003
743,"18 , 97",IN,Marion County,41478,2003
744,"18 , 99",IN,Marshall County,43051,2003
745,"18 , 101",IN,Martin County,38079,2003
746,"18 , 103",IN,Miami County,39553,2003
747,"18 , 105",IN,Monroe County,35722,2003
748,"18 , 107",IN,Montgomery County,41444,2003
749,"18 , 109",IN,Morgan County,49669,2003
750,"18 , 111",IN,Newton County,40916,2003
751,"18 , 113",IN,Noble County,43217,2003
752,"18 , 115",IN,Ohio County,41587,2003
753,"18 , 117",IN,Orange County,32784,2003
754,"18 , 119",IN,Owen County,37368,2003
755,"18 , 121",IN,Parke County,36370,2003
756,"18 , 123",IN,Perry County,38643,2003
757,"18 , 125",IN,Pike County,37860,2003
758,"18 , 127",IN,Porter County,54803,2003
759,"18 , 129",IN,Posey County,48980,2003
760,"18 , 131",IN,Pulaski County,37066,2003
761,"18 , 133",IN,Putnam County,41313,2003
762,"18 , 135",IN,Randolph County,36925,2003
763,"18 , 137",IN,Ripley County,43657,2003
764,"18 , 139",IN,Rush County,40186,2003
765,"18 , 141",IN,St. Joseph County,40350,2003
766,"18 , 143",IN,Scott County,35901,2003
767,"18 , 145",IN,Shelby County,44255,2003
768,"18 , 147",IN,Spencer County,44550,2003
769,"18 , 149",IN,Starke County,36871,2003
770,"18 , 151",IN,Steuben County,42029,2003
771,"18 , 153",IN,Sullivan County,34374,2003
772,"18 , 155",IN,Switzerland County,36589,2003
773,"18 , 157",IN,Tippecanoe County,39607,2003
774,"18 , 159",IN,Tipton County,49753,2003
775,"18 , 161",IN,Union County,39035,2003
776,"18 , 163",IN,Vanderburgh County,38360,2003
777,"18 , 165",IN,Vermillion County,38282,2003
778,"18 , 167",IN,Vigo County,34630,2003
779,"18 , 169",IN,Wabash County,40647,2003
780,"18 , 171",IN,Warren County,43404,2003
781,"18 , 173",IN,Warrick County,53901,2003
782,"18 , 175",IN,Washington County,37427,2003
783,"18 , 177",IN,Wayne County,35911,2003
784,"18 , 179",IN,Wells County,44382,2003
785,"18 , 181",IN,White County,39566,2003
786,"18 , 183",IN,Whitley County,47499,2003
695,"18 , 1",IN,Adams County,42058,2004
696,"18 , 3",IN,Allen County,43059,2004
697,"18 , 5",IN,Bartholomew County,45671,2004
698,"18 , 7",IN,Benton County,39640,2004
699,"18 , 9",IN,Blackford County,36376,2004
700,"18 , 11",IN,Boone County,57515,2004
701,"18 , 13",IN,Brown County,45699,2004
702,"18 , 15",IN,Carroll County,44709,2004
703,"18 , 17",IN,Cass County,38861,2004
704,"18 , 19",IN,Clark County,41578,2004
705,"18 , 21",IN,Clay County,38690,2004
706,"18 , 23",IN,Clinton County,41158,2004
707,"18 , 25",IN,Crawford County,34912,2004
708,"18 , 27",IN,Daviess County,36061,2004
709,"18 , 29",IN,Dearborn County,52765,2004
710,"18 , 31",IN,Decatur County,43059,2004
711,"18 , 33",IN,De Kalb County,45798,2004
712,"18 , 35",IN,Delaware County,35316,2004
713,"18 , 37",IN,Dubois County,49335,2004
714,"18 , 39",IN,Elkhart County,45333,2004
715,"18 , 41",IN,Fayette County,39314,2004
716,"18 , 43",IN,Floyd County,45186,2004
717,"18 , 45",IN,Fountain County,39239,2004
718,"18 , 47",IN,Franklin County,46998,2004
719,"18 , 49",IN,Fulton County,39479,2004
720,"18 , 51",IN,Gibson County,43143,2004
721,"18 , 53",IN,Grant County,36703,2004
722,"18 , 55",IN,Greene County,36463,2004
723,"18 , 57",IN,Hamilton County,80876,2004
724,"18 , 59",IN,Hancock County,58942,2004
725,"18 , 61",IN,Harrison County,45689,2004
726,"18 , 63",IN,Hendricks County,61595,2004
727,"18 , 65",IN,Henry County,40747,2004
728,"18 , 67",IN,Howard County,45952,2004
729,"18 , 69",IN,Huntington County,42351,2004
730,"18 , 71",IN,Jackson County,41585,2004
731,"18 , 73",IN,Jasper County,46027,2004
732,"18 , 75",IN,Jay County,35885,2004
733,"18 , 77",IN,Jefferson County,39813,2004
734,"18 , 79",IN,Jennings County,39551,2004
735,"18 , 81",IN,Johnson County,54109,2004
736,"18 , 83",IN,Knox County,33392,2004
737,"18 , 85",IN,Kosciusko County,47134,2004
738,"18 , 87",IN,Lagrange County,44458,2004
739,"18 , 89",IN,Lake County,39824,2004
740,"18 , 91",IN,La Porte County,40193,2004
741,"18 , 93",IN,Lawrence County,38606,2004
742,"18 , 95",IN,Madison County,39539,2004
743,"18 , 97",IN,Marion County,41478,2004
744,"18 , 99",IN,Marshall County,43051,2004
745,"18 , 101",IN,Martin County,38079,2004
746,"18 , 103",IN,Miami County,39553,2004
747,"18 , 105",IN,Monroe County,35722,2004
748,"18 , 107",IN,Montgomery County,41444,2004
