State County FIPS,Postal Code,Name,Median Household Income,Year
"20 , 1",KS,Allen County,32416,2003
"20 , 3",KS,Anderson County,35002,2003
"20 , 5",KS,Atchison County,36022,2003
"20 , 7",KS,Barber County,35331,2003
"20 , 9",KS,Barton County,34423,2003
"20 , 11",KS,Bourbon County,32400,2003
"20 , 13",KS,Brown County,33565,2003
"20 , 15",KS,Butler County,48208,2003
"20 , 17",KS,Chase County,32716,2003
"20 , 19",KS,Chautauqua County,30507,2003
"20 , 21",KS,Cherokee County,32185,2003
"20 , 23",KS,Cheyenne County,28175,2003
"20 , 25",KS,Clark County,34592,2003
"20 , 27",KS,Clay County,35111,2003
"20 , 29",KS,Cloud County,32371,2003
"20 , 31",KS,Coffey County,41485,2003
"20 , 33",KS,Comanche County,31743,2003
"20 , 35",KS,Cowley County,36025,2003
"20 , 37",KS,Crawford County,30858,2003
"20 , 39",KS,Decatur County,29399,2003
"20 , 41",KS,Dickinson County,37192,2003
"20 , 43",KS,Doniphan County,33841,2003
"20 , 45",KS,Douglas County,39000,2003
"20 , 47",KS,Edwards County,31170,2003
"20 , 49",KS,Elk County,27704,2003
"20 , 51",KS,Ellis County,35440,2003
"20 , 53",KS,Ellsworth County,36018,2003
"20 , 55",KS,Finney County,37262,2003
"20 , 57",KS,Ford County,36464,2003
"20 , 59",KS,Franklin County,41194,2003
"20 , 61",KS,Geary County,32910,2003
"20 , 63",KS,Gove County,32376,2003
"20 , 65",KS,Graham County,33103,2003
"20 , 67",KS,Grant County,42648,2003
"20 , 69",KS,Gray County,39741,2003
"20 , 71",KS,Greeley County,34813,2003
"20 , 73",KS,Greenwood County,30340,2003
"20 , 75",KS,Hamilton County,34028,2003
"20 , 77",KS,Harper County,31845,2003
"20 , 79",KS,Harvey County,42799,2003
"20 , 81",KS,Haskell County,38333,2003
"20 , 83",KS,Hodgeman County,34358,2003
"20 , 85",KS,Jackson County,42210,2003
"20 , 87",KS,Jefferson County,46632,2003
"20 , 89",KS,Jewell County,31069,2003
"20 , 91",KS,Johnson County,66783,2003
"20 , 93",KS,Kearny County,38460,2003
