,State County FIPS,Postal Code,Name,Median Household Income,Year
991,"21 , 1",KY,Adair County,25266,2003
992,"21 , 3",KY,Allen County,33839,2003
993,"21 , 5",KY,Anderson County,47435,2003
994,"21 , 7",KY,Ballard County,35052,2003
995,"21 , 9",KY,Barren County,32932,2003
996,"21 , 11",KY,Bath County,28484,2003
997,"21 , 13",KY,Bell County,21257,2003
998,"21 , 15",KY,Boone County,57704,2003
999,"21 , 17",KY,Bourbon County,36768,2003
1000,"21 , 19",KY,Boyd County,34699,2003
1001,"21 , 21",KY,Boyle County,36750,2003
1002,"21 , 23",KY,Bracken County,37379,2003
1003,"21 , 25",KY,Breathitt County,21932,2003
1004,"21 , 27",KY,Breckinridge County,33250,2003
1005,"21 , 29",KY,Bullitt County,48192,2003
1006,"21 , 31",KY,Butler County,30696,2003
1007,"21 , 33",KY,Caldwell County,31393,2003
1008,"21 , 35",KY,Calloway County,31082,2003
1009,"21 , 37",KY,Campbell County,43779,2003
1010,"21 , 39",KY,Carlisle County,32397,2003
1011,"21 , 41",KY,Carroll County,38807,2003
1012,"21 , 43",KY,Carter County,29100,2003
1013,"21 , 45",KY,Casey County,24201,2003
1014,"21 , 47",KY,Christian County,31108,2003
1015,"21 , 49",KY,Clark County,41627,2003
1016,"21 , 51",KY,Clay County,18835,2003
1017,"21 , 53",KY,Clinton County,22994,2003
1018,"21 , 55",KY,Crittenden County,30043,2003
1019,"21 , 57",KY,Cumberland County,22874,2003
1020,"21 , 59",KY,Daviess County,39120,2003
1021,"21 , 61",KY,Edmonson County,29147,2003
1022,"21 , 63",KY,Elliott County,24159,2003
1023,"21 , 65",KY,Estill County,25660,2003
1024,"21 , 67",KY,Fayette County,40896,2003
1025,"21 , 69",KY,Fleming County,29857,2003
1026,"21 , 71",KY,Floyd County,24310,2003
1027,"21 , 73",KY,Franklin County,42265,2003
1028,"21 , 75",KY,Fulton County,26706,2003
1029,"21 , 77",KY,Gallatin County,34999,2003
1030,"21 , 79",KY,Garrard County,37900,2003
1031,"21 , 81",KY,Grant County,41213,2003
1032,"21 , 83",KY,Graves County,32636,2003
1033,"21 , 85",KY,Grayson County,29315,2003
1034,"21 , 87",KY,Green County,27378,2003
1035,"21 , 89",KY,Greenup County,34531,2003
1036,"21 , 91",KY,Hancock County,41640,2003
1037,"21 , 93",KY,Hardin County,42184,2003
1038,"21 , 95",KY,Harlan County,21802,2003
1039,"21 , 97",KY,Harrison County,37776,2003
1040,"21 , 99",KY,Hart County,26637,2003
1041,"21 , 101",KY,Henderson County,38247,2003
