State County FIPS,Postal Code,Name,Median Household Income,Year
"22 , 1",LA,Acadia Parish,29671,2003
"22 , 3",LA,Allen Parish,28552,2003
"22 , 5",LA,Ascension Parish,47959,2003
"22 , 7",LA,Assumption Parish,35296,2003
"22 , 9",LA,Avoyelles Parish,25490,2003
"22 , 11",LA,Beauregard Parish,34447,2003
"22 , 13",LA,Bienville Parish,25695,2003
"22 , 15",LA,Bossier Parish,40631,2003
"22 , 17",LA,Caddo Parish,32652,2003
"22 , 19",LA,Calcasieu Parish,36646,2003
"22 , 21",LA,Caldwell Parish,27934,2003
"22 , 23",LA,Cameron Parish,36132,2003
"22 , 25",LA,Catahoula Parish,24456,2003
"22 , 27",LA,Claiborne Parish,26888,2003
"22 , 29",LA,Concordia Parish,24480,2003
"22 , 31",LA,De Soto Parish,29875,2003
"22 , 33",LA,East Baton Rouge Parish,37297,2003
"22 , 35",LA,East Carroll Parish,20412,2003
"22 , 37",LA,East Feliciana Parish,31345,2003
"22 , 39",LA,Evangeline Parish,23688,2003
"22 , 41",LA,Franklin Parish,24275,2003
"22 , 43",LA,Grant Parish,31367,2003
"22 , 45",LA,Iberia Parish,33060,2003
"22 , 47",LA,Iberville Parish,30240,2003
"22 , 49",LA,Jackson Parish,30774,2003
"22 , 51",LA,Jefferson Parish,38077,2003
"22 , 53",LA,Jefferson Davis Parish,30561,2003
"22 , 55",LA,Lafayette Parish,39095,2003
"22 , 57",LA,Lafourche Parish,38360,2003
"22 , 59",LA,La Salle Parish,30556,2003
"22 , 61",LA,Lincoln Parish,28453,2003
"22 , 63",LA,Livingston Parish,42006,2003
"22 , 65",LA,Madison Parish,22559,2003
"22 , 67",LA,Morehouse Parish,26302,2003
"22 , 69",LA,Natchitoches Parish,27364,2003
"22 , 71",LA,Orleans Parish,27478,2003
"22 , 73",LA,Ouachita Parish,32808,2003
"22 , 75",LA,Plaquemines Parish,38343,2003
"22 , 77",LA,Pointe Coupee Parish,31886,2003
"22 , 79",LA,Rapides Parish,31715,2003
"22 , 81",LA,Red River Parish,24294,2003
"22 , 83",LA,Richland Parish,24962,2003
"22 , 85",LA,Sabine Parish,29623,2003
"22 , 87",LA,St. Bernard Parish,36208,2003
"22 , 89",LA,St. Charles Parish,45492,2003
"22 , 91",LA,St. Helena Parish,29026,2003
"22 , 93",LA,St. James Parish,36353,2003
"22 , 95",LA,St. John the Baptist Parish,39034,2003
"22 , 97",LA,St. Landry Parish,25659,2003
"22 , 99",LA,St. Martin Parish,31020,2003
"22 , 101",LA,St. Mary Parish,31514,2003
