,State County FIPS,Postal Code,Name,Median Household Income,Year
1215,"25 , 1",MA,Barnstable County,47915,2003
1216,"25 , 3",MA,Berkshire County,40326,2003
1217,"25 , 5",MA,Bristol County,44883,2003
1218,"25 , 7",MA,Dukes County,49292,2003
1219,"25 , 9",MA,Essex County,50731,2003
1220,"25 , 11",MA,Franklin County,42305,2003
1221,"25 , 13",MA,Hampden County,39938,2003
1222,"25 , 15",MA,Hampshire County,46782,2003
1223,"25 , 17",MA,Middlesex County,62054,2003
1224,"25 , 19",MA,Nantucket County,55510,2003
1225,"25 , 21",MA,Norfolk County,64599,2003
1226,"25 , 23",MA,Plymouth County,57381,2003
1227,"25 , 25",MA,Suffolk County,40089,2003
1228,"25 , 27",MA,Worcester County,49932,2003
1215,"25 , 1",MA,Barnstable County,47915,2004
1216,"25 , 3",MA,Berkshire County,40326,2004
1217,"25 , 5",MA,Bristol County,44883,2004
1218,"25 , 7",MA,Dukes County,49292,2004
1219,"25 , 9",MA,Essex County,50731,2004
1220,"25 , 11",MA,Franklin County,42305,2004
1221,"25 , 13",MA,Hampden County,39938,2004
1222,"25 , 15",MA,Hampshire County,46782,2004
1223,"25 , 17",MA,Middlesex County,62054,2004
1224,"25 , 19",MA,Nantucket County,55510,2004
1225,"25 , 21",MA,Norfolk County,64599,2004
1226,"25 , 23",MA,Plymouth County,57381,2004
1227,"25 , 25",MA,Suffolk County,40089,2004
1228,"25 , 27",MA,Worcester County,49932,2004
1215,"25 , 1",MA,Barnstable County,47915,2005
1216,"25 , 3",MA,Berkshire County,40326,2005
1217,"25 , 5",MA,Bristol County,44883,2005
1218,"25 , 7",MA,Dukes County,49292,2005
1219,"25 , 9",MA,Essex County,50731,2005
1220,"25 , 11",MA,Franklin County,42305,2005
1221,"25 , 13",MA,Hampden County,39938,2005
1222,"25 , 15",MA,Hampshire County,46782,2005
1223,"25 , 17",MA,Middlesex County,62054,2005
1224,"25 , 19",MA,Nantucket County,55510,2005
1225,"25 , 21",MA,Norfolk County,64599,2005
1226,"25 , 23",MA,Plymouth County,57381,2005
1227,"25 , 25",MA,Suffolk County,40089,2005
1228,"25 , 27",MA,Worcester County,49932,2005
1215,"25 , 1",MA,Barnstable County,47915,2006
1216,"25 , 3",MA,Berkshire County,40326,2006
1217,"25 , 5",MA,Bristol County,44883,2006
1218,"25 , 7",MA,Dukes County,49292,2006
1219,"25 , 9",MA,Essex County,50731,2006
1220,"25 , 11",MA,Franklin County,42305,2006
1221,"25 , 13",MA,Hampden County,39938,2006
1222,"25 , 15",MA,Hampshire County,46782,2006
1223,"25 , 17",MA,Middlesex County,62054,2006
1224,"25 , 19",MA,Nantucket County,55510,2006
1225,"25 , 21",MA,Norfolk County,64599,2006
1226,"25 , 23",MA,Plymouth County,57381,2006
1227,"25 , 25",MA,Suffolk County,40089,2006
1228,"25 , 27",MA,Worcester County,49932,2006
1215,"25 , 1",MA,Barnstable County,47915,2007
1216,"25 , 3",MA,Berkshire County,40326,2007
1217,"25 , 5",MA,Bristol County,44883,2007
1218,"25 , 7",MA,Dukes County,49292,2007
1219,"25 , 9",MA,Essex County,50731,2007
1220,"25 , 11",MA,Franklin County,42305,2007
