,State County FIPS,Postal Code,Name,Median Household Income,Year
1191,"24 , 1",MD,Allegany County,32560,2003
1192,"24 , 3",MD,Anne Arundel County,64362,2003
1193,"24 , 5",MD,Baltimore County,50256,2003
1194,"24 , 9",MD,Calvert County,71570,2003
1195,"24 , 11",MD,Caroline County,39288,2003
1196,"24 , 13",MD,Carroll County,66674,2003
1197,"24 , 15",MD,Cecil County,52858,2003
1198,"24 , 17",MD,Charles County,66031,2003
1199,"24 , 19",MD,Dorchester County,34689,2003
1200,"24 , 21",MD,Frederick County,66514,2003
1201,"24 , 23",MD,Garrett County,34648,2003
1202,"24 , 25",MD,Harford County,62000,2003
1203,"24 , 27",MD,Howard County,79607,2003
1204,"24 , 29",MD,Kent County,41707,2003
1205,"24 , 31",MD,Montgomery County,76669,2003
1206,"24 , 33",MD,Prince George's County,53716,2003
1207,"24 , 35",MD,Queen Anne's County,61107,2003
1208,"24 , 37",MD,St. Mary's County,58742,2003
1209,"24 , 39",MD,Somerset County,29546,2003
1210,"24 , 41",MD,Talbot County,48105,2003
1211,"24 , 43",MD,Washington County,43931,2003
1212,"24 , 45",MD,Wicomico County,40102,2003
1213,"24 , 47",MD,Worcester County,42165,2003
1214,"24 , 510",MD,Baltimore city,29162,2003
1191,"24 , 1",MD,Allegany County,32560,2004
1192,"24 , 3",MD,Anne Arundel County,64362,2004
1193,"24 , 5",MD,Baltimore County,50256,2004
1194,"24 , 9",MD,Calvert County,71570,2004
1195,"24 , 11",MD,Caroline County,39288,2004
1196,"24 , 13",MD,Carroll County,66674,2004
1197,"24 , 15",MD,Cecil County,52858,2004
1198,"24 , 17",MD,Charles County,66031,2004
1199,"24 , 19",MD,Dorchester County,34689,2004
1200,"24 , 21",MD,Frederick County,66514,2004
1201,"24 , 23",MD,Garrett County,34648,2004
1202,"24 , 25",MD,Harford County,62000,2004
1203,"24 , 27",MD,Howard County,79607,2004
1204,"24 , 29",MD,Kent County,41707,2004
1205,"24 , 31",MD,Montgomery County,76669,2004
1206,"24 , 33",MD,Prince George's County,53716,2004
1207,"24 , 35",MD,Queen Anne's County,61107,2004
1208,"24 , 37",MD,St. Mary's County,58742,2004
1209,"24 , 39",MD,Somerset County,29546,2004
1210,"24 , 41",MD,Talbot County,48105,2004
1211,"24 , 43",MD,Washington County,43931,2004
1212,"24 , 45",MD,Wicomico County,40102,2004
1213,"24 , 47",MD,Worcester County,42165,2004
1214,"24 , 510",MD,Baltimore city,29162,2004
1191,"24 , 1",MD,Allegany County,32560,2005
1192,"24 , 3",MD,Anne Arundel County,64362,2005
1193,"24 , 5",MD,Baltimore County,50256,2005
1194,"24 , 9",MD,Calvert County,71570,2005
1195,"24 , 11",MD,Caroline County,39288,2005
1196,"24 , 13",MD,Carroll County,66674,2005
1197,"24 , 15",MD,Cecil County,52858,2005
1198,"24 , 17",MD,Charles County,66031,2005
1199,"24 , 19",MD,Dorchester County,34689,2005
1200,"24 , 21",MD,Frederick County,66514,2005
1201,"24 , 23",MD,Garrett County,34648,2005
1202,"24 , 25",MD,Harford County,62000,2005
1203,"24 , 27",MD,Howard County,79607,2005
1204,"24 , 29",MD,Kent County,41707,2005
1205,"24 , 31",MD,Montgomery County,76669,2005
1206,"24 , 33",MD,Prince George's County,53716,2005
1207,"24 , 35",MD,Queen Anne's County,61107,2005
1208,"24 , 37",MD,St. Mary's County,58742,2005
1209,"24 , 39",MD,Somerset County,29546,2005
1210,"24 , 41",MD,Talbot County,48105,2005
1211,"24 , 43",MD,Washington County,43931,2005
1212,"24 , 45",MD,Wicomico County,40102,2005
1213,"24 , 47",MD,Worcester County,42165,2005
1214,"24 , 510",MD,Baltimore city,29162,2005
1191,"24 , 1",MD,Allegany County,32560,2006
1192,"24 , 3",MD,Anne Arundel County,64362,2006
1193,"24 , 5",MD,Baltimore County,50256,2006
1194,"24 , 9",MD,Calvert County,71570,2006
1195,"24 , 11",MD,Caroline County,39288,2006
1196,"24 , 13",MD,Carroll County,66674,2006
1197,"24 , 15",MD,Cecil County,52858,2006
1198,"24 , 17",MD,Charles County,66031,2006
1199,"24 , 19",MD,Dorchester County,34689,2006
1200,"24 , 21",MD,Frederick County,66514,2006
1201,"24 , 23",MD,Garrett County,34648,2006
1202,"24 , 25",MD,Harford County,62000,2006
1203,"24 , 27",MD,Howard County,79607,2006
1204,"24 , 29",MD,Kent County,41707,2006
1205,"24 , 31",MD,Montgomery County,76669,2006
1206,"24 , 33",MD,Prince George's County,53716,2006
1207,"24 , 35",MD,Queen Anne's County,61107,2006
1208,"24 , 37",MD,St. Mary's County,58742,2006
1209,"24 , 39",MD,Somerset County,29546,2006
1210,"24 , 41",MD,Talbot County,48105,2006
1211,"24 , 43",MD,Washington County,43931,2006
1212,"24 , 45",MD,Wicomico County,40102,2006
1213,"24 , 47",MD,Worcester County,42165,2006
1214,"24 , 510",MD,Baltimore city,29162,2006
1191,"24 , 1",MD,Allegany County,32560,2007
1192,"24 , 3",MD,Anne Arundel County,64362,2007
1193,"24 , 5",MD,Baltimore County,50256,2007
1194,"24 , 9",MD,Calvert County,71570,2007
1195,"24 , 11",MD,Caroline County,39288,2007
1196,"24 , 13",MD,Carroll County,66674,2007
1197,"24 , 15",MD,Cecil County,52858,2007
1198,"24 , 17",MD,Charles County,66031,2007
1199,"24 , 19",MD,Dorchester County,34689,2007
1200,"24 , 21",MD,Frederick County,66514,2007
1201,"24 , 23",MD,Garrett County,34648,2007
1202,"24 , 25",MD,Harford County,62000,2007
1203,"24 , 27",MD,Howard County,79607,2007
1204,"24 , 29",MD,Kent County,41707,2007
1205,"24 , 31",MD,Montgomery County,76669,2007
1206,"24 , 33",MD,Prince George's County,53716,2007
1207,"24 , 35",MD,Queen Anne's County,61107,2007
1208,"24 , 37",MD,St. Mary's County,58742,2007
1209,"24 , 39",MD,Somerset County,29546,2007
1210,"24 , 41",MD,Talbot County,48105,2007
1211,"24 , 43",MD,Washington County,43931,2007
1212,"24 , 45",MD,Wicomico County,40102,2007
1213,"24 , 47",MD,Worcester County,42165,2007
1214,"24 , 510",MD,Baltimore city,29162,2007
1191,"24 , 1",MD,Allegany County,32560,2008
1192,"24 , 3",MD,Anne Arundel County,64362,2008
1193,"24 , 5",MD,Baltimore County,50256,2008
1194,"24 , 9",MD,Calvert County,71570,2008
1195,"24 , 11",MD,Caroline County,39288,2008
1196,"24 , 13",MD,Carroll County,66674,2008
1197,"24 , 15",MD,Cecil County,52858,2008
1198,"24 , 17",MD,Charles County,66031,2008
1199,"24 , 19",MD,Dorchester County,34689,2008
1200,"24 , 21",MD,Frederick County,66514,2008
1201,"24 , 23",MD,Garrett County,34648,2008
1202,"24 , 25",MD,Harford County,62000,2008
1203,"24 , 27",MD,Howard County,79607,2008
1204,"24 , 29",MD,Kent County,41707,2008
1205,"24 , 31",MD,Montgomery County,76669,2008
