,State County FIPS,Postal Code,Name,Median Household Income,Year
1175,"23 , 1",ME,Androscoggin County,38105,2003
1176,"23 , 3",ME,Aroostook County,31556,2003
1177,"23 , 5",ME,Cumberland County,47729,2003
1178,"23 , 7",ME,Franklin County,34010,2003
1179,"23 , 9",ME,Hancock County,37991,2003
1180,"23 , 11",ME,Kennebec County,38507,2003
1181,"23 , 13",ME,Knox County,39952,2003
1182,"23 , 15",ME,Lincoln County,40832,2003
1183,"23 , 17",ME,Oxford County,35243,2003
1184,"23 , 19",ME,Penobscot County,36562,2003
1185,"23 , 21",ME,Piscataquis County,30847,2003
1186,"23 , 23",ME,Sagadahoc County,44832,2003
1187,"23 , 25",ME,Somerset County,32154,2003
1188,"23 , 27",ME,Waldo County,36708,2003
1189,"23 , 29",ME,Washington County,28380,2003
1190,"23 , 31",ME,York County,47070,2003
1175,"23 , 1",ME,Androscoggin County,38105,2004
1176,"23 , 3",ME,Aroostook County,31556,2004
1177,"23 , 5",ME,Cumberland County,47729,2004
1178,"23 , 7",ME,Franklin County,34010,2004
1179,"23 , 9",ME,Hancock County,37991,2004
1180,"23 , 11",ME,Kennebec County,38507,2004
1181,"23 , 13",ME,Knox County,39952,2004
1182,"23 , 15",ME,Lincoln County,40832,2004
1183,"23 , 17",ME,Oxford County,35243,2004
1184,"23 , 19",ME,Penobscot County,36562,2004
1185,"23 , 21",ME,Piscataquis County,30847,2004
1186,"23 , 23",ME,Sagadahoc County,44832,2004
1187,"23 , 25",ME,Somerset County,32154,2004
1188,"23 , 27",ME,Waldo County,36708,2004
1189,"23 , 29",ME,Washington County,28380,2004
1190,"23 , 31",ME,York County,47070,2004
1175,"23 , 1",ME,Androscoggin County,38105,2005
1176,"23 , 3",ME,Aroostook County,31556,2005
1177,"23 , 5",ME,Cumberland County,47729,2005
1178,"23 , 7",ME,Franklin County,34010,2005
1179,"23 , 9",ME,Hancock County,37991,2005
1180,"23 , 11",ME,Kennebec County,38507,2005
1181,"23 , 13",ME,Knox County,39952,2005
1182,"23 , 15",ME,Lincoln County,40832,2005
1183,"23 , 17",ME,Oxford County,35243,2005
1184,"23 , 19",ME,Penobscot County,36562,2005
1185,"23 , 21",ME,Piscataquis County,30847,2005
1186,"23 , 23",ME,Sagadahoc County,44832,2005
1187,"23 , 25",ME,Somerset County,32154,2005
1188,"23 , 27",ME,Waldo County,36708,2005
1189,"23 , 29",ME,Washington County,28380,2005
1190,"23 , 31",ME,York County,47070,2005
1175,"23 , 1",ME,Androscoggin County,38105,2006
1176,"23 , 3",ME,Aroostook County,31556,2006
1177,"23 , 5",ME,Cumberland County,47729,2006
1178,"23 , 7",ME,Franklin County,34010,2006
1179,"23 , 9",ME,Hancock County,37991,2006
1180,"23 , 11",ME,Kennebec County,38507,2006
1181,"23 , 13",ME,Knox County,39952,2006
1182,"23 , 15",ME,Lincoln County,40832,2006
1183,"23 , 17",ME,Oxford County,35243,2006
1184,"23 , 19",ME,Penobscot County,36562,2006
1185,"23 , 21",ME,Piscataquis County,30847,2006
1186,"23 , 23",ME,Sagadahoc County,44832,2006
1187,"23 , 25",ME,Somerset County,32154,2006
1188,"23 , 27",ME,Waldo County,36708,2006
1189,"23 , 29",ME,Washington County,28380,2006
1190,"23 , 31",ME,York County,47070,2006
1175,"23 , 1",ME,Androscoggin County,38105,2007
1176,"23 , 3",ME,Aroostook County,31556,2007
1177,"23 , 5",ME,Cumberland County,47729,2007
1178,"23 , 7",ME,Franklin County,34010,2007
1179,"23 , 9",ME,Hancock County,37991,2007
1180,"23 , 11",ME,Kennebec County,38507,2007
1181,"23 , 13",ME,Knox County,39952,2007
1182,"23 , 15",ME,Lincoln County,40832,2007
1183,"23 , 17",ME,Oxford County,35243,2007
1184,"23 , 19",ME,Penobscot County,36562,2007
1185,"23 , 21",ME,Piscataquis County,30847,2007
1186,"23 , 23",ME,Sagadahoc County,44832,2007
1187,"23 , 25",ME,Somerset County,32154,2007
1188,"23 , 27",ME,Waldo County,36708,2007
1189,"23 , 29",ME,Washington County,28380,2007
1190,"23 , 31",ME,York County,47070,2007
1175,"23 , 1",ME,Androscoggin County,38105,2008
1176,"23 , 3",ME,Aroostook County,31556,2008
1177,"23 , 5",ME,Cumberland County,47729,2008
1178,"23 , 7",ME,Franklin County,34010,2008
1179,"23 , 9",ME,Hancock County,37991,2008
1180,"23 , 11",ME,Kennebec County,38507,2008
1181,"23 , 13",ME,Knox County,39952,2008
1182,"23 , 15",ME,Lincoln County,40832,2008
1183,"23 , 17",ME,Oxford County,35243,2008
1184,"23 , 19",ME,Penobscot County,36562,2008
1185,"23 , 21",ME,Piscataquis County,30847,2008
1186,"23 , 23",ME,Sagadahoc County,44832,2008
1187,"23 , 25",ME,Somerset County,32154,2008
1188,"23 , 27",ME,Waldo County,36708,2008
1189,"23 , 29",ME,Washington County,28380,2008
1190,"23 , 31",ME,York County,47070,2008
1175,"23 , 1",ME,Androscoggin County,38105,2009
1176,"23 , 3",ME,Aroostook County,31556,2009
1177,"23 , 5",ME,Cumberland County,47729,2009
1178,"23 , 7",ME,Franklin County,34010,2009
1179,"23 , 9",ME,Hancock County,37991,2009
1180,"23 , 11",ME,Kennebec County,38507,2009
1181,"23 , 13",ME,Knox County,39952,2009
1182,"23 , 15",ME,Lincoln County,40832,2009
1183,"23 , 17",ME,Oxford County,35243,2009
1184,"23 , 19",ME,Penobscot County,36562,2009
1185,"23 , 21",ME,Piscataquis County,30847,2009
1186,"23 , 23",ME,Sagadahoc County,44832,2009
1187,"23 , 25",ME,Somerset County,32154,2009
1188,"23 , 27",ME,Waldo County,36708,2009
1189,"23 , 29",ME,Washington County,28380,2009
1190,"23 , 31",ME,York County,47070,2009
1175,"23 , 1",ME,Androscoggin County,38105,2010
1176,"23 , 3",ME,Aroostook County,31556,2010
1177,"23 , 5",ME,Cumberland County,47729,2010
1178,"23 , 7",ME,Franklin County,34010,2010
1179,"23 , 9",ME,Hancock County,37991,2010
1180,"23 , 11",ME,Kennebec County,38507,2010
1181,"23 , 13",ME,Knox County,39952,2010
1182,"23 , 15",ME,Lincoln County,40832,2010
1183,"23 , 17",ME,Oxford County,35243,2010
1184,"23 , 19",ME,Penobscot County,36562,2010
1185,"23 , 21",ME,Piscataquis County,30847,2010
1186,"23 , 23",ME,Sagadahoc County,44832,2010
1187,"23 , 25",ME,Somerset County,32154,2010
1188,"23 , 27",ME,Waldo County,36708,2010
1189,"23 , 29",ME,Washington County,28380,2010
1190,"23 , 31",ME,York County,47070,2010
1175,"23 , 1",ME,Androscoggin County,38105,2011
1176,"23 , 3",ME,Aroostook County,31556,2011
1177,"23 , 5",ME,Cumberland County,47729,2011
1178,"23 , 7",ME,Franklin County,34010,2011
1179,"23 , 9",ME,Hancock County,37991,2011
1180,"23 , 11",ME,Kennebec County,38507,2011
1181,"23 , 13",ME,Knox County,39952,2011
1182,"23 , 15",ME,Lincoln County,40832,2011
1183,"23 , 17",ME,Oxford County,35243,2011
1184,"23 , 19",ME,Penobscot County,36562,2011
1185,"23 , 21",ME,Piscataquis County,30847,2011
1186,"23 , 23",ME,Sagadahoc County,44832,2011
1187,"23 , 25",ME,Somerset County,32154,2011
1188,"23 , 27",ME,Waldo County,36708,2011
1189,"23 , 29",ME,Washington County,28380,2011
1190,"23 , 31",ME,York County,47070,2011
1175,"23 , 1",ME,Androscoggin County,38105,2012
1176,"23 , 3",ME,Aroostook County,31556,2012
1177,"23 , 5",ME,Cumberland County,47729,2012
1178,"23 , 7",ME,Franklin County,34010,2012
1179,"23 , 9",ME,Hancock County,37991,2012
1180,"23 , 11",ME,Kennebec County,38507,2012
1181,"23 , 13",ME,Knox County,39952,2012
1182,"23 , 15",ME,Lincoln County,40832,2012
1183,"23 , 17",ME,Oxford County,35243,2012
1184,"23 , 19",ME,Penobscot County,36562,2012
1185,"23 , 21",ME,Piscataquis County,30847,2012
1186,"23 , 23",ME,Sagadahoc County,44832,2012
1187,"23 , 25",ME,Somerset County,32154,2012
1188,"23 , 27",ME,Waldo County,36708,2012
1189,"23 , 29",ME,Washington County,28380,2012
1190,"23 , 31",ME,York County,47070,2012
1175,"23 , 1",ME,Androscoggin County,38105,2013
1176,"23 , 3",ME,Aroostook County,31556,2013
1177,"23 , 5",ME,Cumberland County,47729,2013
